global,time,ic_prp_durs
world,2004,92.63571
world,2005,89.45597
world,2006,83.89264
world,2007,78.32229
world,2008,70.85629
world,2009,64.79167
world,2010,57.92308
world,2011,54.90643
world,2012,53.35345
world,2013,51.29492
world,2014,49.74314
world,2015,49.83591
world,2016,50.5561
world,2017,49.54089
world,2018,47.83607
world,2019,46.85019
