geo,time,si_pov_mdim_xq
afg,2016,0.27
afg,2020,0.265
ago,2015,0.264
btn,2012,0.05
btn,2017,0.023
col,2019,0.07245
col,2020,0.07493
cri,2010,0.08766
cri,2011,0.08105
cri,2012,0.07519
cri,2013,0.07002
cri,2014,0.07002
cri,2015,0.07245
cri,2016,0.06889
cri,2017,0.06289
cri,2018,0.06299
cri,2019,0.05543
dom,2010,0.143
dom,2011,0.138
dom,2012,0.139
dom,2013,0.135
dom,2014,0.115
dom,2015,0.1
dom,2016,0.089
ecu,2010,0.24017
ecu,2011,0.20644
ecu,2012,0.19085
ecu,2013,0.18967
ecu,2014,0.18136
ecu,2015,0.17045
ecu,2016,0.16901
ecu,2017,0.1688
ecu,2018,0.18665
ecu,2019,0.18973
gha,2010,0.179
gha,2011,0.298
gha,2016,0.236
gha,2018,0.247
gin,2014,0.354
gnb,2010,0.312
gnb,2014,0.27
gtm,2014,0.299
hnd,2013,0.333
lca,2016,0.28
lka,2016,0.0089
lka,2019,0.067
mdv,2016,0.145
mli,2016,0.18
moz,2014,0.31
mys,2014,0.0044
mys,2016,0.0152
mys,2019,0.011
nam,2015,0.191
npl,2011,0.18573
npl,2014,0.133
npl,2019,0.074
pak,2010,0.22797
pak,2012,0.20686
pak,2014,0.197
pan,2017,0.083
phl,2016,0.104
phl,2017,0.071
pry,2016,0.14
pry,2017,0.124
pry,2018,0.118
pry,2019,0.104
pry,2020,0.094
pse,2016,0.102
rwa,2010,0.24
rwa,2013,0.17
rwa,2016,0.15
slv,2014,0.152
slv,2016,0.1463
slv,2017,0.1418
slv,2018,0.121
slv,2019,0.1175
syc,2018,0.09
tha,2017,0.068
zaf,2011,0.03
zaf,2016,0.03
