geo,time,se_sec_tcaq_lo_zs
brb,2016,54.7619
brb,2017,47.54098
brb,2018,48.8117
brb,2019,51.92661
brb,2020,52.18855
brn,2014,93.96671
brn,2015,92.24751
brn,2016,92.62411
brn,2017,92.12598
brn,2018,91.20879
brn,2019,89.5218
btn,1998,100
btn,1999,100
btn,2005,93.47623
btn,2006,91.96355
btn,2008,90.22222
btn,2015,100
btn,2016,100
btn,2017,100
btn,2018,100
btn,2020,100
cmr,2013,33.01315
cmr,2015,50.02977
cog,2012,47.90118
col,2007,96.34536
col,2009,96.33589
col,2010,96.348
col,2011,97.07384
col,2012,97.35646
col,2013,98.37752
col,2014,98.98533
col,2015,97.28993
col,2016,98.00616
col,2017,98.19228
col,2019,99.11162
com,2003,55.66132
com,2011,77.88504
cpv,2007,58.57143
cpv,2008,64.0121
cpv,2009,67.96602
cpv,2010,67.53566
cpv,2012,75.80189
cpv,2014,77.24523
cpv,2017,94.07302
cpv,2018,95.80078
cpv,2019,95.60649
cri,1999,80.36887
cri,2001,84.65016
cri,2002,83.72505
cri,2006,80.16826
cri,2007,85.58595
cri,2008,83.40924
cri,2009,86.22056
cri,2010,88.01707
cri,2011,89.75236
cri,2013,95.99376
cri,2014,95.99499
cri,2015,96.74984
cri,2016,96.36436
cri,2017,95.42066
cri,2018,96.10212
cri,2019,97.02712
cri,2020,96.763
cub,1999,94.5597
cub,2000,86.64103
cub,2001,94.47183
cub,2002,85.77862
cub,2003,83.95458
cub,2004,76.96438
cub,2005,100
cub,2006,100
cub,2007,100
cub,2008,100
cub,2009,100
cub,2010,100
cub,2011,100
cub,2012,100
cub,2013,100
cub,2014,100
cub,2015,100
cub,2016,100
cub,2017,100
cub,2018,100
cub,2019,100
cub,2020,100
cym,1999,100
cym,2000,100
cym,2001,100
cym,2002,100
cym,2004,99.08257
cym,2005,99.28571
cym,2006,100
cym,2011,99.45946
cym,2012,99
cym,2018,100
cym,2020,100
dji,2011,100
dji,2014,100
dji,2015,100
dma,1999,31.25
dma,2000,31.49606
dma,2001,31.57895
dma,2002,40
dma,2003,27.86378
dma,2004,36.30573
dma,2005,30.98592
dma,2006,26.72065
dma,2007,37.64706
dma,2008,31.81818
dma,2009,32.39437
dma,2010,33.67698
dma,2011,37.01068
dma,2014,46.15385
dma,2016,48.37545
dom,2004,64.08961
dom,2005,88.26852
dom,2006,88.31047
dom,2007,88.26988
dom,2008,88.81457
dom,2009,72.26778
dom,2010,85.02021
dom,2011,85.12185
dom,2012,85.23895
dom,2013,81.26828
dom,2014,81.28488
dom,2015,88.10769
ecu,2000,82.54259
ecu,2001,82.64913
ecu,2002,67.69205
ecu,2003,70.4887
ecu,2004,69.683
ecu,2005,69.95354
ecu,2006,70.33383
ecu,2007,70.61015
ecu,2019,77.29905
ecu,2020,77.65985
egy,2016,69.12415
egy,2018,83.27079
egy,2019,84.54279
eri,1999,37.74834
eri,2000,49.16159
eri,2001,49.6732
eri,2002,29.88882
eri,2003,31.41264
eri,2004,28.24632
eri,2005,28.90976
eri,2006,28.46246
eri,2007,36.76352
eri,2008,41.95179
eri,2009,54.44511
eri,2010,60.57065
eri,2011,69.13947
eri,2012,81.51021
eri,2013,85.73624
esp,2002,100
esp,2003,100
esp,2004,100
esp,2005,100
esp,2006,100
esp,2007,100
esp,2008,100
esp,2009,100
esp,2010,100
esp,2011,100
esp,2012,100
esp,2013,100
esp,2014,100
esp,2015,100
esp,2016,100
esp,2017,100
esp,2018,100
esp,2019,100
eth,2008,64.62772
eth,2009,73.3754
eth,2010,53.50435
eth,2011,65.81457
fji,2012,100
fsm,2016,100
geo,2000,76.8342
geo,2008,94.98829
geo,2009,94.58567
gha,1999,83.65003
gha,2000,80.04314
gha,2001,78.98357
gha,2002,78.6321
gha,2003,73.6144
gha,2004,80.40608
gha,2005,70.72805
gha,2006,73.8534
gha,2007,67.6263
gha,2008,65.17188
gha,2009,64.8154
gha,2010,65.76001
gha,2011,65.75793
gha,2012,68.72809
gha,2013,68.86468
gha,2014,68.51498
gha,2015,69.80592
gha,2016,71.11458
gha,2017,70.27828
gha,2018,73.13341
gib,1999,98.97959
gib,2000,97.67442
gib,2001,100
gib,2008,82.58065
gib,2009,90.71429
gib,2016,86.95652
gib,2017,100
gin,2006,87.50424
gin,2008,88.85249
gmb,2011,92.22874
gmb,2012,77.78226
gmb,2013,87.39067
gmb,2014,93.55872
gmb,2015,90.48984
gmb,2017,94.21291
gmb,2018,100
gmb,2019,95.30808
gnq,2015,11.18501
grd,2003,30.4
grd,2005,33.38789
grd,2014,39.91507
grd,2015,41.95652
grd,2016,42.76458
grd,2017,44.61883
grd,2018,46.11872
guy,2003,56.95495
guy,2005,51.6029
guy,2008,54.23971
guy,2009,56.61605
hnd,2004,65.36689
hrv,1999,100
hrv,2000,100
hrv,2001,100
hrv,2002,100
hrv,2003,100
ind,2016,76.99334
ind,2017,76.57987
ind,2019,75.03298
ind,2020,78.93427
irn,2004,100
irn,2005,100
irn,2013,100
irn,2014,100
irn,2015,100
irn,2016,100
irn,2017,100
irq,2000,100
irq,2004,100
jor,2014,100
jor,2017,100
jor,2018,100
jor,2019,100
jor,2020,100
ken,2004,98.634
ken,2005,98.91307
ken,2006,99.43553
ken,2007,98.69772
ken,2008,98.41596
ken,2009,96.80629
khm,2001,99.7299
khm,2002,99.71534
khm,2004,99.94659
khm,2005,99.89076
khm,2006,99.20809
khm,2007,99.15657
khm,2008,98.76792
khm,2009,98.51174
khm,2010,99.75855
khm,2012,100
khm,2013,100
khm,2014,100
khm,2015,100
khm,2016,100
khm,2017,100
khm,2018,100
khm,2019,100
khm,2020,100
kir,2005,83.58586
kir,2006,60.96257
kir,2007,76.5
kir,2008,79.22705
kir,2014,86.7374
kir,2020,85.85366
kna,2002,40.37037
kna,2003,39.47368
kna,2004,35.42435
kna,2005,39.02439
kna,2007,39.73064
kna,2008,35.60606
kna,2009,49.65986
kna,2010,49.15254
kna,2011,55.6
kna,2012,53.33333
kwt,2000,100
kwt,2001,100
kwt,2004,100
kwt,2007,100
kwt,2008,100
kwt,2012,79.14431
lao,1999,98.05429
lao,2000,98.51782
lao,2001,97.32878
lao,2002,97.04826
lao,2003,98.12014
lao,2004,98.51529
lao,2005,91.0397
lao,2006,96.79962
lao,2008,89.58369
lao,2009,99.33196
lao,2010,99.34714
lao,2011,99.40426
lao,2012,99.47416
lao,2013,99.58581
lao,2014,99.50272
lao,2015,99.49621
lao,2016,96.46433
lao,2017,94.74931
lao,2018,94.75127
lao,2019,98.10471
lao,2020,99.46208
lbr,2006,55.11273
lbr,2008,57.79047
lbr,2009,63.38932
lbr,2011,60.38915
lbr,2014,60.43491
lbr,2015,62.49139
lca,2011,65.66164
lca,2012,65.45455
lka,2013,72.06186
lka,2015,86.13199
lka,2016,81.37177
lka,2017,84.52123
lka,2018,81.45915
lka,2019,80.76909
lva,2010,100
lva,2011,100
lva,2012,100
lva,2013,100
lva,2014,100
lva,2015,100
lva,2016,100
lva,2017,100
lva,2018,100
lva,2019,100
mac,1999,59.05963
mac,2000,60.57692
mac,2001,60.85233
mac,2002,61.63462
mac,2003,63.07692
mac,2004,63.21335
mac,2005,66.98944
mac,2006,68.97778
mac,2007,72.30371
mac,2008,72.54733
mac,2009,70.04992
mac,2010,69.76171
mac,2011,70.83672
mac,2012,73.31606
mac,2013,75.23246
mac,2014,80
mac,2015,87.29236
mac,2016,88.4963
mac,2017,90.33079
mac,2018,89.83051
mac,2019,91.3961
mac,2020,93.02326
mar,2017,100
mar,2018,100
mar,2019,100
mar,2020,100
mco,2019,66.53386
mco,2020,77.88945
mco,2021,75.10917
mda,2015,98.93708
mda,2016,94.98362
mda,2017,97.9982
mda,2018,98.10929
mda,2019,100
mda,2020,100
mdg,2014,21.93009
mdg,2017,21.55394
mdg,2018,22.37617
mdg,2019,21.85786
mdv,1998,75.3304
mdv,1999,79.19708
mdv,2000,76.30252
mdv,2001,84.56425
mdv,2002,83.05191
mdv,2005,84.71214
mdv,2006,96.25731
mdv,2007,89.72363
mdv,2008,94.94008
mdv,2009,95.5684
mdv,2010,97.63371
mdv,2011,98.37818
mdv,2012,93.0968
mdv,2013,98.92892
mdv,2014,92.80598
mdv,2015,93.28277
mdv,2016,94.72334
mdv,2017,96.81754
mdv,2018,98.19035
mdv,2019,94.10289
mex,2004,87.52128
mex,2005,88.14831
mex,2006,81.28958
mex,2007,88.66778
mex,2008,86.37503
mex,2009,89.29667
mex,2010,89.81302
mex,2011,90.18757
mex,2012,90.64655
mhl,2019,48.42767
mhl,2020,46.91849
mli,2005,80
mli,2008,76.68647
mli,2009,73.72275
mli,2011,72.453
mli,2018,55.41124
mmr,1999,62.0983
mmr,2000,62.099
mmr,2001,57.50004
mmr,2002,59.99863
mmr,2004,79.70032
mmr,2006,93.80973
mmr,2007,96.00061
mmr,2008,97.00046
mmr,2009,94.51918
mmr,2010,98.34883
mmr,2014,93.24893
mmr,2016,89.14495
mmr,2017,93.55702
mmr,2018,89.54433
mng,1998,100
mng,1999,100
mng,2000,100
mng,2001,100
mng,2002,100
mng,2003,100
mng,2004,100
mng,2005,100
mng,2006,100
mng,2007,100
moz,2006,60.41063
moz,2007,57.51511
moz,2008,61.70096
moz,2013,85.24293
moz,2020,97.05091
mrt,2003,63.29114
mrt,2006,100
mrt,2007,100
mrt,2008,100
mrt,2009,100
mrt,2011,100
mrt,2014,100
mrt,2015,100
mrt,2019,93.01454
ner,2003,30.01652
ner,2004,30.80253
ner,2006,19.60187
ner,2008,15.60208
ner,2010,13.68571
nga,2006,70.72094
nga,2010,85.00631
nga,2018,76.30811
nic,1999,47.80351
nic,2000,43.69947
nic,2001,43.70644
nic,2004,42.43908
nic,2005,49.44624
nic,2006,48.90116
nic,2007,59.30209
nic,2008,57.15221
npl,1999,32.79475
npl,2000,32.64496
npl,2002,27.8769
npl,2003,25.79545
npl,2007,46.44517
npl,2008,52.34563
npl,2010,57.18224
npl,2011,63.57534
npl,2012,77.28054
npl,2013,79.4082
npl,2014,79.90049
npl,2015,80.57996
npl,2016,89.16155
npl,2017,89.48284
npl,2019,85.40235
npl,2020,85.98987
nru,2016,100
omn,1999,99.93213
omn,2000,100
omn,2001,100
omn,2017,100
omn,2018,100
omn,2019,100
pak,2015,61.20315
pak,2016,57.88331
pak,2017,54.51098
pak,2018,58.20556
pak,2019,58.58933
pan,1999,74.05638
pan,2000,80.35502
pan,2001,92.78637
pan,2002,81.01363
pan,2004,82.00255
pan,2005,82.50368
pan,2006,89.73299
pan,2007,90.02242
pan,2008,89.98716
pan,2009,87.86336
pan,2010,86.54933
pan,2011,85.25601
pan,2012,84.97384
pan,2014,93.77324
pan,2015,94.01722
pan,2016,94.01722
pan,2017,94.01722
phl,2016,100
phl,2017,100
phl,2018,100
phl,2019,100
png,2012,100
pol,2018,100
pol,2019,100
pri,2014,93.99941
pri,2015,95.01217
pri,2016,84.01826
pry,2012,85.90552
pse,2007,100
pse,2008,100
pse,2009,100
pse,2010,100
pse,2011,100
pse,2012,100
pse,2013,100
pse,2014,100
pse,2015,100
pse,2016,100
pse,2017,100
pse,2018,100
pse,2019,100
pse,2020,100
qat,2006,72.7515
qat,2007,64.23909
qat,2008,54.73054
qat,2015,100
qat,2016,100
qat,2017,100
qat,2018,100
qat,2019,100
qat,2020,100
rwa,2017,61.34397
rwa,2018,67.00905
sau,2013,100
sau,2014,100
sau,2015,100
sau,2016,100
sau,2017,100
sau,2018,100
sau,2019,100
sau,2020,100
sen,2020,81.33643
slb,2010,70.76923
slb,2015,80.32691
slb,2016,82.2043
slb,2017,86.56356
slb,2019,93.92419
sle,2011,59.02767
sle,2012,60.74703
sle,2013,64.32103
sle,2015,68.68736
sle,2019,72.04344
sle,2020,71.87595
slv,2003,94.1841
slv,2004,93.65556
slv,2005,92.83252
slv,2006,92.02006
slv,2007,91.30576
slv,2008,89.61323
slv,2009,92.98234
slv,2011,92.8883
slv,2015,93.48589
slv,2016,93.56633
slv,2017,93.28426
slv,2018,93.16278
srb,2007,100
srb,2009,92.7298
srb,2011,53.05458
ssd,2011,44.331
stp,2011,37.5969
stp,2012,34.48276
stp,2016,20.21605
sur,2010,79.05405
sur,2011,83.22063
sur,2012,83.97566
sur,2013,83.05415
sur,2014,80.82883
sur,2015,84.0789
sur,2016,82.5855
sur,2017,83.7037
sur,2018,86.59074
svk,2014,96.4
tca,1999,100
tca,2001,100
tca,2002,100
tcd,2015,37.56007
tcd,2016,39.51092
tha,2015,100
tha,2016,100
tha,2017,100
tha,2018,100
tha,2019,100
tha,2020,100
tjk,2003,93.95203
ton,1998,90.84507
tto,1999,52.41187
tto,2000,52.39887
tto,2001,55.39842
tto,2002,57.39628
tto,2003,58.00285
tto,2007,42.10268
tto,2009,40.37754
tun,2017,100
tun,2018,100
tun,2020,100
tuv,2016,52.43902
tuv,2018,67.10526
ury,2011,65.51151
ury,2012,67.16376
ury,2013,67.06428
ury,2014,69.11534
ury,2015,69.69773
ury,2016,69.37386
ury,2017,68.19108
ury,2018,72.08769
uzb,2017,99.01276
vct,2001,58.94737
vct,2002,54.1806
vct,2003,50.32051
vct,2004,53.80952
vct,2008,55.71031
vct,2009,49.36248
vct,2010,64.3026
vgb,1999,58.02469
vgb,2003,71.56863
vnm,1999,86.19007
vnm,2000,86.31814
vnm,2001,90.84015
vnm,2002,91.19314
vnm,2005,94.58984
vnm,2006,97.46559
vnm,2007,97.98886
vnm,2008,98.20021
vnm,2009,97.08231
vnm,2010,99.06438
vnm,2011,99.23475
vnm,2012,99.07715
vnm,2014,100
vnm,2015,99.5774
vnm,2016,99.48999
vnm,2017,98.97862
vnm,2018,99.01833
vnm,2019,99.56409
vnm,2020,99.88562
vut,2015,21.47165
zmb,1998,81.95712
zmb,1999,94.15298
zmb,2012,92.65372
