geo,time,se_enr_tert_fm_zs
abw,1999,1.13514
abw,2000,1.33978
abw,2001,1.33645
abw,2002,1.33248
abw,2003,1.29899
abw,2004,1.32224
abw,2005,1.30565
abw,2006,1.31671
abw,2007,1.26705
abw,2008,1.27077
abw,2009,1.30209
abw,2010,1.29197
abw,2011,1.333
abw,2012,1.33092
abw,2013,1.54641
abw,2014,1.55953
abw,2015,1.55799
abw,2016,1.48462
afg,1970,0.16564
afg,1972,0.15346
afg,1973,0.18535
afg,1974,0.16228
afg,1975,0.16441
afg,1976,0.16504
afg,1977,0.26505
afg,1978,0.23633
afg,1979,0.18594
afg,1986,0.17262
afg,1990,0.47453
afg,2003,0.28356
afg,2004,0.28217
afg,2009,0.23639
afg,2011,0.34565
afg,2014,0.276
afg,2018,0.34523
afg,2020,0.38689
ago,1990,0.19451
ago,1998,0.68762
ago,1999,0.63048
ago,2002,0.65254
ago,2011,0.36925
ago,2013,0.79661
ago,2015,0.78541
ago,2016,0.82566
alb,1971,0.50888
alb,1972,0.50116
alb,1978,0.82385
alb,1981,1.01829
alb,1983,0.94612
alb,1984,0.89837
alb,1985,0.84962
alb,1986,0.86619
alb,1987,0.94439
alb,1988,1.0219
alb,1989,1.05877
alb,1990,1.09547
alb,1991,1.09377
alb,1992,1.09366
alb,1993,1.0223
alb,1994,1.099
alb,1995,1.06796
alb,1996,1.11322
alb,1997,1.20876
alb,1998,1.21511
alb,1999,1.30814
alb,2000,1.30468
alb,2001,1.33835
alb,2002,1.35891
alb,2003,1.36919
alb,2004,1.3577
alb,2005,1.31113
alb,2006,1.25382
alb,2007,1.27065
alb,2008,1.23839
alb,2009,1.26673
alb,2010,1.26223
alb,2011,1.27293
alb,2012,1.28419
alb,2013,1.28941
alb,2014,1.30338
alb,2015,1.29878
alb,2016,1.32128
alb,2017,1.34488
alb,2018,1.36299
alb,2019,1.35992
alb,2020,1.36876
are,2020,1.30129
arg,1970,0.76085
arg,1971,0.83037
arg,1972,0.86419
arg,1973,0.84147
arg,1974,0.8271
arg,1975,0.90436
arg,1976,0.9071
arg,1977,0.90152
arg,1978,0.98772
arg,1979,0.97125
arg,1980,1.00371
arg,1981,1.11291
arg,1982,1.10847
arg,1983,1.12918
arg,1984,1.11309
arg,1985,1.08617
arg,1986,1.10243
arg,1987,1.1119
arg,1999,1.37497
arg,2000,1.34043
arg,2001,1.31065
arg,2002,1.31522
arg,2003,1.32691
arg,2004,1.28572
arg,2005,1.30315
arg,2006,1.33393
arg,2007,1.33378
arg,2008,1.33479
arg,2009,1.3297
arg,2010,1.32958
arg,2011,1.35423
arg,2012,1.35988
arg,2013,1.37506
arg,2014,1.37992
arg,2015,1.38714
arg,2016,1.39653
arg,2017,1.39915
arg,2018,1.39617
arg,2019,1.40683
arm,2000,1.19788
arm,2001,1.24212
arm,2002,1.24817
arm,2003,1.22509
