global,time,se_adt_1524_lt_fm_zs
world,1975,0.82956
world,1976,0.83024
world,1977,0.8329
world,1978,0.84055
world,1979,0.84814
world,1980,0.8561
world,1981,0.86334
world,1982,0.87171
world,1983,0.87652
world,1984,0.88333
world,1985,0.88929
world,1986,0.89484
world,1987,0.90019
world,1988,0.89586
world,1989,0.89913
world,1990,0.90319
world,1991,0.90551
world,1992,0.90779
world,1993,0.90814
world,1994,0.91166
world,1995,0.91518
world,1996,0.91883
world,1997,0.92753
world,1998,0.92363
world,1999,0.92739
world,2000,0.9279
world,2001,0.93229
world,2002,0.93389
world,2003,0.93501
world,2004,0.93914
world,2005,0.93534
world,2006,0.94039
world,2007,0.94549
world,2008,0.94559
world,2009,0.94768
world,2010,0.95158
world,2011,0.95582
world,2012,0.95799
world,2013,0.96062
world,2014,0.96355
world,2015,0.96632
world,2016,0.96938
world,2017,0.97141
world,2018,0.9734
world,2019,0.97513
world,2020,0.97693
