global,time,sg_gen_parl_zs
world,1997,11.69217
world,1998,13.07082
world,1999,13.52011
world,2000,13.90444
world,2001,14.0907
world,2002,15.19745
world,2003,15.17921
world,2004,15.897
world,2005,16.47455
world,2006,16.96966
world,2007,17.8692
world,2008,18.44275
world,2009,19.02509
world,2010,19.15704
world,2011,19.82777
world,2012,20.7552
world,2013,21.77745
world,2014,22.1883
world,2015,22.8493
world,2016,23.09137
world,2017,23.59034
world,2018,24.09788
world,2019,24.6366
world,2020,25.58043
world,2021,26.12846
