geo,time,gc_nld_totl_gd_zs
afg,2006,-2.05268
afg,2007,-1.74901
afg,2008,-2.33285
afg,2009,0.28326
afg,2010,1.50312
afg,2011,-0.63081
afg,2012,-0.64074
afg,2013,2.28247
afg,2014,-1.94744
afg,2015,-1.28044
afg,2016,0.6758
afg,2017,0.3556
ago,1999,4.28333
ago,2000,26.28987
ago,2001,6.89257
ago,2002,1.36676
ago,2003,-10.947
ago,2004,9.74894
ago,2005,0.68679
ago,2006,19.39806
ago,2007,13.57121
ago,2008,6.86063
ago,2009,-11.78481
ago,2010,0.84604
ago,2011,10.65762
ago,2012,6.00023
ago,2013,-4.11898
ago,2014,-10.38897
ago,2015,-6.11652
ago,2016,-5.61785
ago,2017,-6.78213
ago,2018,1.80048
ago,2019,1.43882
alb,1995,-9.02647
alb,1996,-10.55158
alb,1997,-12.66523
alb,1998,-10.16107
alb,2002,-6.81204
alb,2003,-2.90444
alb,2004,-3.09972
alb,2011,-3.90093
alb,2012,-3.90691
alb,2013,-5.3258
alb,2014,-3.14403
alb,2015,-3.02836
alb,2016,-2.53086
alb,2017,-1.46665
alb,2018,-1.2697
alb,2019,-1.43603
are,1997,0.33239
are,1998,0.03094
are,1999,0.05933
are,2011,0.07562
are,2012,-0.19089
are,2013,0.22826
are,2014,-0.08587
are,2015,-0.00687
are,2016,0.12147
are,2017,0.18437
are,2018,0.31754
are,2019,1.05035
arg,1990,-0.1078
arg,1991,-0.22947
arg,1992,0.26456
arg,1993,0.4832
arg,1994,-0.32606
arg,1995,-1.71797
arg,1996,-2.33401
arg,1997,-1.65752
arg,1998,-1.58616
arg,1999,-2.92442
arg,2000,-2.7722
arg,2001,-3.31954
arg,2002,-5.70628
arg,2003,-2.82937
arg,2004,-0.42528
arg,2014,-2.90615
arg,2015,-3.39011
arg,2016,-5.33378
arg,2017,-5.51825
arg,2018,-5.33619
arg,2019,-3.93697
arm,2004,-0.84844
arm,2005,-1.00432
arm,2006,-0.30042
arm,2007,-0.56688
arm,2008,-0.54275
arm,2009,-7.60082
arm,2010,-4.96766
arm,2011,-2.76441
arm,2012,-1.30436
arm,2013,-1.56793
arm,2014,-1.77056
arm,2015,-4.70037
arm,2016,-5.48154
arm,2017,-4.05882
arm,2018,-1.8477
arm,2019,-0.53337
aus,1972,1.90098
aus,1973,0.60003
aus,1974,1.74744
aus,1975,0.09681
aus,1976,-1.81945
aus,1977,-1.23031
aus,1978,-1.85834
aus,1979,-1.75858
aus,1980,-0.93796
aus,1981,-0.0748
aus,1982,0.24728
aus,1983,-1.71521
aus,1984,-3.21146
aus,1985,-2.49773
aus,1986,-1.91589
aus,1987,-0.78401
aus,1988,0.53136
aus,1989,1.67271
aus,1990,1.65633
aus,1991,0.0932
aus,1992,-2.73403
aus,1993,-3.8229
aus,1994,-3.64345
aus,1995,-3.22537
aus,1996,-1.73503
aus,1997,-0.40323
aus,1998,1.99222
aus,1999,0.55272
aus,2000,2.01202
aus,2001,0.88634
aus,2002,-0.44099
aus,2003,0.80373
aus,2004,0.81226
aus,2005,1.25029
aus,2006,1.7245
aus,2007,1.63219
aus,2008,1.90433
aus,2009,-2.44195
aus,2010,-4.02362
aus,2011,-3.78694
aus,2012,-3.14034
aus,2013,-1.48329
aus,2014,-2.21037
aus,2015,-2.61304
aus,2016,-2.33691
aus,2017,-1.7533
aus,2018,-0.50191
aus,2019,-0.15152
aut,1972,0.41182
aut,1973,-0.83059
aut,1974,-0.49562
aut,1975,-3.24071
aut,1976,-3.6319
aut,1977,-2.99206
aut,1978,-3.00197
aut,1979,-2.61027
aut,1980,-2.28045
aut,1981,-2.25139
aut,1982,-3.74139
aut,1983,-4.58283
aut,1984,-3.49332
aut,1985,-3.71549
aut,1986,-4.69117
aut,1987,-4.97816
aut,1988,-4.31012
aut,1989,-3.61828
aut,1990,-3.29316
aut,1991,-3.37678
aut,1992,-2.53393
aut,1993,-4.27426
aut,1994,-4.21573
aut,1995,-5.50455
aut,1996,-4.46861
aut,1997,-3.05415
aut,1998,-2.89482
aut,1999,-2.55821
aut,2000,-2.24075
aut,2001,-0.85364
aut,2002,-1.34777
aut,2003,-1.7746
aut,2004,-4.65818
aut,2005,-2.42908
aut,2006,-2.16318
aut,2007,-1.1991
aut,2008,-1.27938
aut,2009,-4.21308
aut,2010,-3.12041
aut,2011,-2.07704
aut,2012,-1.96698
aut,2013,-1.87407
aut,2014,-2.72713
aut,2015,-1.11683
aut,2016,-1.10621
aut,2017,-0.80241
aut,2018,-0.00042
aut,2019,0.49503
aze,1994,-11.16664
aze,1995,-3.1314
aze,1996,-2.36305
aze,1997,-3.9676
aze,1998,-4.94167
aze,1999,-4.66621
aze,2008,19.56639
aze,2009,7.57047
aze,2010,15.44637
aze,2011,12.85627
aze,2012,5.97274
aze,2013,4.87745
aze,2014,4.62279
aze,2015,-2.72361
aze,2016,2.47594
aze,2017,1.86549
aze,2018,9.50777
aze,2019,6.10462
bdi,1981,-5.54726
bdi,1991,-2.29592
bdi,1992,-6.59264
bdi,1993,-5.12725
bdi,1994,-5.37436
bdi,1995,-4.69013
bdi,1996,-8.68719
bel,1995,-3.93336
bel,1996,-3.78394
bel,1997,-2.16157
bel,1998,-1.45015
bel,1999,-1.11437
bel,2000,-0.07462
bel,2001,-0.44652
bel,2002,0.13694
bel,2003,-1.87219
bel,2004,-0.26467
bel,2005,-2.8611
bel,2006,0.12634
bel,2007,-0.44593
bel,2008,-1.21953
bel,2009,-4.61577
bel,2010,-3.22801
bel,2011,-3.69542
bel,2012,-3.65604
bel,2013,-2.67132
bel,2014,-2.56177
bel,2015,-1.08982
bel,2016,-2.61802
bel,2017,-1.07952
bel,2018,-0.24883
bel,2019,-1.72877
bfa,2002,-4.07196
bfa,2003,-1.80436
bfa,2004,-3.94383
bfa,2005,-4.79831
bfa,2006,-5.23282
bfa,2007,-4.81895
bfa,2008,-3.50994
bfa,2009,-4.16053
bfa,2010,-4.04014
bfa,2011,-2.03936
bfa,2012,-2.76672
bfa,2013,-3.55089
bfa,2014,-1.73757
bfa,2015,-2.09385
bfa,2016,-3.08476
bfa,2017,-6.49576
bfa,2018,-4.2663
bfa,2019,-2.89824
bgd,2001,-0.57093
bgd,2002,-0.15186
bgd,2003,-0.10476
bgd,2004,-0.63112
bgd,2005,-0.97071
bgd,2006,-1.2408
bgd,2007,-1.14513
bgd,2008,-0.82976
bgd,2009,-1.44316
bgd,2010,-0.81367
bgd,2011,-0.82274
bgd,2012,-0.1374
bgd,2013,0.06907
bgd,2014,-0.76929
bgd,2015,-1.33807
bgd,2016,-1.46353
bgr,1990,-5.0495
bgr,1991,-3.35298
bgr,1992,-4.89442
bgr,1993,-11.34493
bgr,1994,-5.03558
bgr,2005,1.39254
bgr,2006,1.61794
bgr,2007,1.2042
bgr,2008,1.95475
bgr,2009,-3.20889
bgr,2010,-3.1018
bgr,2011,-1.94773
bgr,2012,-0.56086
bgr,2013,-0.87229
bgr,2014,-5.37668
bgr,2015,-0.80791
bgr,2016,0.00679
bgr,2017,0.87147
bgr,2018,1.83275
bgr,2019,2.03844
bhr,1980,11.09576
bhr,1981,11.99478
bhr,1982,5.87248
bhr,1983,-3.17573
bhr,1984,-1.06231
bhr,1985,2.39604
bhr,1986,-3.07572
bhr,1987,-0.31363
bhr,1988,-3.40493
bhr,1989,-1.82419
bhr,1990,-0.62248
bhr,1991,0.42634
bhr,1992,-2.5918
bhr,1993,-1.52406
bhr,1994,-5.23072
bhr,1995,-1.35946
bhr,1996,2.31007
bhr,1997,2.51749
bhr,1998,-3.888
bhr,1999,-0.32938
bhr,2000,9.02968
bhr,2001,5.34214
bhr,2002,-0.28277
bhr,2003,2.16132
bhr,2004,4.77706
bhs,1990,-1.86039
bhs,1991,-2.51032
bhs,1992,-1.83017
bhs,1993,-1.63325
bhs,1994,0.13501
bhs,1995,0.32663
bhs,1996,-0.91992
bhs,1997,-1.57589
bhs,1998,-0.67173
bhs,1999,-0.1995
bhs,2000,0.24064
bhs,2001,-0.4292
bhs,2002,-1.45562
bhs,2003,-1.86808
bhs,2004,-1.92743
bhs,2005,-1.10916
bhs,2006,-0.43142
bhs,2007,-0.75662
bhs,2008,-0.82797
bhs,2009,-2.45302
bhs,2010,-3.94398
bhs,2011,-3.86856
bhs,2012,-4.16139
bhs,2013,-5.1484
bhs,2014,-4.37557
bhs,2015,-3.22379
bhs,2016,-2.58478
bhs,2017,-5.34582
bhs,2018,-3.23176
bhs,2019,-1.66594
bih,2005,2.00802
bih,2006,2.74572
bih,2007,0.91656
bih,2008,-1.60508
bih,2009,-4.18193
bih,2010,-2.18914
bih,2011,-1.14359
bih,2012,-1.61232
bih,2013,-2.07742
bih,2014,-4.02826
bih,2015,0.36477
bih,2016,1.07578
bih,2017,2.60142
bih,2018,2.04599
bih,2019,1.77603
blr,1992,-4.78261
blr,1993,-3.58376
blr,1994,-1.82656
blr,1995,-2.65265
blr,1996,-1.8356
blr,1997,-1.06932
blr,1998,-0.94438
blr,1999,-1.90499
blr,2000,0.06908
blr,2001,-0.82693
blr,2002,1.13152
blr,2003,-1.05605
blr,2004,-0.13539
blr,2005,0.22482
blr,2006,1.46858
blr,2007,0.43151
blr,2008,2.37262
blr,2009,0.21277
blr,2010,-1.44792
blr,2011,1.66977
blr,2012,0.08557
blr,2013,-0.82926
blr,2014,0.42289
blr,2015,2.25366
blr,2016,1.53978
blr,2017,2.30887
blr,2018,4.13509
blr,2019,2.4406
blz,1990,-0.61601
blz,1991,-5.60734
blz,1992,-7.4542
blz,1993,-7.8648
blz,1994,-6.59857
blz,1995,-3.49383
blz,1996,-1.98306
blz,1997,-0.98131
blz,1998,-1.06169
blz,1999,-3.48845
blz,2000,-5.74007
blz,2001,-10.59067
blz,2002,-6.95732
blz,2003,-5.31139
blz,2004,-9.62129
blz,2005,-3.27273
blz,2006,-4.11369
blz,2007,0.88255
blz,2008,-0.27573
blz,2009,-1.40935
blz,2010,-0.77826
blz,2011,-1.69344
blz,2012,-1.19295
blz,2013,-1.56011
blz,2014,-2.377
blz,2015,-4.78108
blz,2016,-4.25261
blz,2017,-1.41861
bol,1986,0.04206
bol,1987,0.75075
bol,1988,-0.67836
bol,1989,-1.444
bol,1990,-1.65446
bol,1991,-0.43069
bol,1992,-2.60743
bol,1993,-2.64606
bol,1994,-3.57211
bol,1995,-2.78827
bol,1996,-2.58334
bol,1997,-3.08497
bol,1998,-2.85697
bol,1999,-3.21018
bol,2000,-3.99761
bol,2001,-6.61152
bol,2002,-8.71141
bol,2003,-7.56543
bol,2004,-5.38893
bol,2005,-3.6902
bol,2006,12.16376
bol,2007,1.24212
bra,2010,-2.02523
bra,2011,-2.25742
bra,2012,-1.16778
bra,2013,-2.32498
bra,2014,-4.82768
bra,2015,-7.5662
bra,2016,-6.64971
bra,2017,-8.13863
bra,2018,-6.69854
bra,2019,-5.35332
brb,2003,-2.40117
brb,2004,-1.76804
brb,2005,-2.39311
brb,2006,-1.77502
brb,2007,-7.60821
brb,2008,-4.31072
brb,2009,-5.89477
brb,2010,-7.81228
brb,2011,-4.29375
brb,2012,-9.25667
brb,2013,-11.19237
brb,2014,-8.27348
brb,2015,-8.71791
brb,2016,-4.87849
btn,1984,2.01884
btn,1985,-6.34259
btn,1986,2.40937
btn,1988,3.96612
btn,1989,1.90388
btn,1990,-6.07716
btn,1991,-0.05307
btn,1992,-2.33843
btn,1993,7.01962
btn,1994,2.84945
btn,1995,-0.05308
btn,1996,3.15049
btn,1997,0.20093
btn,1998,2.40666
btn,1999,-2.12011
btn,2000,-2.48854
btn,2001,-9.3214
btn,2002,-3.76692
btn,2003,-10.12973
btn,2004,2.07791
btn,2005,-1.01404
btn,2006,1.35681
btn,2007,2.52079
btn,2008,-1.4203
btn,2009,0.51293
btn,2010,1.99789
btn,2011,-1.60152
btn,2012,-1.75469
btn,2013,-5.20203
btn,2014,4.47716
btn,2015,-0.90133
btn,2016,-1.26043
btn,2017,-4.17057
btn,2018,-2.46307
bwa,1990,19.0847
bwa,1991,16.90807
bwa,1992,15.82551
bwa,1993,13.93807
bwa,1994,3.562
bwa,1995,4.99382
bwa,1996,9.76177
bwa,2006,12.50076
bwa,2007,5.21619
bwa,2008,-6.54767
bwa,2009,-12.12451
bwa,2010,-7.54225
bwa,2011,-0.40722
bwa,2012,1.15574
bwa,2013,5.4344
bwa,2014,3.7357
bwa,2015,-3.32997
bwa,2016,0.34933
bwa,2017,-1.13948
bwa,2018,-5.36887
bwa,2019,-4.25021
caf,2004,-0.47293
caf,2008,-0.96772
caf,2009,-5.90551
caf,2010,-8.37073
caf,2011,-5.97026
caf,2012,0.57218
caf,2014,2.30877
caf,2015,-1.08534
caf,2016,0.66302
caf,2017,1.57733
caf,2018,0.34967
can,1990,-4.5384
can,1991,-5.04596
can,1992,-5.02165
can,1993,-5.52049
can,1994,-4.71294
can,1995,-3.99193
can,1996,-2.38057
can,1997,0.39751
can,1998,0.67025
can,1999,0.96506
can,2000,2.19246
can,2001,1.64075
can,2002,1.47509
can,2003,1.10596
can,2004,1.49185
can,2005,0.74305
can,2006,1.53203
can,2007,1.78676
can,2008,0.77765
can,2009,-1.2042
can,2010,-2.22137
can,2011,-0.91107
can,2012,-0.51685
can,2013,-0.07197
can,2014,0.94887
can,2015,0.99872
can,2016,0.41273
can,2017,0.43959
can,2018,0.90868
can,2019,0.7639
che,1980,0.03454
che,1981,0.63855
che,1982,0.30586
che,1983,0.1964
che,1984,0.31585
che,1990,0.60478
che,1991,-0.39475
che,1992,-1.28391
che,1993,-2.10751
che,1994,-1.75124
che,1995,-1.12082
che,1996,-1.36261
che,1997,-1.64245
che,1998,-0.93302
che,1999,-1.81148
che,2000,0.02249
che,2001,0.12383
che,2002,-1.74627
che,2003,-0.78206
che,2004,-0.92686
che,2005,-0.46383
che,2006,0.35315
che,2007,0.62548
che,2008,1.20861
che,2009,0.15958
che,2010,0.23645
che,2011,0.49202
che,2012,0.51155
che,2013,0.45034
che,2014,0.32055
che,2015,0.56368
che,2016,0.16288
che,2017,0.87563
che,2018,0.85072
che,2019,0.92494
chl,1972,-12.16745
chl,1973,-5.80683
chl,1974,-4.47473
chl,1975,0.8016
chl,1976,1.69677
chl,1977,-0.19617
chl,1978,0.47013
chl,1979,5.15644
chl,1980,5.81757
chl,1981,3.29969
chl,1982,-3.75541
chl,1983,-4.05525
chl,1984,-3.6079
chl,1985,-1.89628
chl,1986,-1.32633
chl,1987,0.52754
chl,1988,-0.57413
chl,1989,0.49223
chl,1990,0.32546
chl,1991,1.20104
chl,1992,2.03447
chl,1993,1.65604
chl,1994,1.42282
chl,1995,2.09532
chl,1996,2.00026
chl,1997,1.86301
chl,1998,0.40248
chl,1999,-1.30115
chl,2000,-0.63583
chl,2001,-0.51644
chl,2002,-1.19643
chl,2003,-0.44067
chl,2004,2.05792
chl,2005,4.38897
chl,2006,7.29165
