global,time,fd_res_liqu_as_zs
world,2001,13.65192
world,2002,13.44378
world,2003,13.83149
world,2004,16.07891
world,2005,14.47599
world,2006,15.00883
world,2007,15.957
world,2008,14.09909
world,2009,17.57995
world,2010,17.46989
world,2011,15.68619
world,2012,17.28274
world,2013,17.92909
world,2014,16.97354
world,2015,18.4288
world,2016,18.42028
world,2017,18.72738
world,2018,17.84354
world,2019,18.36649
world,2020,19.28272
