geo,time,lp_lpi_logs_xq
afg,2007,1.25
afg,2010,2.09
afg,2012,2.16
afg,2014,2.11971
afg,2016,2.14507
afg,2018,1.92
ago,2007,2.5
ago,2010,2.02
ago,2012,2
ago,2014,2.31117
ago,2016,2.31063
ago,2018,2
alb,2007,2
alb,2010,2.39
alb,2012,2.65
alb,2016,2.48483
alb,2018,2.56
are,2007,3.67
are,2010,3.53
are,2012,3.74
are,2014,3.49707
are,2016,3.82243
are,2018,3.92
arg,2007,3
arg,2010,3.03
arg,2012,2.95
arg,2014,2.93055
arg,2016,2.82523
arg,2018,2.78
arm,2007,2.11
arm,2010,2.59
arm,2012,2.4
arm,2014,2.75
arm,2016,2.20649
arm,2018,2.5
aus,2007,3.76
aus,2010,3.77
aus,2012,3.75
aus,2014,3.74821
aus,2016,3.8717
aus,2018,3.71
aut,2007,4.13
aut,2010,3.7
aut,2012,4.1
aut,2014,3.55849
aut,2016,4.18186
aut,2018,4.08
aze,2007,2
aze,2010,2.48
aze,2012,2.14
aze,2014,2.14286
bdi,2007,2.5
bdi,2012,1.43
bdi,2014,2.51
bdi,2016,2.46141
bdi,2018,2.33
bel,2007,3.95
bel,2010,4.13
bel,2012,3.98
bel,2014,4.11111
bel,2016,4.0706
bel,2018,4.13
ben,2007,2.56
ben,2010,2.64
ben,2012,2.9
ben,2014,2.35152
ben,2016,2.4716
ben,2018,2.5
bfa,2007,2.33
bfa,2010,2.02
bfa,2012,2.28
bfa,2014,2.63393
bfa,2016,2.78154
bfa,2018,2.46
bgd,2007,2.33
bgd,2010,2.44
bgd,2014,2.63636
bgd,2016,2.67394
bgd,2018,2.48
bgr,2007,2.86
bgr,2010,2.85
bgr,2012,3.1
bgr,2014,3
bgr,2016,3.05744
bgr,2018,2.88
bhr,2007,2.75
bhr,2010,3.36
bhr,2012,2.94
bhr,2014,3.04
bhr,2016,3.38304
bhr,2018,2.86
bhs,2010,2.69
bhs,2012,2.69
bhs,2014,2.91503
bhs,2016,2.74119
bhs,2018,2.27
bih,2007,2.37
bih,2010,2.3
bih,2012,2.93
bih,2014,2.73287
bih,2016,2.52367
bih,2018,2.8
blr,2007,2.13
blr,2012,2.65
blr,2014,2.46232
blr,2016,2.31627
blr,2018,2.64
bol,2007,2.17
bol,2010,2.38
bol,2012,2.58
bol,2014,2.67849
bol,2016,1.89927
bol,2018,2.21
bra,2007,2.94
bra,2010,3.3
bra,2012,3.12
bra,2014,3.0505
bra,2016,3.12265
bra,2018,3.09
brn,2016,2.56727
brn,2018,2.71
btn,2007,2.18
btn,2010,2.24
btn,2012,2.42
btn,2014,2.48265
btn,2016,2.29524
btn,2018,2.35
bwa,2010,2.29
bwa,2012,2.74
bwa,2014,2.57719
bwa,2016,2.73516
caf,2014,2.30794
caf,2018,1.93
can,2007,3.85
can,2010,3.99
can,2012,3.85
can,2014,3.94067
can,2016,3.89719
can,2018,3.9
