global,time,se_sec_priv_zs
world,1998,19.22159
world,1999,19.14954
world,2000,19.1949
world,2001,19.01323
world,2002,18.96352
world,2003,19.16383
world,2004,19.40357
world,2005,19.89482
world,2006,20.17107
world,2007,21.05183
world,2008,21.47651
world,2009,22.00611
world,2010,22.63287
world,2011,23.26811
world,2012,23.8927
world,2013,24.26415
world,2014,25.72941
world,2015,25.98365
world,2016,26.49741
world,2017,26.52013
world,2018,26.8661
world,2019,27.04849
