geo,time,dt_oda_odat_xp_zs
afg,2006,201.86144
afg,2007,210.84132
afg,2008,93.8339
afg,2009,111.09564
afg,2010,77.31157
afg,2011,63.69114
afg,2012,79.1156
afg,2013,60.75848
afg,2014,54.08345
afg,2015,60.33659
afg,2016,51.14074
afg,2017,51.82423
ago,1999,32.04922
ago,2000,15.16356
ago,2001,10.90414
ago,2002,12.82315
ago,2003,10.69554
ago,2004,30.09981
ago,2005,5.38587
ago,2006,1.6402
ago,2007,1.91296
ago,2008,1.86197
ago,2009,1.33272
ago,2010,1.09413
ago,2011,0.64711
ago,2012,0.81127
ago,2013,0.74042
ago,2014,0.57762
ago,2015,1.57113
ago,2016,1.16628
ago,2017,1.0964
ago,2018,1.02827
ago,2019,0.35714
alb,1995,29.15209
alb,1996,33.60483
alb,1997,29.11615
alb,1998,35.14608
alb,2002,28.46698
alb,2003,27.18133
alb,2004,18.37609
alb,2011,12.79301
alb,2012,12.31824
alb,2013,8.74618
alb,2014,8.71744
alb,2015,12.04031
alb,2016,6.01924
alb,2017,5.41756
alb,2018,9.76402
alb,2019,0.79677
arg,1990,1.17593
arg,1991,1.30659
arg,1992,0.9879
arg,1993,0.72742
arg,1994,0.41949
arg,1995,0.37023
arg,1996,0.29666
arg,1997,0.22574
arg,1998,0.16385
arg,1999,0.17353
arg,2000,0.15585
arg,2001,0.34526
arg,2002,0.51479
arg,2003,0.46512
arg,2004,0.35029
arg,2014,0.03773
arg,2015,-0.01269
arg,2016,0.00179
arg,2017,-0.00075
arg,2018,0.0614
arg,2019,0.01853
arm,2004,42.23261
arm,2005,19.41163
arm,2006,19.67356
arm,2007,22.42863
arm,2008,12.00778
arm,2009,19.65532
arm,2010,15.04117
arm,2011,16.42686
arm,2012,11.92033
arm,2013,11.13606
arm,2014,9.60307
arm,2015,13.12948
arm,2016,12.03841
arm,2017,9.87261
arm,2018,5.14923
arm,2019,14.16403
aze,1994,36.52183
aze,1995,24.94115
aze,1996,19.1909
aze,1997,28.63725
aze,1998,14.42322
aze,1999,19.63465
aze,2008,2.48963
aze,2009,2.12856
aze,2010,1.41694
aze,2011,2.36133
aze,2012,1.85509
aze,2013,-0.4564
aze,2014,1.30333
aze,2015,0.52887
aze,2016,0.77128
aze,2017,1.08118
aze,2018,0.86688
aze,2019,1.03412
bdi,1981,91.07188
bdi,1991,95.38631
bdi,1992,103.12287
bdi,1993,81.80562
bdi,1994,133.55191
bdi,1995,121.39516
bdi,1996,55.98583
bdi,1998,34.84024
bdi,1999,45.01082
bfa,2002,122.22785
bfa,2003,122.5855
bfa,2004,116.6542
bfa,2005,111.31953
bfa,2006,121.98573
bfa,2007,100.40109
bfa,2008,98.35448
bfa,2009,102.1204
bfa,2010,97.5302
bfa,2011,73.65758
bfa,2012,70.99654
bfa,2013,63.02591
bfa,2014,62.55888
bfa,2015,63.9359
bfa,2016,54.53433
bfa,2017,34.20366
bfa,2018,40.17032
bfa,2019,39.33249
bgd,2001,21.66246
bgd,2002,18.70646
bgd,2003,27.61491
bgd,2004,28.70449
bgd,2005,22.13501
bgd,2006,17.17018
bgd,2007,18.97337
bgd,2008,20.43853
bgd,2009,10.70325
bgd,2010,12.4258
bgd,2011,11.35216
bgd,2012,16.75841
bgd,2013,18.46867
bgd,2014,14.74362
bgd,2015,14.75881
bgd,2016,12.14496
bhr,1974,29.93208
bhr,1975,12.93
bhr,1976,59.70962
bhr,1977,12.57639
bhr,1978,15.82417
bhr,1979,25.46282
bhr,1980,31.42558
bhr,1981,25.84803
bhr,1982,16.20779
bhr,1983,23.0502
bhr,1984,18.63414
bhr,1985,6.62068
bhr,1986,8.92978
bhr,1987,0.9475
bhr,1988,-0.25771
bhr,1989,-0.16417
bhr,1990,11.98702
bhr,1991,8.09623
bhr,1992,6.3121
bhr,1993,8.02791
bhr,1994,6.60621
bhr,1995,7.02941
bhr,1996,9.43888
bhr,1997,10.07404
bhr,1998,12.98992
bhr,1999,3.74005
bhr,2000,3.21427
bhr,2001,3.62881
bhr,2002,2.65986
bhr,2003,5.45776
bhr,2004,2.19434
bhs,1990,0.59897
bhs,1991,0.50801
bhs,1992,0.50338
bhs,1993,0.21521
bhs,1994,0.17905
bhs,1995,0.73707
bih,2005,14.74859
bih,2006,12.27604
bih,2007,10.52535
bih,2008,6.43119
bih,2009,5.94956
bih,2010,7.59893
bih,2011,8.80498
bih,2012,8.4503
bih,2013,7.67592
bih,2014,8.49971
bih,2015,5.95269
bih,2016,7.46713
bih,2017,7.09374
bih,2018,5.03845
bih,2019,6.66029
blr,2005,0.63482
blr,2006,0.62413
blr,2007,0.54441
blr,2008,0.53875
blr,2009,0.60762
blr,2010,0.78829
blr,2011,0.76224
blr,2012,0.56697
blr,2013,0.50206
blr,2014,0.5583
blr,2015,0.65899
blr,2016,-0.15892
blr,2017,-1.55901
blr,2018,0.70444
blr,2019,1.16343
blz,1990,44.15641
blz,1991,28.87842
blz,1992,27.71656
blz,1993,28.15767
blz,1994,26.24633
blz,1995,16.28322
blz,1996,17.53019
blz,1997,10.8964
blz,1998,10.96271
blz,1999,32.54925
blz,2000,10.86185
blz,2001,13.30454
blz,2002,13.21845
blz,2003,5.98067
blz,2004,2.48702
blz,2005,4.27174
blz,2006,2.49056
blz,2007,6.95106
blz,2008,7.37409
blz,2009,7.84432
blz,2010,7.01628
blz,2011,5.75776
blz,2012,7.46116
blz,2013,13.35476
blz,2014,9.0362
blz,2015,6.25242
blz,2016,7.33839
blz,2017,6.75467
bol,1986,53.01318
bol,1987,53.31723
bol,1988,76.08669
bol,1989,78.60147
bol,1990,70.21318
bol,1991,61.5501
bol,1992,66.27349
bol,1993,46.77653
bol,1994,47.4975
bol,1995,57.08924
bol,1996,54.56505
bol,1997,40.26276
bol,1998,32.85821
bol,1999,30.59898
bol,2000,24.68487
bol,2001,34.24474
bol,2002,26.38176
bol,2003,33.45097
bol,2004,29.60004
bol,2005,21.88016
bol,2006,29.45991
bol,2007,15.33347
bra,2010,0.06854
bra,2011,0.10264
bra,2012,0.16974
bra,2013,0.15156
bra,2014,0.11606
bra,2015,0.15075
bra,2016,0.10295
bra,2017,0.03662
bra,2018,0.06545
bra,2019,0.0445
brb,2003,2.45595
brb,2004,3.41024
brb,2005,-0.05869
brb,2006,-0.07846
brb,2007,1.36748
brb,2008,0.62767
brb,2009,0.77416
brb,2010,1.00118
btn,1982,49.96479
btn,1983,54.53383
btn,1984,61.81231
btn,1985,57.85742
btn,1986,109.33043
btn,1988,59.65477
btn,1989,65.68147
btn,1990,67.25878
btn,1991,112.67219
btn,1992,115.95962
btn,1993,147.99156
btn,1994,137.39434
btn,1995,113.70389
btn,1996,77.32201
btn,1997,82.62589
btn,1998,80.88502
btn,1999,86.55263
btn,2000,55.90054
btn,2001,56.79565
btn,2002,60.44166
btn,2003,63.16144
btn,2004,60.43226
btn,2005,48.69166
btn,2006,53.34676
btn,2007,43.49432
btn,2008,27.83056
btn,2009,34.41702
btn,2010,28.25811
btn,2011,29.82042
btn,2012,43.37414
btn,2013,37.76673
btn,2014,36.71541
btn,2015,24.82484
btn,2016,12.42618
btn,2017,25.96109
btn,2018,21.60067
bwa,1990,14.35854
bwa,1991,11.94048
bwa,1992,8.7978
bwa,1993,9.5701
bwa,1994,6.87763
bwa,1995,6.18898
bwa,1996,5.31111
bwa,2006,2.2893
bwa,2007,3.19204
bwa,2008,18.84851
bwa,2009,7.12295
