geo,time,ny_gnp_mktp_kd
abw,2015,2838156424.58101
afg,2015,19307190568.0691
ago,2000,31272976020.3881
ago,2001,34162699718.8312
ago,2002,42193830548.08849
ago,2003,43872639595.0875
ago,2004,47794668089.8715
ago,2005,54143470581.1878
ago,2006,59069937960.1592
ago,2007,68707867486.7129
ago,2008,72780896267.3096
ago,2009,81442753903.713
ago,2010,83433041157.39139
ago,2011,86192873159.5898
ago,2012,94480080488.8764
ago,2013,100548617583.79201
ago,2014,107276137615.02299
ago,2015,110286109906.073
ago,2016,107170312085.63499
ago,2017,105738233043.843
ago,2018,101615642995.659
ago,2019,100050629502.689
ago,2020,95006615904.33821
alb,1997,4711585633.58185
alb,1998,5157328531.50618
alb,1999,5790137059.98094
alb,2000,6236170469.03007
alb,2001,6768855096.85811
alb,2002,7028069521.68219
alb,2003,7427776009.16043
alb,2004,7815005023.54673
alb,2005,8217506733.15357
alb,2006,8779913452.5236
alb,2007,9292097124.37657
alb,2008,9773355824.4275
alb,2009,9893494182.2684
alb,2010,10319567998.079
alb,2011,10691783298.3041
alb,2012,10760657810.0595
alb,2013,11132891356.1159
alb,2014,11243212146.1331
alb,2015,11521808375.0854
alb,2016,11951738834.1544
alb,2017,12244443282.459
alb,2018,12691841438.579
alb,2019,12811367636.2895
are,2001,202556214406.638
are,2002,199375197830.591
are,2003,214991443767.78296
are,2004,236791883695.84799
are,2005,251289491235.53101
are,2006,277906574790.59399
are,2007,290403415974.25293
are,2008,293234089837.388
are,2009,276829992595.11401
are,2010,278150955120.35303
are,2011,297636130685.026
are,2012,311124943220.84601
are,2013,326990242531.43701
are,2014,341586367478.26898
are,2015,359877739959.15601
are,2016,370919139711.38599
are,2017,380339801809.172
are,2018,383407569432.13898
are,2019,397043153299.89899
arg,1960,154590452768.638
arg,1961,163330343434.293
arg,1962,161680939565.83899
arg,1963,153088319209.48001
arg,1964,168871308440.80899
arg,1965,186562568163.63901
arg,1966,187895951430.845
arg,1967,187113755072.91901
arg,1968,192592358956.16199
arg,1969,212889814837.18097
arg,1970,212800564716.504
arg,1971,235698007044.83896
arg,1972,233635530714.89496
arg,1973,244666281530.18701
arg,1974,258186906784.52701
arg,1975,260646329877.96301
arg,1976,252156847057.71097
arg,1977,267513333831.50296
arg,1978,255833378930.259
arg,1979,281244924043.26501
arg,1980,285503867389.15698
arg,1981,266727982902.14096
arg,1982,255555846390.789
arg,1983,267559459090.05399
arg,1984,273073524698.172
arg,1985,258624338215.922
arg,1986,276922254689.09601
arg,1987,284131448155.78302
arg,1988,281836669605.03198
arg,1989,251145659739.73096
arg,1990,255238774464.328
arg,1991,281803976352.84894
arg,1992,307573219114.56403
arg,1993,334917588552.71503
arg,1994,353875154426.95001
arg,1995,342557419007.23102
arg,1996,360687755581.67401
arg,1997,389553722221.44495
arg,1998,403172183733.50598
arg,1999,388981723773.42798
arg,2000,385747226930.59998
