geo,time,dt_dod_dstc_zs
afg,2006,1.9553
afg,2007,1.0703
afg,2008,0.8565
afg,2009,0.8609
afg,2010,4.3134
afg,2011,3.2314
afg,2012,4.3868
afg,2013,4.0923
afg,2014,6.8807
afg,2015,11.0823
afg,2016,13.6576
afg,2017,17.0628
afg,2018,16.1916
afg,2019,15.7742
afg,2020,14.2087
ago,1989,8.4048
ago,1990,11.5042
ago,1991,14.418
ago,1992,19.1742
ago,1993,17.7868
ago,1994,19.2218
ago,1995,17.0213
ago,1996,11.0804
ago,1997,12.7327
ago,1998,15.6204
ago,1999,14.8548
ago,2000,13.5496
ago,2001,16.5331
ago,2002,13.2418
ago,2003,11.7881
ago,2004,12.2059
ago,2005,18.9244
ago,2006,21.5289
ago,2007,19.008
ago,2008,15.3285
ago,2009,12.7855
ago,2010,17.0463
ago,2011,17.6362
ago,2012,23.5947
ago,2013,25.7334
ago,2014,16.4886
ago,2015,12.2843
ago,2016,7.6156
ago,2017,6.2668
ago,2018,4.4793
ago,2019,5.0631
ago,2020,9.4768
alb,1991,83.1471
alb,1992,77.8422
alb,1993,73.4554
alb,1994,65.8285
alb,1995,13.5849
alb,1996,6.4206
alb,1997,9.2517
alb,1998,5.5975
alb,1999,3.7561
alb,2000,3.2677
alb,2001,2.6525
alb,2002,2.4606
alb,2003,9.6385
alb,2004,0.0765
alb,2005,7.2919
alb,2006,15.3539
alb,2007,17.2138
alb,2008,27.0068
alb,2009,14.7777
alb,2010,13.6698
alb,2011,16.8377
alb,2012,19.9051
alb,2013,18.3362
alb,2014,20.5347
alb,2015,18.7791
alb,2016,19.3374
alb,2017,19.3007
alb,2018,19.2788
alb,2019,6.3537
alb,2020,6.1687
arg,1970,10.843
arg,1971,10.8122
arg,1972,10.8068
arg,1973,10.7666
arg,1974,10.7584
arg,1975,10.7446
arg,1976,10.735
arg,1977,23.3304
arg,1978,25.3781
arg,1979,32.6347
arg,1980,38.0031
arg,1981,36.0835
arg,1982,37.7303
arg,1983,19.3315
arg,1984,21.8468
arg,1985,13.1583
arg,1986,8.3697
arg,1987,6.0164
arg,1988,9.6888
arg,1989,13.0071
arg,1990,16.7106
arg,1991,20.6263
arg,1992,23.5786
arg,1993,13.3774
arg,1994,9.5492
arg,1995,21.62
arg,1996,21.1411
arg,1997,24.9416
arg,1998,21.8763
arg,1999,19.363
arg,2000,18.8756
arg,2001,13.1044
arg,2002,10.0018
arg,2003,13.6967
arg,2004,15.8028
arg,2005,26.7917
arg,2006,23.7556
arg,2007,15.8923
arg,2008,14.982
arg,2009,14.4252
arg,2010,12.9601
arg,2011,18.0184
arg,2012,18.0528
arg,2013,24.4244
arg,2014,22.0367
arg,2015,33.5436
arg,2016,22.5814
arg,2017,24.5686
arg,2018,24.3929
