geo,time,sh_hiv_0014
afg,1990,100
afg,1991,100
afg,1992,100
afg,1993,100
afg,1994,100
afg,1995,100
afg,1996,100
afg,1997,100
afg,1998,100
afg,1999,100
afg,2000,100
afg,2001,100
afg,2002,200
afg,2003,200
afg,2004,200
afg,2005,200
afg,2006,200
afg,2007,500
afg,2008,500
afg,2009,500
afg,2010,500
afg,2011,500
afg,2012,500
afg,2013,500
afg,2014,500
afg,2015,500
afg,2016,500
afg,2017,500
afg,2018,500
afg,2019,530
afg,2020,560
ago,1990,1100
ago,1991,1400
ago,1992,1900
ago,1993,2400
ago,1994,3100
ago,1995,3900
ago,1996,4800
ago,1997,5800
ago,1998,7100
ago,1999,8500
ago,2000,10000
ago,2001,12000
ago,2002,14000
ago,2003,16000
ago,2004,18000
ago,2005,20000
ago,2006,22000
ago,2007,25000
ago,2008,27000
ago,2009,29000
ago,2010,31000
ago,2011,33000
ago,2012,35000
ago,2013,37000
ago,2014,37000
ago,2015,39000
ago,2016,40000
ago,2017,41000
ago,2018,41000
ago,2019,40000
ago,2020,39000
arg,1990,200
arg,1991,500
arg,1992,500
arg,1993,500
arg,1994,530
arg,1995,630
arg,1996,720
arg,1997,820
arg,1998,940
arg,1999,1000
arg,2000,1200
arg,2001,1300
arg,2002,1300
arg,2003,1400
arg,2004,1500
arg,2005,1500
arg,2006,1500
arg,2007,1600
arg,2008,1600
arg,2009,1600
arg,2010,1600
arg,2011,1500
arg,2012,1500
arg,2013,1500
arg,2014,1400
arg,2015,1400
arg,2016,1300
arg,2017,1300
arg,2018,1300
arg,2019,1200
arg,2020,1200
arm,1990,100
arm,1991,100
arm,1992,100
arm,1993,100
arm,1994,100
arm,1995,100
arm,1996,100
arm,1997,100
arm,1998,100
arm,1999,100
arm,2000,100
arm,2001,100
arm,2002,100
arm,2003,100
arm,2004,100
arm,2005,100
arm,2006,100
arm,2007,100
arm,2008,100
arm,2009,100
arm,2010,100
arm,2011,100
arm,2012,100
arm,2013,100
arm,2014,100
arm,2015,100
arm,2016,100
arm,2017,100
arm,2018,100
arm,2019,100
arm,2020,100
aze,1990,100
aze,1991,100
aze,1992,100
aze,1993,100
aze,1994,100
aze,1995,100
aze,1996,100
aze,1997,100
aze,1998,100
aze,1999,100
aze,2000,100
aze,2001,100
aze,2002,100
aze,2003,100
aze,2004,100
aze,2005,200
aze,2006,200
aze,2007,200
aze,2008,200
aze,2009,200
aze,2010,200
aze,2011,200
aze,2012,200
aze,2013,200
aze,2014,200
aze,2015,200
aze,2016,200
aze,2017,200
aze,2018,200
aze,2019,200
aze,2020,200
bdi,1990,13000
bdi,1991,16000
bdi,1992,19000
bdi,1993,21000
bdi,1994,24000
bdi,1995,26000
bdi,1996,27000
bdi,1997,29000
bdi,1998,30000
bdi,1999,31000
bdi,2000,31000
bdi,2001,31000
bdi,2002,31000
bdi,2003,30000
bdi,2004,29000
bdi,2005,28000
bdi,2006,26000
bdi,2007,25000
bdi,2008,23000
bdi,2009,22000
bdi,2010,20000
bdi,2011,19000
bdi,2012,18000
bdi,2013,16000
bdi,2014,15000
bdi,2015,14000
bdi,2016,13000
bdi,2017,12000
bdi,2018,11000
bdi,2019,10000
bdi,2020,9700
ben,1990,2300
ben,1991,3000
ben,1992,3700
ben,1993,4500
ben,1994,5300
ben,1995,6100
ben,1996,7000
ben,1997,7800
ben,1998,8700
ben,1999,9400
ben,2000,10000
ben,2001,11000
ben,2002,11000
ben,2003,12000
ben,2004,12000
ben,2005,13000
ben,2006,13000
ben,2007,13000
ben,2008,13000
ben,2009,13000
ben,2010,13000
ben,2011,13000
ben,2012,13000
ben,2013,12000
ben,2014,12000
ben,2015,12000
ben,2016,11000
ben,2017,11000
ben,2018,10000
ben,2019,9500
ben,2020,8900
bfa,1990,19000
bfa,1991,23000
bfa,1992,27000
bfa,1993,30000
bfa,1994,34000
bfa,1995,37000
bfa,1996,40000
bfa,1997,42000
bfa,1998,44000
bfa,1999,45000
bfa,2000,46000
bfa,2001,47000
bfa,2002,47000
bfa,2003,46000
bfa,2004,45000
bfa,2005,44000
bfa,2006,42000
bfa,2007,40000
bfa,2008,39000
bfa,2009,37000
bfa,2010,35000
bfa,2011,33000
bfa,2012,31000
bfa,2013,30000
bfa,2014,28000
bfa,2015,25000
bfa,2016,23000
bfa,2017,21000
bfa,2018,19000
bfa,2019,17000
bfa,2020,16000
bol,1990,100
bol,1991,100
bol,1992,100
bol,1993,200
bol,1994,200
bol,1995,200
bol,1996,500
bol,1997,500
bol,1998,500
bol,1999,500
bol,2000,500
bol,2001,510
bol,2002,560
bol,2003,600
bol,2004,630
bol,2005,670
bol,2006,690
bol,2007,710
bol,2008,730
bol,2009,720
bol,2010,700
bol,2011,690
bol,2012,660
bol,2013,640
bol,2014,620
bol,2015,590
bol,2016,570
bol,2017,540
bol,2018,520
bol,2019,500
bol,2020,500
bwa,1990,1800
bwa,1991,2800
bwa,1992,4000
bwa,1993,5600
bwa,1994,7300
bwa,1995,9200
bwa,1996,11000
bwa,1997,14000
bwa,1998,16000
bwa,1999,18000
bwa,2000,20000
bwa,2001,21000
bwa,2002,22000
bwa,2003,23000
bwa,2004,23000
bwa,2005,22000
bwa,2006,22000
bwa,2007,21000
bwa,2008,20000
bwa,2009,19000
bwa,2010,18000
bwa,2011,18000
bwa,2012,16000
bwa,2013,15000
bwa,2014,14000
bwa,2015,13000
bwa,2016,12000
bwa,2017,11000
bwa,2018,9300
bwa,2019,8300
bwa,2020,7500
caf,1990,2700
caf,1991,3800
caf,1992,4900
caf,1993,6100
caf,1994,7200
caf,1995,8400
caf,1996,9500
caf,1997,11000
caf,1998,12000
caf,1999,12000
caf,2000,13000
caf,2001,14000
caf,2002,15000
caf,2003,15000
caf,2004,15000
caf,2005,15000
caf,2006,15000
caf,2007,15000
caf,2008,14000
caf,2009,13000
caf,2010,13000
caf,2011,12000
caf,2012,11000
caf,2013,11000
caf,2014,9800
caf,2015,8900
caf,2016,8100
caf,2017,7600
caf,2018,7000
caf,2019,6300
caf,2020,5800
civ,1990,16000
civ,1991,21000
civ,1992,26000
civ,1993,32000
civ,1994,39000
civ,1995,45000
civ,1996,51000
civ,1997,57000
civ,1998,62000
civ,1999,66000
civ,2000,70000
civ,2001,73000
civ,2002,75000
civ,2003,77000
civ,2004,77000
civ,2005,76000
civ,2006,75000
civ,2007,72000
civ,2008,68000
civ,2009,64000
civ,2010,60000
civ,2011,56000
civ,2012,51000
civ,2013,46000
civ,2014,41000
civ,2015,37000
civ,2016,33000
civ,2017,29000
civ,2018,26000
civ,2019,23000
civ,2020,21000
cmr,1990,3400
cmr,1991,4700
cmr,1992,6400
cmr,1993,8500
cmr,1994,11000
cmr,1995,14000
cmr,1996,17000
cmr,1997,21000
cmr,1998,25000
cmr,1999,29000
cmr,2000,33000
cmr,2001,37000
cmr,2002,41000
cmr,2003,44000
cmr,2004,47000
cmr,2005,50000
cmr,2006,53000
cmr,2007,54000
cmr,2008,56000
cmr,2009,56000
cmr,2010,56000
cmr,2011,54000
cmr,2012,53000
cmr,2013,50000
cmr,2014,48000
cmr,2015,45000
cmr,2016,43000
cmr,2017,40000
cmr,2018,38000
cmr,2019,37000
cmr,2020,35000
cod,1990,35000
cod,1991,41000
cod,1992,48000
cod,1993,55000
cod,1994,61000
cod,1995,68000
cod,1996,74000
cod,1997,80000
cod,1998,85000
cod,1999,89000
cod,2000,93000
cod,2001,96000
cod,2002,99000
cod,2003,100000
cod,2004,100000
cod,2005,100000
cod,2006,100000
cod,2007,100000
cod,2008,100000
cod,2009,100000
cod,2010,98000
cod,2011,95000
cod,2012,93000
cod,2013,90000
cod,2014,86000
cod,2015,82000
cod,2016,80000
cod,2017,78000
cod,2018,76000
cod,2019,74000
cod,2020,71000
cog,1990,3000
cog,1991,3700
cog,1992,4500
cog,1993,5200
cog,1994,5900
cog,1995,6600
cog,1996,7300
cog,1997,7900
cog,1998,8500
cog,1999,9100
cog,2000,9600
cog,2001,9900
cog,2002,10000
cog,2003,10000
cog,2004,10000
cog,2005,10000
cog,2006,11000
cog,2007,10000
cog,2008,10000
cog,2009,10000
cog,2010,10000
cog,2011,10000
cog,2012,10000
cog,2013,9900
cog,2014,9900
cog,2015,9900
cog,2016,10000
cog,2017,10000
cog,2018,10000
cog,2019,10000
cog,2020,11000
col,1990,500
col,1991,550
col,1992,730
col,1993,930
col,1994,1200
col,1995,1400
col,1996,1600
col,1997,1800
col,1998,2000
col,1999,2200
col,2000,2400
col,2001,2500
