global,time,se_sec_enrl_fe_zs
world,1970,42.0387
world,1971,42.16679
world,1972,42.17234
world,1973,42.44701
world,1974,42.83877
world,1975,43.23618
world,1976,43.39232
world,1977,43.56202
world,1978,43.9688
world,1979,44.16658
world,1980,44.09702
world,1981,43.96556
world,1982,43.88296
world,1983,44.16835
world,1984,43.89552
world,1985,43.72156
world,1986,44.19882
world,1987,44.42382
world,1988,44.49026
world,1989,44.62324
world,1990,44.65405
world,1991,44.796
world,1992,44.94851
world,1993,45.04479
world,1994,45.36358
world,1995,45.60105
world,1996,45.74962
world,1997,45.95535
world,1998,46.31247
world,1999,46.57634
world,2000,46.62152
world,2001,46.67399
world,2002,46.74654
world,2003,47.06287
world,2004,47.07361
world,2005,47.22272
world,2006,47.2656
world,2007,47.3611
world,2008,47.4763
world,2009,47.70206
world,2010,47.54244
world,2011,47.58279
world,2012,47.64525
world,2013,47.91619
world,2014,47.99342
world,2015,47.96893
world,2016,47.99251
world,2017,47.94622
world,2018,47.9647
