geo,time,en_atm_co2e_pp_gd
afg,2002,0.0555
afg,2003,0.06144
afg,2004,0.04938
afg,2005,0.06249
afg,2006,0.0681
afg,2007,0.07087
afg,2008,0.12444
afg,2009,0.13905
afg,2010,0.17366
afg,2011,0.23953
afg,2012,0.17514
afg,2013,0.13084
afg,2014,0.11309
afg,2015,0.11123
afg,2016,0.10542
afg,2017,0.09878
afg,2018,0.0961
ago,1990,0.16292
ago,1991,0.16097
ago,1992,0.16305
ago,1993,0.22696
ago,1994,0.2126
ago,1995,0.29178
ago,1996,0.2671
ago,1997,0.25147
ago,1998,0.23024
ago,1999,0.24713
ago,2000,0.22937
ago,2001,0.22479
ago,2002,0.20539
ago,2003,0.2589
ago,2004,0.24337
ago,2005,0.19369
ago,2006,0.18826
ago,2007,0.18571
ago,2008,0.17496
ago,2009,0.18636
ago,2010,0.18542
ago,2011,0.18125
ago,2012,0.16253
ago,2013,0.16421
ago,2014,0.15715
ago,2015,0.17184
ago,2016,0.17284
ago,2017,0.14148
ago,2018,0.12498
alb,1990,0.72243
alb,1991,0.65936
alb,1992,0.37856
alb,1993,0.31191
alb,1994,0.29151
alb,1995,0.22959
alb,1996,0.20877
alb,1997,0.17298
alb,1998,0.19045
alb,1999,0.27519
alb,2000,0.2658
alb,2001,0.24473
alb,2002,0.26368
alb,2003,0.27043
alb,2004,0.26112
alb,2005,0.23042
alb,2006,0.2061
alb,2007,0.19508
alb,2008,0.17195
alb,2009,0.16744
alb,2010,0.16329
alb,2011,0.16995
alb,2012,0.15001
alb,2013,0.15652
alb,2014,0.16047
alb,2015,0.15096
alb,2016,0.14191
alb,2017,0.1526
alb,2018,0.1437
are,1990,0.34758
are,1991,0.37004
are,1992,0.3395
are,1993,0.34129
are,1994,0.34348
are,1995,0.33543
are,1996,0.32493
are,1997,0.31701
are,1998,0.32177
are,1999,0.31615
are,2000,0.27423
are,2001,0.30133
are,2002,0.29518
are,2003,0.28105
are,2004,0.26535
are,2005,0.25947
are,2006,0.23951
are,2007,0.24508
are,2008,0.27633
are,2009,0.29123
are,2010,0.2935
are,2011,0.27465
are,2012,0.27818
are,2013,0.28441
are,2014,0.27101
are,2015,0.32277
are,2016,0.33309
are,2017,0.32673
are,2018,0.30328
arg,1990,0.42564
arg,1991,0.39797
arg,1992,0.36744
arg,1993,0.34308
arg,1994,0.32533
arg,1995,0.32798
arg,1996,0.3394
arg,1997,0.31028
arg,1998,0.30902
arg,1999,0.31772
arg,2000,0.30792
arg,2001,0.29838
arg,2002,0.31011
arg,2003,0.30567
arg,2004,0.3017
arg,2005,0.27726
arg,2006,0.26448
arg,2007,0.24884
arg,2008,0.24106
arg,2009,0.23809
arg,2010,0.22823
arg,2011,0.22234
arg,2012,0.2178
arg,2013,0.21657
arg,2014,0.2142
arg,2015,0.21459
arg,2016,0.20817
arg,2017,0.1733
arg,2018,0.17117
arm,1990,2.02377
arm,1991,2.31077
arm,1992,2.04322
arm,1993,1.01286
arm,1994,0.51151
arm,1995,0.60037
arm,1996,0.40777
arm,1997,0.50389
arm,1998,0.48246
arm,1999,0.41263
arm,2000,0.43627
arm,2001,0.39389
arm,2002,0.29687
arm,2003,0.2868
arm,2004,0.27152
arm,2005,0.27422
arm,2006,0.23671
arm,2007,0.2348
arm,2008,0.23576
arm,2009,0.2159
arm,2010,0.20094
arm,2011,0.21399
arm,2012,0.21178
arm,2013,0.19298
arm,2014,0.18747
arm,2015,0.18308
arm,2016,0.16131
arm,2017,0.14912
arm,2018,0.14441
atg,1990,0.28983
atg,1991,0.28745
atg,1992,0.36622
atg,1993,0.29293
atg,1994,0.26886
atg,1995,0.29736
atg,1996,0.28407
atg,1997,0.2835
atg,1998,0.29445
atg,1999,0.27988
atg,2000,0.25777
atg,2001,0.28027
atg,2002,0.30432
atg,2003,0.2961
atg,2004,0.26596
atg,2005,0.2483
atg,2006,0.22948
atg,2007,0.21373
