geo,time,en_pop_dnst
abw,1961,307.96667
abw,1962,312.41111
abw,1963,314.99444
abw,1964,316.82778
abw,1965,318.65
abw,1966,320.56667
abw,1967,322.46667
abw,1968,324.31667
abw,1969,326.3
abw,1970,328.16667
abw,1971,330.23333
abw,1972,332.49444
abw,1973,334.64444
abw,1974,336.26111
abw,1975,336.96111
abw,1976,336.58889
abw,1977,335.36667
abw,1978,333.9
abw,1979,333.17778
abw,1980,333.87222
abw,1981,336.45
abw,1982,340.78333
abw,1983,345.62778
abw,1984,349.03333
abw,1985,350.13333
abw,1986,348.02778
abw,1987,343.54444
abw,1988,339.28889
abw,1989,339.07222
abw,1990,345.28889
abw,1991,359.01667
abw,1992,379.11111
abw,1993,402.75
abw,1994,426.13889
abw,1995,446.24444
abw,1996,462.28333
abw,1997,474.72222
abw,1998,484.88889
abw,1999,494.49444
abw,2000,504.81111
abw,2001,516.06667
abw,2002,527.73333
abw,2003,538.97778
abw,2004,548.57778
abw,2005,555.71111
abw,2006,560.16667
abw,2007,562.36667
abw,2008,563.12222
abw,2009,563.62222
abw,2010,564.80556
abw,2011,566.94444
abw,2012,569.80556
abw,2013,573.13889
abw,2014,576.53333
abw,2015,579.66111
abw,2016,582.58333
abw,2017,585.33889
abw,2018,588.03333
abw,2019,590.61111
abw,2020,593.14444
afg,1961,14.04498
afg,1962,14.32381
afg,1963,14.61753
afg,1964,14.92628
afg,1965,15.25031
afg,1966,15.58503
afg,1967,15.92981
afg,1968,16.29302
afg,1969,16.68623
afg,1970,17.11493
afg,1971,17.5772
afg,1972,18.06087
afg,1973,18.54756
afg,1974,19.0132
afg,1975,19.43627
afg,1976,19.82522
afg,1977,20.17476
afg,1978,20.43501
afg,1979,20.54202
afg,1980,20.45844
afg,1981,20.17535
afg,1982,19.73244
afg,1983,19.20432
afg,1984,18.6936
afg,1985,18.28601
afg,1986,17.97656
afg,1987,17.77493
afg,1988,17.79556
afg,1989,18.17981
afg,1990,19.01221
afg,1991,20.37039
afg,1992,22.18782
afg,1993,24.22664
afg,1994,26.15527
afg,1995,27.7405
afg,1996,28.87823
afg,1997,29.64974
afg,1998,30.23278
afg,1999,30.89613
afg,2000,31.82912
afg,2001,33.0959
afg,2002,34.6181
afg,2003,36.27251
afg,2004,37.87441
afg,2005,39.29521
afg,2006,40.4881
afg,2007,41.5105
afg,2008,42.46283
afg,2009,43.49295
afg,2010,44.70409
afg,2011,46.1315
afg,2012,47.73057
afg,2013,49.42804
afg,2014,51.11479
afg,2015,52.71207
afg,2016,54.19696
afg,2017,55.59555
afg,2018,56.93705
afg,2019,58.26939
afg,2020,59.62739
ago,1961,4.43687
ago,1962,4.49868
ago,1963,4.55555
ago,1964,4.60014
ago,1965,4.62868
ago,1966,4.63729
ago,1967,4.63178
ago,1968,4.6298
ago,1969,4.65523
ago,1970,4.72476
ago,1971,4.84578
ago,1972,5.0124
ago,1973,5.21158
ago,1974,5.42362
ago,1975,5.63407
ago,1976,5.83912
ago,1977,6.043
ago,1978,6.24912
ago,1979,6.46355
ago,1980,6.6907
ago,1981,6.93068
ago,1982,7.18134
ago,1983,7.44213
ago,1984,7.71216
ago,1985,7.99069
ago,1986,8.27795
ago,1987,8.57403
ago,1988,8.87788
ago,1989,9.18808
ago,1990,9.5038
ago,1991,9.82506
ago,1992,10.15269
ago,1993,10.48772
ago,1994,10.8316
ago,1995,11.18569
ago,1996,11.55107
ago,1997,11.92875
ago,1998,12.32021
ago,1999,12.7271
ago,2000,13.1511
ago,2001,13.59249
ago,2002,14.05263
ago,2003,14.53556
ago,2004,15.04623
ago,2005,15.58804
ago,2006,16.16259
ago,2007,16.76856
ago,2008,17.40245
ago,2009,18.0591
ago,2010,18.73446
ago,2011,19.42782
ago,2012,20.13951
ago,2013,20.86772
ago,2014,21.61047
ago,2015,22.36655
ago,2016,23.13506
ago,2017,23.91655
ago,2018,24.71307
ago,2019,25.52763
ago,2020,26.36261
alb,1961,60.57664
alb,1962,62.4569
alb,1963,64.32923
alb,1964,66.20931
alb,1965,68.05807
alb,1966,69.87493
alb,1967,71.73715
alb,1968,73.80555
alb,1969,75.97427
alb,1970,77.93719
alb,1971,79.84865
alb,1972,81.86591
alb,1973,83.82307
alb,1974,85.77095
alb,1975,87.76755
alb,1976,89.72723
alb,1977,91.73526
alb,1978,93.65934
alb,1979,95.54131
alb,1980,97.51814
alb,1981,99.49109
alb,1982,101.61599
alb,1983,103.79416
alb,1984,106.00106
alb,1985,108.20299
alb,1986,110.31515
alb,1987,112.54033
alb,1988,114.6838
