geo,time,sp_dyn_cbrt_in
abw,1960,35.679
abw,1961,34.529
abw,1962,33.32
abw,1963,32.05
abw,1964,30.737
abw,1965,29.413
abw,1966,28.121
abw,1967,26.908
abw,1968,25.817
abw,1969,24.872
abw,1970,24.099
abw,1971,23.505
abw,1972,23.068
abw,1973,22.76
abw,1974,22.561
abw,1975,22.452
abw,1976,22.414
abw,1977,22.424
abw,1978,22.454
abw,1979,22.478
abw,1980,22.472
abw,1981,22.424
abw,1982,22.329
abw,1983,22.187
abw,1984,21.989
abw,1985,21.726
abw,1986,21.397
abw,1987,21.008
abw,1988,20.57
abw,1989,20.089
abw,1990,19.571
abw,1991,19.021
abw,1992,18.446
abw,1993,17.859
abw,1994,17.27
abw,1995,16.691
abw,1996,16.132
abw,1997,15.598
abw,1998,15.09
abw,1999,14.615
abw,2000,14.173
abw,2001,13.762
abw,2002,13.375
abw,2003,13.01
abw,2004,12.667
abw,2005,12.348
abw,2006,12.053
abw,2007,11.788
abw,2008,11.556
abw,2009,11.361
abw,2010,11.214
abw,2011,11.123
abw,2012,11.09
abw,2013,11.111
abw,2014,11.179
abw,2015,11.281
abw,2016,11.404
abw,2017,11.532
abw,2018,11.652
abw,2019,11.756
abw,2020,11.841
afg,1960,51.279
afg,1961,51.373
afg,1962,51.457
afg,1963,51.53
afg,1964,51.589
afg,1965,51.631
afg,1966,51.652
afg,1967,51.65
afg,1968,51.623
afg,1969,51.574
afg,1970,51.502
afg,1971,51.411
afg,1972,51.303
afg,1973,51.184
afg,1974,51.058
afg,1975,50.93
afg,1976,50.803
afg,1977,50.678
afg,1978,50.555
afg,1979,50.436
afg,1980,50.321
afg,1981,50.21
afg,1982,50.098
afg,1983,49.984
afg,1984,49.865
afg,1985,49.735
afg,1986,49.586
afg,1987,49.418
afg,1988,49.236
afg,1989,49.048
afg,1990,48.88
afg,1991,48.763
afg,1992,48.709
afg,1993,48.717
afg,1994,48.77
afg,1995,48.835
afg,1996,48.87
afg,1997,48.833
afg,1998,48.688
afg,1999,48.419
afg,2000,48.021
afg,2001,47.505
afg,2002,46.901
afg,2003,46.231
afg,2004,45.507
afg,2005,44.723
afg,2006,43.87
afg,2007,42.944
afg,2008,41.949
afg,2009,40.903
afg,2010,39.829
afg,2011,38.75
afg,2012,37.69
afg,2013,36.67
afg,2014,35.706
afg,2015,34.809
afg,2016,33.981
afg,2017,33.211
afg,2018,32.487
afg,2019,31.802
afg,2020,31.153
ago,1960,49.08
ago,1961,48.779
ago,1962,48.547
ago,1963,48.43
ago,1964,48.45
ago,1965,48.622
ago,1966,48.936
ago,1967,49.343
ago,1968,49.787
ago,1969,50.231
ago,1970,50.619
ago,1971,50.903
ago,1972,51.062
ago,1973,51.094
ago,1974,51.005
ago,1975,50.825
ago,1976,50.6
ago,1977,50.386
ago,1978,50.226
ago,1979,50.139
ago,1980,50.134
ago,1981,50.207
ago,1982,50.322
ago,1983,50.449
ago,1984,50.569
ago,1985,50.663
ago,1986,50.712
ago,1987,50.711
ago,1988,50.657
ago,1989,50.547
ago,1990,50.383
ago,1991,50.168
ago,1992,49.919
ago,1993,49.652
ago,1994,49.378
ago,1995,49.113
ago,1996,48.87
ago,1997,48.652
ago,1998,48.46
ago,1999,48.293
ago,2000,48.15
ago,2001,48.027
ago,2002,47.911
ago,2003,47.786
ago,2004,47.639
ago,2005,47.453
ago,2006,47.215
ago,2007,46.92
ago,2008,46.563
ago,2009,46.143
ago,2010,45.656
ago,2011,45.102
ago,2012,44.493
ago,2013,43.847
ago,2014,43.182
ago,2015,42.52
ago,2016,41.882
ago,2017,41.281
ago,2018,40.729
ago,2019,40.232
ago,2020,39.791
alb,1960,40.924
alb,1961,40.368
alb,1962,39.627
alb,1963,38.723
alb,1964,37.695
alb,1965,36.599
alb,1966,35.496
alb,1967,34.435
alb,1968,33.458
alb,1969,32.59
alb,1970,31.837
alb,1971,31.183
alb,1972,30.587
alb,1973,30.019
alb,1974,29.473
alb,1975,28.949
alb,1976,28.455
alb,1977,28.004
alb,1978,27.606
alb,1979,27.262
alb,1980,26.981
alb,1981,26.772
alb,1982,26.627
alb,1983,26.528
alb,1984,26.452
alb,1985,26.367
alb,1986,26.241
alb,1987,26.047
alb,1988,25.762
alb,1989,25.372
alb,1990,24.867
alb,1991,24.245
alb,1992,23.529
alb,1993,22.742
alb,1994,21.902
alb,1995,21.02
alb,1996,20.106
alb,1997,19.173
alb,1998,18.238
alb,1999,17.321
alb,2000,16.436
alb,2001,15.59
alb,2002,14.79
alb,2003,14.048
alb,2004,13.381
alb,2005,12.821
alb,2006,12.398
alb,2007,12.118
alb,2008,11.973
alb,2009,11.945
alb,2010,12.001
alb,2011,12.1
alb,2012,12.197
alb,2013,12.257
alb,2014,12.259
alb,2015,12.197
alb,2016,12.08
alb,2017,11.934
alb,2018,11.78
alb,2019,11.62
alb,2020,11.453
and,1986,11.9
and,1987,11
and,1988,11.6
and,1989,12.5
and,1990,11.9
and,1991,11.9
and,1992,12.1
and,1993,11.4
and,1994,10.9
and,1995,11
and,1996,10.9
and,1997,11.2
and,1998,11.9
and,1999,12.6
and,2000,11.3
and,2001,11.8
