geo,time,sl_tlf_cact_ne_zs
blz,1970,27.62
blz,1994,56.07
blz,1996,34.1
blz,1997,58.9
blz,1998,58.7
blz,1999,59.3
blz,2005,38.2
blz,2012,67.42
blz,2013,62.63
blz,2014,63.49
blz,2015,63.49
blz,2016,64.25
blz,2017,64.03
blz,2019,69.73
bmu,1970,74.21
bmu,1976,78.09
bmu,1980,76.95
bmu,1991,74.85
bmu,2000,73.44
bmu,2009,82
bmu,2010,84
bol,1976,52.95
bol,1980,54.44
bol,1981,54.21
bol,1982,53.41
bol,1985,52.48
bol,1986,53.16
bol,1987,53.66
bol,1989,53.27
bol,1990,53.65
bol,1991,51.68
bol,1992,63.15
bol,1993,52.6
bol,1994,53.7
bol,1995,63.66
bol,1996,64.7
bol,1997,70.66
bol,1999,71.33
bol,2000,70.35
bol,2001,67.8
bol,2002,72.3
bol,2003,73.1
bol,2004,73.1
bol,2005,69.98
bol,2006,72.72
bol,2007,49.76
bol,2008,71.81
bol,2009,72.12
bol,2011,71.98
bol,2012,68.62
bol,2013,69.3
bol,2014,71.37
bol,2015,67.08
bol,2016,67.36
bol,2017,68.63
bol,2018,71.8
bol,2019,70.68
bol,2020,69.68
bra,1960,53.16
bra,1970,51.93
bra,1973,61.58
bra,1980,55.98
bra,1985,62.53
bra,1986,62.37
bra,1987,63.79
bra,1988,63.61
bra,1989,63.45
bra,1990,63.63
bra,1991,63.63
bra,1992,68.45
bra,1993,68.17
bra,1995,65.22
bra,1996,63.56
bra,1997,64.36
bra,1998,64.53
bra,1999,65.05
bra,2001,66.13
bra,2002,66.84
bra,2003,66.79
bra,2004,67.5
bra,2005,68.14
bra,2006,67.76
bra,2007,67.46
bra,2008,67.29
bra,2009,67.48
bra,2011,65.15
bra,2012,63.79
bra,2013,63.72
bra,2014,63.51
bra,2015,63.7
bra,2016,63.48
bra,2017,63.79
bra,2018,63.86
bra,2019,64.32
bra,2020,59.63
brb,1960,39.69
brb,1966,38.04
brb,1970,61.16
brb,1978,41.33
brb,1980,64.3
brb,1983,64.01
brb,1986,65.45
brb,1987,66.54
brb,1988,67.45
brb,1989,68.6
brb,1990,67.34
brb,1991,65.19
brb,1992,66.12
brb,1994,67.47
brb,1995,68.16
brb,1996,67
brb,1997,67.72
brb,1998,67.77
brb,1999,67.83
brb,2001,69.55
brb,2002,68.49
brb,2003,69.25
brb,2004,69.68
brb,2005,69.56
brb,2006,67.87
brb,2007,67.8
brb,2008,67.62
brb,2009,66.96
brb,2010,66.6
brb,2011,67.59
brb,2012,66.19
brb,2013,66.71
brb,2014,63.88
brb,2015,63.96
brb,2016,65.44
brb,2017,64.37
brb,2018,63.57
brb,2019,62.3
brn,1960,55.46
brn,1971,53.14
brn,1978,60.34
brn,1981,59.61
brn,1986,60.3
brn,1991,65.57
brn,2001,67.95
brn,2011,66.4
brn,2014,65.62
brn,2017,62.73
brn,2018,65.39
brn,2019,64.41
brn,2020,65.22
btn,2005,60.44
btn,2006,61.8
btn,2009,69.7
btn,2010,68.15
btn,2011,67.39
btn,2012,64.36
btn,2013,65.3
btn,2014,62.61
btn,2015,63.14
bwa,1964,46.16
bwa,1971,47.41
bwa,1981,60.78
bwa,1985,70.28
bwa,1991,57.38
bwa,1994,60.6
bwa,1996,52.38
bwa,1998,57.85
bwa,2000,57.44
bwa,2001,55.04
bwa,2003,53.5
bwa,2006,58.85
bwa,2009,62.19
bwa,2010,59.13
bwa,2013,69.58
bwa,2019,60.25
bwa,2020,60.72
caf,1975,61.48
caf,1988,77.72
can,1961,54.04
can,1971,58.02
can,1976,61.5
can,1977,61.86
can,1978,62.74
can,1979,63.67
can,1980,64.27
can,1981,65.03
can,1982,64.4
can,1983,64.73
can,1984,65.05
can,1985,65.65
can,1986,66.11
can,1987,66.47
can,1988,66.85
can,1989,67.26
can,1990,67.15
can,1991,66.58
can,1992,65.7
can,1993,65.34
can,1994,65.16
can,1995,64.82
can,1996,64.67
can,1997,64.87
can,1998,65.13
can,1999,65.53
can,2000,65.76
can,2001,65.91
can,2002,66.86
can,2003,67.56
can,2004,67.49
can,2005,67.14
can,2006,67.02
can,2007,67.44
can,2008,67.56
can,2009,67.09
can,2010,66.91
can,2011,66.71
can,2012,66.5
can,2013,66.46
can,2014,65.99
can,2015,65.84
can,2016,65.71
can,2017,65.76
can,2018,65.41
can,2019,65.71
can,2020,64.02
can,2021,65.07
che,1960,60.45
che,1970,62.35
che,1978,46.93
che,1979,47.21
che,1980,60.1
che,1985,51.52
che,1986,51.7
che,1988,52.17
che,1989,52.59
che,1990,63.98
che,1991,68.43
che,1992,68.29
che,1993,68.22
che,1994,67.35
che,1995,67.05
che,1996,67.65
che,1997,67.42
che,1998,67.99
che,1999,67.86
che,2000,67.37
che,2001,67.8
che,2002,67.72
che,2003,67.85
che,2004,67.27
che,2005,66.98
che,2006,67.35
che,2007,67.63
che,2008,68.19
che,2009,68.24
che,2010,67
che,2011,67.45
che,2012,67.52
che,2013,67.54
che,2014,67.91
che,2015,68.15
che,2016,68.57
che,2017,68.44
che,2018,68.48
che,2019,68.23
che,2020,67.87
chl,1960,52.78
chl,1970,49.4
chl,1980,47.12
chl,1981,47.78
chl,1982,47.18
chl,1983,47.54
chl,1984,48.14
chl,1985,51.32
chl,1986,50.89
chl,1988,52.52
chl,1989,53.04
chl,1990,52.75
chl,1991,52.57
chl,1992,53.81
chl,1993,55.32
chl,1994,55.17
chl,1995,53.92
chl,1996,56.63
chl,1997,56.62
chl,1998,56.75
chl,1999,56.65
chl,2000,55.91
chl,2001,55.01
chl,2002,54.51
chl,2003,55.03
chl,2004,55.4
chl,2005,55.74
chl,2006,56.88
chl,2007,57.35
chl,2008,58.55
chl,2009,58.35
chl,2010,58.65
chl,2011,59.95
chl,2012,59.69
chl,2013,59.73
chl,2014,59.97
chl,2015,59.85
chl,2016,59.62
chl,2017,59.89
chl,2018,59.84
chl,2019,59.58
chl,2020,55.3
chn,1982,78.74
chn,1990,79.17
chn,2000,76.82
chn,2001,76.46
chn,2002,75.66
chn,2003,74.99
chn,2004,74.24
chn,2005,74.24
chn,2006,73.73
chn,2007,73.18
chn,2008,72.83
chn,2009,72.46
chn,2010,70.96
chn,2011,70.84
chn,2012,70.7
chn,2013,70.68
chn,2014,70.63
chn,2015,70.69
chn,2016,70.89
civ,1964,81.42
civ,1970,57.2
civ,1975,68.93
civ,1978,77.68
civ,1988,65.91
civ,1995,46.3
civ,1998,65.17
civ,2012,67.27
civ,2013,75.35
civ,2016,60.26
civ,2017,56.06
cmr,1976,64.05
cmr,1980,65.88
cmr,1982,65.61
cmr,1985,65.43
cmr,1987,39.45
cmr,1996,68.3
cmr,2000,38.47
cmr,2001,70.7
cmr,2005,71.5
cmr,2007,81.73
cmr,2010,76.23
cmr,2014,72.1
cod,2005,72.51
cod,2012,66.03
cog,1974,67.99
cog,1984,58.89
cog,2005,67.92
cog,2009,44.93
cog,2012,53.1
col,1964,52.59
col,1973,49.77
col,1980,47.5
col,1985,49.43
col,1986,42.3
col,1987,44
col,1989,61.17
col,1993,54.04
col,1996,45.9
col,2000,64.85
col,2001,67.64
col,2002,67.51
col,2003,68.2
col,2004,66.69
col,2005,65.94
col,2007,63.21
col,2008,63.62
col,2009,66.39
col,2010,67.76
col,2011,68.47
col,2012,69.41
col,2013,69.03
col,2014,69.15
col,2015,69.48
col,2016,69.07
col,2017,68.89
col,2018,68.39
col,2019,67.48
col,2020,62.7
com,1980,53.54
com,1991,44.97
com,2004,41.38
com,2014,44.47
cpv,1960,52.81
cpv,1980,38.69
cpv,1990,60.89
cpv,2010,59.12
cpv,2015,63.52
cpv,2017,59.18
cpv,2018,55.56
cpv,2019,57.43
cri,1963,53.81
cri,1973,50.31
cri,1984,50.58
cri,1990,57.35
cri,1991,56.5
cri,1992,55.66
cri,1993,56.54
cri,1994,57.02
cri,1995,58.03
cri,1996,55.97
cri,1997,58.13
cri,1998,59.69
cri,1999,59.69
cri,2000,58.87
cri,2001,61.04
cri,2002,60.65
cri,2003,61.01
cri,2004,59.8
cri,2005,62.07
cri,2006,61.72
cri,2007,62.58
cri,2008,62.14
cri,2009,61.5
cri,2010,59.21
cri,2011,58.89
cri,2012,62.52
cri,2013,61.86
cri,2014,62.14
cri,2015,60.83
cri,2016,57.79
cri,2017,58.21
cri,2018,60.23
cri,2019,62.31
cri,2020,58.72
cub,1970,48.63
cub,1981,52.26
cub,1986,56.37
cub,1988,56.93
cub,2004,52.3
cub,2006,52.86
cub,2007,53.77
cub,2008,54.33
cub,2009,55.6
cub,2010,55
cub,2011,55.58
cub,2012,74.18
cub,2013,72.9
cym,1960,57.51
cym,1970,34.68
cym,1979,48.68
cym,1989,80.86
cym,1991,81.54
cym,1999,85.61
cym,2005,83.99
cym,2006,83.16
cym,2007,82
cym,2008,84.09
cym,2009,84.17
cym,2010,81.77
cym,2011,80.8
cym,2012,83.69
cym,2013,83.05
cym,2014,82.64
cym,2015,82.78
cyp,1960,64.66
cyp,1976,44.01
cyp,1977,33.39
cyp,1978,32.72
cyp,1984,37.03
cyp,1985,46.04
cyp,1987,46.72
cyp,1988,63.94
cyp,1989,64.8
cyp,1990,65.01
cyp,1991,65.18
cyp,1992,59.28
cyp,1995,62.53
cyp,2000,60.28
cyp,2001,61.69
cyp,2002,61.86
cyp,2003,63.17
cyp,2004,63.04
cyp,2005,63.2
cyp,2006,63.54
cyp,2007,64.39
cyp,2008,64.21
cyp,2009,63.73
cyp,2010,64.27
cyp,2011,63.74
cyp,2012,63.43
cyp,2013,63.3
cyp,2014,63.75
cyp,2015,62.29
cyp,2016,61.26
cyp,2017,61.63
cyp,2018,62.4
cyp,2019,62.96
cyp,2020,62.7
cze,1991,66.62
cze,1993,61.42
cze,1994,61.62
cze,1995,61.51
cze,1996,61.24
cze,1997,60.69
cze,1998,60.6
cze,1999,60.61
cze,2000,60.06
cze,2001,59.64
cze,2002,59.46
cze,2003,59.23
cze,2004,58.97
cze,2005,59.38
cze,2006,59.27
cze,2007,58.77
cze,2008,58.5
cze,2009,58.68
cze,2010,58.44
cze,2011,58.26
cze,2012,58.64
cze,2013,59.28
cze,2014,59.31
cze,2015,59.42
cze,2016,59.92
cze,2017,60.22
cze,2018,60.56
cze,2019,60.38
cze,2020,59.79
deu,1983,54.33
deu,1984,54.92
deu,1985,55.02
deu,1986,55.41
deu,1987,55.34
deu,1988,55.82
deu,1989,56.12
deu,1990,58.04
deu,1991,59.42
deu,1992,58.73
deu,1993,58.31
deu,1994,58.16
deu,1995,57.72
deu,1996,57.61
deu,1997,57.67
deu,1998,57.68
deu,1999,57.87
deu,2000,57.46
deu,2001,57.48
deu,2002,57.27
deu,2003,57.32
deu,2004,56.87
deu,2005,58.42
deu,2006,58.96
deu,2007,59.15
deu,2008,59.24
deu,2009,59.39
deu,2010,59.37
deu,2011,60.09
deu,2012,60.07
deu,2013,60.35
deu,2014,60.41
deu,2015,60.17
deu,2016,61.01
deu,2017,61.21
deu,2018,61.28
deu,2019,61.92
deu,2020,61.6
dji,1996,62
dji,2017,32.27
dma,1960,39.07
dma,1970,30.44
dma,1981,57.15
dma,1989,57.8
dma,1991,37.15
dma,1997,67
dma,1999,65.23
dma,2001,57.69
dnk,1960,60.38
dnk,1965,61.77
dnk,1970,60.95
dnk,1974,63.42
dnk,1976,64.16
dnk,1977,64.9
dnk,1978,65.53
dnk,1979,65.07
dnk,1981,65.64
dnk,1983,65.5
dnk,1984,66.49
dnk,1985,66.72
dnk,1986,67.52
dnk,1987,66.74
dnk,1988,67.88
dnk,1989,67.67
dnk,1990,68.12
dnk,1991,67.83
dnk,1992,68.11
dnk,1993,67.37
dnk,1994,64.38
dnk,1995,64.61
dnk,1996,65.2
dnk,1997,65.44
dnk,1998,65.18
dnk,1999,65.8
dnk,2000,65.54
dnk,2001,65.15
dnk,2002,65.64
dnk,2003,65.48
dnk,2004,65.93
dnk,2005,65.65
dnk,2006,65.93
dnk,2007,65.71
dnk,2008,65.08
dnk,2009,64.39
dnk,2010,63.5
dnk,2011,63.05
dnk,2012,62.31
dnk,2013,61.42
dnk,2014,61.26
dnk,2015,61.32
dnk,2016,61.65
dnk,2017,61.72
dnk,2018,61.82
dnk,2019,62.37
dnk,2020,62.02
dom,1960,51.1
dom,1970,54.03
dom,1979,52.66
dom,1981,53.69
dom,1991,54.1
dom,1992,57.3
dom,1993,52.9
dom,1994,52.5
dom,1996,62.35
dom,1997,62.24
dom,1998,64.34
dom,2000,58.51
dom,2001,57.28
dom,2002,57.57
dom,2003,56.63
dom,2004,56.85
dom,2005,56.62
dom,2006,57.3
dom,2007,57.21
dom,2008,57.59
dom,2009,55.47
dom,2010,56.71
dom,2011,58.16
dom,2012,59.43
dom,2013,59.27
dom,2014,59.53
dom,2015,62.01
dom,2016,62.45
dom,2017,62.37
dom,2018,63.77
dom,2019,64.89
dom,2020,60.35
dza,1966,40.68
dza,1975,41.2
dza,1977,36.71
dza,1980,20.03
dza,1983,17.99
dza,1984,36.43
dza,1985,38.08
dza,1987,42.14
dza,1996,44.92
dza,1997,27.52
dza,2000,27.02
dza,2001,27.79
dza,2008,41.7
dza,2009,41.43
dza,2010,41.71
dza,2011,40.15
dza,2012,42
dza,2013,43.2
dza,2014,41.15
dza,2015,41.71
dza,2016,41.87
dza,2017,36.91
ecu,1962,55.05
ecu,1974,51.46
ecu,1980,57.64
ecu,1981,57.46
ecu,1982,48.59
ecu,1987,33.66
ecu,1988,55.54
ecu,1989,55.52
ecu,1990,54.49
ecu,1996,63.48
ecu,1997,64.25
ecu,1998,66.38
ecu,2000,63.45
ecu,2001,69.34
ecu,2002,66.63
ecu,2003,65.33
ecu,2004,67.47
ecu,2005,66.98
ecu,2006,67.95
ecu,2007,66.77
ecu,2008,66.55
ecu,2009,64.01
ecu,2010,62.68
ecu,2011,61.78
ecu,2012,62.45
ecu,2013,62.26
ecu,2014,62.62
ecu,2015,65.66
ecu,2016,67.67
ecu,2017,68.15
ecu,2018,66.66
ecu,2019,66.18
ecu,2020,60.09
egy,1960,46.52
egy,1966,43
egy,1973,40.51
egy,1975,40.74
egy,1976,43.87
egy,1977,42.91
egy,1978,43.4
egy,1979,40.94
egy,1980,40.77
egy,1981,27.77
egy,1982,27.35
egy,1983,47.48
egy,1984,47.24
egy,1986,44.4
egy,1989,51.25
egy,1990,50.38
egy,1991,46.72
egy,1992,47.19
egy,1993,47.89
egy,1994,48.88
egy,1995,47.92
egy,1996,46.6
egy,1998,46
egy,1999,47.52
egy,2000,29.6
egy,2001,44.93
egy,2002,43.19
egy,2003,29.95
egy,2004,30.11
egy,2005,49.52
egy,2006,46.97
egy,2007,47.93
egy,2008,47.55
egy,2009,47.9
egy,2010,49.37
egy,2011,48.79
egy,2012,48.49
egy,2013,48.44
egy,2014,48.12
egy,2015,46.98
egy,2016,46.63
egy,2017,44.95
egy,2018,43.3
egy,2019,42.2
egy,2020,41.54
esp,1960,51.6
esp,1970,47.81
esp,1977,50.55
esp,1978,49.96
esp,1979,49.42
esp,1980,48.77
esp,1981,48.25
esp,1982,48.16
esp,1983,48.08
esp,1984,47.77
esp,1985,47.51
esp,1986,47.02
esp,1987,47.95
esp,1988,48.32
esp,1989,48.24
esp,1990,48.57
esp,1991,48.21
esp,1992,49.82
esp,1993,49.86
esp,1994,50.23
esp,1995,50.05
esp,1996,50.35
esp,1997,50.81
esp,1998,51.1
esp,1999,51.61
esp,2000,52.77
esp,2001,52.09
esp,2002,53.77
esp,2003,54.94
esp,2004,55.85
esp,2005,57.09
esp,2006,57.95
esp,2007,58.58
esp,2008,59.37
esp,2009,59.5
esp,2010,59.61
esp,2011,59.68
esp,2012,59.75
esp,2013,59.36
esp,2014,58.93
esp,2015,58.83
esp,2016,58.52
esp,2017,58.11
esp,2018,57.92
esp,2019,57.92
esp,2020,56.71
est,1989,70.34
est,1990,73.59
est,1991,72.2
est,1992,69.73
est,1993,67.52
est,1994,67.19
est,1995,65.45
est,1996,64.73
est,1997,65.02
est,1998,60.07
est,1999,58.62
est,2000,58.93
est,2001,58.24
est,2002,57.22
est,2003,58.97
est,2004,59.07
est,2005,58.74
est,2006,60.64
est,2007,60.55
est,2008,61.11
est,2009,60.72
est,2010,60.5
est,2011,61.3
est,2012,61.31
est,2013,61.33
est,2014,61.12
est,2015,62.12
est,2016,62.87
est,2017,63.66
est,2018,63.8
est,2019,63.65
est,2020,63.63
eth,1981,51.6
eth,1987,57.9
eth,1994,77.93
eth,1999,66.63
eth,2005,82.02
eth,2013,81.24
fin,1960,65.3
fin,1970,60.86
fin,1976,57.51
fin,1977,47.32
fin,1979,61.25
fin,1980,49.05
fin,1981,62.28
fin,1982,69.64
fin,1984,65.92
fin,1985,65.72
fin,1986,65.42
fin,1987,64.9
fin,1988,64.53
fin,1989,64.56
fin,1990,69.73
fin,1991,68.24
fin,1992,66.76
fin,1993,65.9
fin,1994,65.06
fin,1995,61.11
fin,1996,59.36
fin,1997,60.14
fin,1998,60.27
fin,1999,62.97
fin,2000,63.21
fin,2001,63.29
fin,2002,63.22
fin,2003,62.83
fin,2004,62.1
fin,2005,60.74
fin,2006,61.03
fin,2007,61.24
fin,2008,61.48
fin,2009,60.49
fin,2010,59.96
fin,2011,59.91
fin,2012,59.75
fin,2013,59.14
fin,2014,58.94
fin,2015,58.94
fin,2016,58.61
fin,2017,58.88
fin,2018,59.44
fin,2019,59.42
fin,2020,59.03
fji,1966,49.54
fji,1976,50.79
fji,1982,54.33
fji,1986,54.63
fji,1991,34.1
fji,1992,35.22
fji,1993,35.15
fji,1996,59.45
fji,2004,58.2
fji,2005,56.73
fji,2008,39.3
fji,2009,39.3
fji,2010,56.99
fji,2011,63.06
fji,2014,58.89
fji,2016,57.58
fra,1962,55.09
fra,1968,53.87
fra,1975,53.51
fra,1979,54.73
fra,1980,54.89
fra,1981,54.77
fra,1982,54.78
fra,1983,57.46
fra,1984,57.31
fra,1985,57.15
fra,1986,57.34
fra,1987,56.84
fra,1988,56.31
fra,1989,56.17
fra,1990,55.85
fra,1991,55.41
fra,1992,55.56
fra,1993,55.55
fra,1994,55.48
fra,1995,55.44
fra,1996,55.77
fra,1997,55.45
fra,1998,55.46
fra,1999,55.75
fra,2000,55.7
fra,2001,55.5
fra,2002,55.72
fra,2003,56.41
fra,2004,56.25
fra,2005,56.24
fra,2006,56.15
fra,2007,56.28
fra,2008,56.37
fra,2009,56.58
fra,2010,56.51
fra,2011,56.26
fra,2012,56.47
fra,2013,56.44
fra,2014,56.11
fra,2015,56.01
fra,2016,55.82
fra,2017,55.64
fra,2018,55.62
fra,2019,55.27
fra,2020,54.53
fro,1960,60.25
fro,1966,40.18
fro,1970,57.36
fro,1977,57.88
fsm,2014,56.89
gab,1963,56.33
gab,1993,62.62
