geo,time,ic_exp_csbc_cd
afg,2014,511.1111
afg,2015,511.1111
afg,2016,452.7778
afg,2017,452.7778
afg,2018,452.7778
afg,2019,452.7778
ago,2014,825
ago,2015,825
ago,2016,825
ago,2017,825
ago,2018,825
ago,2019,825
alb,2014,29.67
alb,2015,29.67
alb,2016,54.67
alb,2017,54.67
alb,2018,54.67
alb,2019,54.67
are,2014,461.6667
are,2015,461.6667
are,2016,461.6667
are,2017,461.6667
are,2018,461.6667
are,2019,461.6667
arg,2014,150
arg,2015,150
arg,2016,150
arg,2017,150
arg,2018,150
arg,2019,150
arm,2014,250
arm,2015,100
arm,2016,100
arm,2017,100
arm,2018,100
arm,2019,100
atg,2014,546.3889
atg,2015,546.3889
atg,2016,546.3889
atg,2017,546.3889
atg,2018,546.3889
atg,2019,546.3889
aus,2014,749
aus,2015,749
aus,2016,749
aus,2017,749
aus,2018,766
aus,2019,766
aut,2014,0
aut,2015,0
aut,2016,0
aut,2017,0
aut,2018,0
aut,2019,0
aze,2014,214.1429
aze,2015,214.1429
aze,2016,214.1429
aze,2017,214.1429
aze,2018,214.1429
aze,2019,214.1429
bdi,2014,108.8571
bdi,2015,108.8571
bdi,2016,108.8571
bdi,2017,108.8571
bdi,2018,108.8571
bdi,2019,108.8571
bel,2014,0
bel,2015,0
bel,2016,0
bel,2017,0
bel,2018,0
bel,2019,0
ben,2014,334.3333
ben,2015,334.3333
ben,2016,354.3333
ben,2017,354.3333
ben,2018,354.3333
ben,2019,354.3333
bfa,2014,261
bfa,2015,261
bfa,2016,261
bfa,2017,261
bfa,2018,261
bfa,2019,261
bgd,2014,408.1731
bgd,2015,408.1731
bgd,2016,408.1731
bgd,2017,408.1731
bgd,2018,408.1731
bgd,2019,408.1731
bgr,2014,51.66667
bgr,2015,51.66667
bgr,2016,55
bgr,2017,55
bgr,2018,55
bgr,2019,55
bhr,2014,47.22222
bhr,2015,47.22222
bhr,2016,47.22222
bhr,2017,47.22222
bhr,2018,47.22222
bhr,2019,47.22222
bhs,2014,512
bhs,2015,512
bhs,2016,512
bhs,2017,512
bhs,2018,512
bhs,2019,512
bih,2014,70
bih,2015,70
bih,2016,70
bih,2017,70
bih,2018,70
bih,2019,70
blr,2014,107.6923
blr,2015,107.6923
blr,2016,107.6923
blr,2017,107.6923
blr,2018,65
blr,2019,65
blz,2014,710
blz,2015,710
blz,2016,710
blz,2017,710
blz,2018,710
blz,2019,710
bol,2014,65
bol,2015,65
bol,2016,65
bol,2017,65
bol,2018,65
bol,2019,65
bra,2014,861.9565
bra,2015,861.9565
bra,2016,861.9565
bra,2017,861.9565
bra,2018,861.9565
bra,2019,861.9565
brb,2014,486
brb,2015,486
brb,2016,486
brb,2017,486
brb,2018,486
brb,2019,486
brn,2014,340
brn,2015,340
brn,2016,340
brn,2017,340
brn,2018,340
brn,2019,340
btn,2014,59.16667
btn,2015,59.16667
btn,2016,59.16667
btn,2017,59.16667
btn,2018,59.16667
btn,2019,59.16667
bwa,2014,316.5385
bwa,2015,316.5385
bwa,2016,316.5385
bwa,2017,316.5385
bwa,2018,316.5385
bwa,2019,316.5385
caf,2014,280
caf,2015,280
caf,2016,280
caf,2017,280
caf,2018,280
caf,2019,280
can,2014,166.6667
can,2015,166.6667
can,2016,166.6667
can,2017,166.6667
can,2018,166.6667
can,2019,166.6667
che,2014,115
che,2015,115
che,2016,115
che,2017,115
che,2018,115
che,2019,115
chl,2014,290
chl,2015,290
chl,2016,290
chl,2017,290
chl,2018,290
chl,2019,290
chn,2014,484.1441
chn,2015,484.1441
chn,2016,484.1441
chn,2017,484.1441
chn,2018,314
chn,2019,256.2
civ,2014,422.5714
civ,2015,422.5714
civ,2016,422.5714
civ,2017,422.5714
civ,2018,422.5714
civ,2019,422.5714
cmr,2014,982.75
cmr,2015,982.75
