geo,time,gc_tax_gsrv_va_zs
bfa,2012,10.84925
bfa,2013,12.00681
bfa,2014,10.9786
bfa,2015,11.04626
bfa,2016,11.51662
bfa,2017,11.83933
bfa,2018,12.39652
bfa,2019,11.80234
bgd,2001,3.12304
bgd,2002,3.21679
bgd,2003,4.17745
bgd,2004,3.4703
bgd,2005,3.38075
bgd,2006,3.38662
bgd,2007,3.31333
bgd,2008,3.52095
bgd,2009,3.61806
bgd,2010,3.84711
bgd,2011,4.25462
bgd,2012,4.25857
bgd,2013,4.21014
bgd,2014,3.98989
bgd,2015,3.88564
bgd,2016,4.11447
bgr,1990,9.87186
bgr,1991,8.24112
bgr,1992,6.52486
bgr,1993,7.82505
bgr,1994,14.7113
bgr,1995,8.02205
bgr,1996,8.70177
bgr,1997,10.74152
bgr,1998,13.46757
bgr,1999,14.98267
bgr,2000,15.90866
bgr,2001,15.57151
bgr,2002,14.15742
bgr,2003,16.74541
bgr,2004,18.90431
bgr,2005,19.06722
bgr,2006,19.61974
bgr,2007,19.4936
bgr,2008,20.93373
bgr,2009,16.69379
bgr,2010,16.41249
bgr,2011,15.96384
bgr,2012,17.35023
bgr,2013,18.32415
bgr,2014,17.3728
bgr,2015,18.23234
bgr,2016,18.06279
bgr,2017,17.67572
bgr,2018,17.43193
bgr,2019,17.9128
bhr,1980,0.55134
bhr,1981,0.65296
bhr,1982,0.84111
bhr,1983,0.92795
bhr,1984,1.06917
bhs,1992,1.00385
bhs,1993,0.57571
bhs,1994,1.14066
bhs,1995,2.05814
bhs,1996,1.21351
bhs,1997,0.72142
bhs,1998,0.8221
bhs,1999,0.6659
bhs,2000,1.64178
bhs,2001,1.22985
bhs,2002,1.25558
bhs,2003,1.05366
bhs,2004,1.39635
bhs,2005,1.9713
bhs,2006,3.62908
bhs,2007,4.00126
bhs,2008,1.6436
bhs,2009,4.0569
bhs,2010,5.5183
bhs,2011,7.38866
bhs,2012,6.89646
bhs,2013,5.86047
bhs,2014,6.17019
bhs,2015,8.61714
bhs,2016,10.63572
bhs,2017,11.67706
bhs,2018,11.37232
bhs,2019,14.41136
bih,2005,10.69193
bih,2006,26.24675
bih,2007,25.78692
bih,2008,22.91751
bih,2009,20.80697
bih,2010,22.17719
bih,2011,22.48031
bih,2012,22.54256
bih,2013,21.61951
bih,2014,21.60006
bih,2015,21.80088
bih,2016,21.50688
bih,2017,21.2149
bih,2018,21.39636
bih,2019,21.05345
blr,1992,17.16418
blr,1993,15.84106
blr,1994,15.32151
blr,1995,13.36752
blr,1996,15.53849
blr,1997,17.72982
blr,1998,14.75331
blr,1999,14.7033
blr,2000,15.16846
blr,2001,13.51239
blr,2002,12.65819
blr,2003,13.3224
blr,2004,14.16223
blr,2005,14.64217
blr,2006,18.24474
blr,2007,16.87252
blr,2008,15.27734
blr,2009,12.55953
blr,2010,12.42297
blr,2011,10.12285
blr,2012,10.57952
blr,2013,10.99048
blr,2014,11.53091
blr,2015,10.87551
blr,2016,11.65223
blr,2017,10.829
blr,2018,11.39407
blr,2019,10.88205
blz,1990,3.4929
blz,1991,3.13001
blz,1992,2.68312
blz,1993,3.4717
blz,1994,4.19617
blz,1995,4.60356
blz,1996,11.17609
blz,1997,10.24971
blz,1998,9.67382
blz,1999,7.48755
blz,2000,8.16756
blz,2001,8.13434
blz,2002,7.96991
blz,2003,8.0083
blz,2004,8.7843
blz,2005,10.69779
blz,2006,11.55049
blz,2007,11.76974
blz,2008,11.00431
blz,2009,10.21551
blz,2010,11.4849
blz,2011,9.93791
blz,2012,11.79302
blz,2013,12.67512
blz,2014,13.70078
blz,2015,13.87498
blz,2016,18.0569
blz,2017,18.88653
bol,1985,7.81028
bol,1986,6.19476
bol,1987,5.22329
bol,1988,6.12457
bol,1989,6.2397
bol,1990,6.5303
bol,1991,7.85895
bol,1992,8.78158
bol,1993,9.59232
bol,1994,10.93408
bol,1995,10.67589
bol,1996,13.35857
bol,1997,13.4502
bol,1998,13.03679
bol,1999,10.99175
bol,2000,12.71855
bol,2001,12.11696
bol,2002,13.56616
bol,2003,13.51961
bol,2004,14.53815
bol,2005,17.19784
bol,2006,18.22077
bol,2007,18.11778
bra,2010,8.30142
bra,2011,8.31418
bra,2012,8.14452
bra,2013,7.77291
bra,2014,7.1791
bra,2015,7.24754
bra,2016,6.87552
bra,2017,7.09435
bra,2018,7.35048
bra,2019,6.79535
brb,2003,13.26459
brb,2004,14.50242
brb,2005,14.77581
btn,1982,6.70398
btn,1983,7.12433
btn,1984,9.07059
btn,1985,7.57381
btn,1986,7.3417
btn,1988,6.50399
btn,1989,5.15171
btn,1990,4.5942
btn,1991,5.29352
btn,1992,5.38323
btn,1993,5.90421
btn,1994,5.66702
btn,1995,5.25893
btn,1996,5.10847
btn,1997,3.63549
btn,1998,4.9089
btn,1999,3.75405
btn,2000,6.0082
btn,2001,3.36048
btn,2002,4.9117
btn,2003,5.8106
btn,2004,3.26138
btn,2005,4.60292
btn,2006,5.39755
btn,2007,3.67157
btn,2008,4.34246
btn,2009,4.42933
btn,2010,5.69718
btn,2011,6.19634
btn,2012,8.41901
btn,2013,8.50478
btn,2014,6.76008
btn,2015,6.50222
btn,2016,6.48527
btn,2017,6.91622
btn,2018,9.61576
bwa,1990,1.12021
bwa,1991,1.21866
bwa,1992,1.88998
bwa,1993,1.72172
bwa,1994,1.81676
bwa,1995,2.04426
bwa,1996,1.90413
bwa,2006,4.60358
bwa,2007,5.19815
bwa,2008,7.1341
bwa,2009,6.67127
bwa,2010,6.49247
bwa,2011,5.54272
bwa,2012,5.76553
bwa,2013,4.68285
bwa,2014,4.49735
bwa,2015,4.91162
bwa,2016,4.47308
bwa,2017,5.22533
bwa,2018,4.867
bwa,2019,5.15419
caf,2009,7.56116
caf,2010,8.76547
caf,2011,7.07362
caf,2012,3.99136
caf,2014,1.94092
caf,2015,3.04496
caf,2016,2.62471
caf,2017,1.84905
caf,2018,3.12815
can,1997,3.92438
can,1998,3.85109
can,1999,3.72252
can,2000,3.57199
can,2001,3.54196
can,2002,3.71037
can,2003,3.70003
can,2004,3.60338
can,2005,3.49085
can,2006,3.26702
can,2007,3.05715
can,2008,2.60398
can,2009,2.82461
can,2010,2.80953
can,2011,2.66991
can,2012,2.61128
can,2013,2.57982
can,2014,2.58243
can,2015,2.69571
can,2016,2.72822
can,2017,2.76324
can,2018,2.74067
che,1990,4.91049
che,1991,4.76426
che,1992,4.61875
che,1993,4.7503
che,1994,4.66855
che,1995,5.34907
che,1996,5.26632
che,1997,5.44252
che,1998,5.8137
che,1999,6.21971
che,2000,6.52542
che,2001,6.30563
che,2002,6.07051
che,2003,6.09618
che,2004,6.15835
che,2005,6.04344
che,2006,5.93942
che,2007,5.76883
che,2008,5.72906
che,2009,5.66768
che,2010,5.7498
che,2011,5.74544
che,2012,5.64669
che,2013,5.61014
che,2014,5.53017
che,2015,5.52468
che,2016,5.40247
che,2017,5.52456
che,2018,5.27602
che,2019,5.20978
chl,1973,9.03769
chl,1974,9.10208
chl,1975,11.05472
chl,1976,11.97012
chl,1977,12.41502
chl,1978,12.2323
chl,1979,11.41942
chl,1980,11.86463
chl,1981,12.71515
chl,1982,12.76157
chl,1983,11.50714
chl,1984,12.94065
chl,1985,11.7037
chl,1986,12.57699
chl,1987,11.77064
chl,1988,10.02463
chl,1989,9.22371
chl,1990,9.49313
chl,1991,10.57225
chl,1992,11.21984
chl,1993,11.31478
chl,1994,10.81588
chl,1995,10.34789
chl,1996,11.17764
chl,1997,11.14357
chl,1998,11.27015
chl,1999,11.12961
chl,2000,11.5065
chl,2001,11.36144
chl,2002,11.56029
chl,2003,11.39259
chl,2004,10.94774
chl,2005,10.8056
chl,2006,9.51021
chl,2007,10.07579
chl,2008,10.90561
chl,2009,9.85735
chl,2010,10.90652
chl,2011,11.25444
chl,2012,10.85433
chl,2013,11.59421
chl,2014,11.54273
