geo,time,ag_lnd_trac_zs
afg,1961,0.15686
afg,1962,0.19481
afg,1963,0.25806
afg,1964,0.25641
afg,1965,0.38462
afg,1966,0.51053
afg,1967,0.63743
afg,1968,0.63743
afg,1969,0.69975
afg,1970,0.69886
afg,1971,0.75949
afg,1972,0.75853
afg,1973,0.73957
afg,1974,0.72061
afg,1975,0.69532
afg,1976,0.67004
afg,1977,0.65107
afg,1978,0.62579
afg,1979,0.5689
afg,1980,0.50569
afg,1981,0.44248
afg,1982,0.37927
afg,1983,0.31606
afg,1984,0.25284
afg,1985,0.18963
afg,1986,0.18963
afg,1987,0.15171
afg,1988,0.15171
afg,1989,0.15171
afg,1990,0.15171
afg,1991,0.15171
afg,1992,0.13906
afg,1993,0.14059
afg,1994,0.1428
afg,1995,0.14373
afg,1996,0.14385
afg,1997,0.14314
afg,1998,0.14181
afg,1999,0.14373
afg,2000,0.14317
afg,2001,0.13276
afg,2002,0.20969
afg,2003,0.12352
afg,2004,0.14585
afg,2005,0.16912
afg,2006,0.91224
afg,2007,1.29715
afg,2008,0.2194
afg,2009,0.28615
ago,1961,2.99625
ago,1962,6.09259
ago,1963,7.35294
ago,1964,10.24364
ago,1965,10.83032
ago,1966,13.31786
ago,1967,15.90106
ago,1968,18.53147
ago,1969,22.06897
ago,1970,24.52759
ago,1971,27.95862
alb,1961,67.12963
alb,1962,87.15596
alb,1963,86.36364
alb,1964,94.80813
alb,1965,94.15217
alb,1966,99.24211
alb,1967,109.03689
alb,1968,114.38
alb,1969,115.37255
alb,1970,115.45106
alb,1971,126.41509
alb,1972,137.03704
alb,1973,149.34307
alb,1974,156.1939
alb,1975,170.87034
alb,1976,170.43478
alb,1977,172.41379
alb,1978,173.24185
alb,1979,173.24185
alb,1980,172.73504
alb,1981,173.46939
alb,1982,174.87267
alb,1983,176.91002
alb,1984,173.17487
alb,1985,168.93039
alb,1986,173.17487
alb,1987,180.16949
alb,1988,196.61017
alb,1989,207.90378
alb,1990,212.43523
alb,1991,163.82353
alb,1992,155.70934
alb,1993,156.82842
alb,1994,157.71231
alb,1995,154.90468
alb,1996,144.07279
alb,1997,136.85121
alb,1998,141.24783
alb,1999,142.11438
alb,2000,139.91349
alb,2001,132.30104
alb,2002,130.0173
alb,2003,102.37024
alb,2004,131.03806
alb,2005,150.96654
alb,2006,135.30822
alb,2007,126.5917
alb,2008,121.93443
and,2004,4370.37037
and,2005,4412.5
and,2006,4589.74359
and,2007,4636.36364
and,2008,4671.05263
and,2009,4584.41558
are,1961,244
are,1962,248
are,1963,252
are,1964,256
are,1965,260
are,1966,220
are,1967,223.33333
are,1968,226.66667
are,1969,230
are,1970,200
are,1971,202.85714
are,1972,205.71429
are,1973,182.5
are,1974,164.44444
are,1975,136.36364
are,1976,138.18182
are,1977,128.33333
are,1978,130
are,1979,131.66667
are,1980,100
are,1981,85.26316
are,1982,91.11111
are,1983,72.17391
are,1984,70
are,1985,65.38462
are,1986,59.31034
are,1987,60
are,1988,60.68966
are,1989,61.37931
are,1990,51.42857
are,1991,52.28571
are,1992,45.78947
are,1993,41.5
are,1994,44.04762
are,1995,63.02326
are,1996,61.52174
are,1997,60.44444
are,1998,76.38889
are,1999,63.95349
are,2000,63.33333
arg,1961,64.52654
arg,1962,67.77894
arg,1963,71.42857
arg,1964,75
arg,1965,75.75387
arg,1966,74.04665
arg,1967,73.85524
arg,1968,71.27584
arg,1969,67.57539
arg,1970,64.75
arg,1971,65.76923
arg,1972,67.17692
arg,1973,69.23077
arg,1974,69.23077
arg,1975,69.23077
arg,1976,69.23077
arg,1977,69.23077
arg,1978,66.53846
arg,1979,65.92308
arg,1980,64.11538
arg,1981,81.92308
arg,1982,75.44444
arg,1983,74.74074
arg,1984,75.44444
arg,1985,75.55556
arg,1986,83.33333
arg,1987,91.41791
arg,1988,101.55953
arg,1989,100.5289
arg,1990,99.52963
arg,1991,98.51949
arg,1992,97.51727
arg,1993,96.50428
arg,1994,95.48855
arg,1995,94.48441
arg,1996,93.48817
arg,1997,92.49634
arg,1998,91.52233
arg,1999,90.54918
arg,2000,89.58032
arg,2001,88.62539
arg,2002,87.68933
arm,1992,345.48463
arm,1993,323.32564
arm,1994,314.94253
arm,1995,306.89655
arm,1996,288.88889
arm,1997,279.12088
arm,1998,276.92308
arm,1999,278.06667
arm,2000,291.6
arm,2001,312.3956
arm,2002,319.51648
arm,2003,312.50549
arm,2004,314.17582
arm,2005,314.96703
arm,2006,322.72025
arm,2007,325.59168
arm,2008,327.08703
asm,1961,30
asm,1962,30
asm,1963,50
asm,1964,50
asm,1965,60
asm,1966,100
asm,1967,100
asm,1968,120
asm,1969,120
asm,1970,120
asm,1971,120
asm,1972,120
asm,1973,120
asm,1974,120
asm,1975,120
asm,1976,120
asm,1977,120
asm,1978,120
asm,1979,120
asm,1980,120
asm,1981,110
asm,1982,110
asm,1983,110
asm,1984,110
asm,1985,110
asm,1986,110
asm,1987,110
asm,1988,110
asm,1989,110
asm,1990,110
asm,1991,110
asm,1992,91.66667
asm,1993,91.66667
asm,1994,91.66667
asm,1995,73.33333
asm,1996,55
asm,1997,55
asm,1998,45.83333
asm,1999,44
asm,2000,68
asm,2002,120
asm,2003,107.78443
atg,1961,202.5
atg,1962,194.28571
atg,1963,251.25
atg,1964,300
atg,1965,250
atg,1966,237.5
atg,1967,268.57143
atg,1968,195.71429
atg,1969,166.25
atg,1970,162.5
atg,1971,192.85714
atg,1972,470
atg,1973,496.66667
atg,1974,793.33333
atg,1975,753.33333
atg,1976,760
aus,1961,183.65436
aus,1962,174.69941
aus,1963,184.4501
aus,1964,181.33346
aus,1965,173.62958
aus,1966,167.50806
aus,1967,168.09418
aus,1968,151.13213
aus,1969,168.07561
aus,1970,176.66559
aus,1971,196.60497
aus,1972,195.36927
aus,1973,224.10078
aus,1974,225.03722
aut,1961,792.02487
aut,1962,879.16716
aut,1963,987.3128
aut,1964,1073.65118
aut,1965,1155.00602
aut,1966,1275.71163
aut,1967,1361.64375
aut,1968,1432.28607
aut,1969,1510.95268
aut,1970,1569.86129
aut,1971,1630.0189
aut,1972,1690.51008
aut,1973,1833.75826
aut,1974,1878.56011
aut,1975,1919.25877
aut,1976,1934.21053
aut,1977,2012.01439
aut,1978,2023.27085
aut,1979,2087.32764
aut,1980,2083.98438
aut,1981,2080.69722
aut,1982,2124.16938
aut,1983,2265.87908
aut,1984,2256.47059
aut,1985,2251.79558
aut,1986,2265.87908
aut,1987,2265.87908
aut,1988,2410.45267
aut,1989,2408.80055
aut,1990,2373.64656
aut,1991,2352.94118
aut,1992,2374.65181
aut,1993,2415.89852
aut,1994,2424.45538
aut,1995,2517.80764
aut,1996,2517.7305
aut,1997,2506.22333
aut,1998,2450.14245
aut,1999,2394.63623
aut,2000,2394.76769
aut,2001,2410.4398
aut,2002,2408.86643
aut,2003,2412.46929
aut,2004,2408.67107
aut,2005,2401.15883
aze,1992,194.77853
aze,1993,179.5081
aze,1994,168.25249
aze,1995,166.1067
aze,1996,158.84693
aze,1997,155.59627
aze,1998,153.06957
aze,1999,150.01918
aze,2000,148.18142
aze,2001,147.39881
aze,2002,147.45006
aze,2003,147.39733
aze,2004,147.22117
aze,2005,83.88672
aze,2006,99.22337
aze,2007,113.65156
aze,2008,116.07354
aze,2009,114.95197
bdi,1961,0.02963
bdi,1962,0.02857
bdi,1963,0.02762
bdi,1964,0.02688
bdi,1965,0.02646
bdi,1966,0.02656
bdi,1967,0.03807
bdi,1968,0.0375
bdi,1969,0.03024
bdi,1970,0.04255
bdi,1971,0.04306
bdi,1972,0.03348
bdi,1973,0.04301
bdi,1974,0.05376
bdi,1975,0.10753
bdi,1976,0.16043
bdi,1977,0.21231
bdi,1978,0.85561
bdi,1979,0.91398
bdi,1980,0.96774
bdi,1981,1.02151
bdi,1982,1.07527
bdi,1983,1.1828
bdi,1984,1.29032
bdi,1985,1.39785
bdi,1986,1.50538
bdi,1987,1.6129
bdi,1988,1.72043
bdi,1989,1.75269
bdi,1990,1.75269
bdi,1991,1.77419
bdi,1992,1.82796
bel,1961,485.65045
bel,1962,532.93825
bel,1963,586.39361
bel,1964,617.43487
bel,1965,657.47992
bel,1966,791.58954
bel,1967,860.9596
bel,1968,899.17088
bel,1969,984.24089
bel,1970,1003.1307
bel,1971,989.1388
bel,1972,996.93009
bel,1973,1025.24873
bel,1974,1048.41302
bel,1975,1060.82485
bel,1976,1119.43935
bel,1977,1125.58854
bel,1978,1129.82492
bel,1979,1180.92516
bel,1980,1530.2231
bel,1981,1536.84211
bel,1982,1543.53562
