geo,time,sm_pop_totl
abw,1960,7893
abw,1965,7677
abw,1970,7466
abw,1975,7262
abw,1980,7063
abw,1985,9860
abw,1990,14444
abw,1995,22274
abw,2000,30104
abw,2005,32540
abw,2010,34327
abw,2015,36114
afg,1960,46468
afg,1965,49535
afg,1970,53051
afg,1975,57043
afg,1980,59021
afg,1985,56118
afg,1990,57686
afg,1995,71522
afg,2000,75917
afg,2005,87300
afg,2010,102246
afg,2015,382365
ago,1960,122089
ago,1965,77075
ago,1970,48657
ago,1975,30717
ago,1980,89891
ago,1985,108854
ago,1990,33517
ago,1995,39813
ago,2000,46108
ago,2005,61329
ago,2010,76549
ago,2015,106845
alb,1960,48901
alb,1965,51409
alb,1970,54045
alb,1975,56816
alb,1980,59730
alb,1985,62793
alb,1990,66013
alb,1995,71354
alb,2000,76695
alb,2005,64739
alb,2010,52784
alb,2015,57616
and,1960,2497
and,1965,6983
and,1970,13446
and,1975,18623
and,1980,25792
and,1985,32306
and,1990,38904
and,1995,40525
and,2000,42146
and,2005,50298
and,2010,52053
and,2015,42082
are,1960,2194
are,1965,25981
are,1970,65827
are,1975,312400
are,1980,718479
are,1985,1007837
are,1990,1306574
are,1995,1824118
are,2000,2446675
are,2005,3281036
are,2010,7316611
are,2015,8095126
arg,1960,2601188
arg,1965,2409183
arg,1970,2219411
arg,1975,2064199
arg,1980,1920798
arg,1985,1780443
arg,1990,1649919
arg,1995,1595069
arg,2000,1540219
arg,2005,1673088
arg,2010,1805957
arg,2015,2086302
arm,1990,658789
arm,1995,693999
arm,2000,657900
arm,2005,469119
arm,2010,221560
arm,2015,191199
asm,1960,2384
asm,1965,4170
asm,1970,7248
asm,1975,10843
asm,1980,13594
asm,1985,17073
asm,1990,21283
asm,1995,23098
asm,2000,24912
asm,2005,24233
asm,2010,23555
asm,2015,23216
atg,1960,4868
atg,1965,5807
atg,1970,6914
atg,1975,7941
atg,1980,9120
atg,1985,10474
atg,1990,12029
atg,1995,17550
atg,2000,23071
atg,2005,24741
atg,2010,26412
atg,2015,28083
aus,1960,1698085
aus,1965,2054727
aus,1970,2456522
aus,1975,2659453
aus,1980,2896444
aus,1985,3143480
aus,1990,3955213
aus,1995,4153330
aus,2000,4386250
aus,2005,4878030
aus,2010,5882980
aus,2015,6763663
aut,1960,806643
aut,1965,744995
aut,1970,676679
aut,1975,721037
aut,1980,719958
aut,1985,728326
aut,1990,793239
aut,1995,894893
aut,2000,996547
aut,2005,1136270
aut,2010,1275992
aut,2015,1492374
aze,1990,360600
aze,1995,344070
aze,2000,327540
aze,2005,302220
aze,2010,276901
aze,2015,264241
bdi,1960,126323
bdi,1965,184633
bdi,1970,143820
bdi,1975,139741
bdi,1980,223791
bdi,1985,343406
bdi,1990,333110
bdi,1995,254853
bdi,2000,125628
bdi,2005,172874
bdi,2010,235259
bdi,2015,286810
bel,1960,441555
bel,1965,606859
bel,1970,695361
bel,1975,820201
bel,1980,896823
bel,1985,871821
bel,1990,891537
bel,1995,885278
bel,2000,853369
bel,2005,870862
bel,2010,1052844
bel,2015,1387940
ben,1960,34019
ben,1965,38777
ben,1970,44750
ben,1975,50383
ben,1980,57430
ben,1985,67713
ben,1990,76212
ben,1995,104971
ben,2000,133730
ben,2005,171499
ben,2010,209267
ben,2015,245399
bfa,1960,62943
bfa,1965,74981
bfa,1970,89322
bfa,1975,106405
bfa,1980,170487
bfa,1985,273256
bfa,1990,349657
bfa,1995,434848
bfa,2000,520039
bfa,2005,596972
bfa,2010,673904
bfa,2015,704676
bgd,1960,661411
bgd,1965,685166
bgd,1970,726989
bgd,1975,768579
bgd,1980,804526
bgd,1985,842155
bgd,1990,881617
bgd,1995,934735
bgd,2000,987853
bgd,2005,1166700
bgd,2010,1345546
bgd,2015,1422805
bgr,1960,20295
bgr,1965,20783
bgr,1970,21189
bgr,1975,21513
bgr,1980,21709
bgr,1985,21846
bgr,1990,21510
bgr,1995,32435
bgr,2000,43360
bgr,2005,61074
bgr,2010,76287
bgr,2015,102113
bhr,1960,26733
bhr,1965,38357
bhr,1970,37946
bhr,1975,60092
bhr,1980,103466
bhr,1985,137052
bhr,1990,173212
bhr,1995,205979
bhr,2000,239361
bhr,2005,404018
bhr,2010,657856
bhr,2015,704137
bhs,1960,11331
bhs,1965,18754
bhs,1970,30916
bhs,1975,27217
bhs,1980,24078
bhs,1985,25429
bhs,1990,26855
bhs,1995,31654
bhs,2000,36454
bhs,2005,45595
bhs,2010,54736
bhs,2015,59306
bih,1990,56000
bih,1995,69476
bih,2000,82952
bih,2005,47272
bih,2010,38792
bih,2015,34803
blr,1990,1248977
blr,1995,1186282
blr,2000,1123586
blr,2005,1106982
blr,2010,1090378
blr,2015,1082905
blz,1960,7621
blz,1965,8831
blz,1970,10197
blz,1975,10953
blz,1980,13859
blz,1985,25673
blz,1990,30404
blz,1995,33446
blz,2000,36488
blz,2005,41424
blz,2010,46360
blz,2015,53860
bmu,1960,8749
bmu,1965,11083
bmu,1970,14258
bmu,1975,14335
bmu,1980,14189
bmu,1985,14917
bmu,1990,15683
bmu,1995,16676
bmu,2000,17668
