global,time,bx_gsr_insf_zs
world,1982,3.1187
world,1983,3.5016
world,1984,3.85169
world,1985,4.21288
world,1986,6.17936
world,1987,5.98904
world,1988,5.93682
world,1989,5.77368
world,1990,5.88345
world,1991,6.3898
world,1992,7.62703
world,1993,7.08176
world,1994,5.60397
world,1995,6.1971
world,1996,6.22093
world,1997,6.39796
world,1998,6.54874
world,1999,9.1921
world,2000,9.59042
world,2001,9.35268
world,2002,9.69012
world,2003,10.39142
world,2004,10.84977
world,2005,11.41411
world,2006,12.51198
world,2007,13.23823
world,2008,12.3061
world,2009,12.52718
world,2010,12.09613
world,2011,12.32277
world,2012,12.16308
world,2013,12.08814
world,2014,11.96559
world,2015,11.81672
world,2016,11.7666
world,2017,11.56462
world,2018,11.30666
world,2019,10.96016
world,2020,13.84299
