geo,time,sl_agr_0714_fe_zs
alb,2010,84.14
aze,2005,91.4
bfa,2003,96.1
bfa,2006,57.2
bgd,2003,64.02
bgd,2013,46.59
bol,2002,73.4
bol,2005,82.4
bol,2008,72.3
bol,2009,73.11
bol,2013,75.97
bol,2015,73.46
bra,2004,48.9
bra,2008,42.8
bra,2009,35.89
bra,2011,40.45
bra,2013,44.47
bra,2014,40.70899
bra,2015,44.4
chl,2003,12.2
chl,2012,18.27
cmr,2001,86.32
cmr,2007,86.76
col,2007,21.71
col,2009,22.91
col,2012,20.18
col,2014,21.39
col,2015,25.17
cri,2004,19.36
cri,2011,17.76
cri,2016,20.16
dom,2005,2.83
dom,2009,8.75
dom,2012,8.23
ecu,2004,68
ecu,2006,71.02
ecu,2009,72.15
ecu,2011,69.35
ecu,2015,79.38
egy,2009,62.23
eth,2005,91.4
gha,2003,67.9
gha,2012,71.19
gin,2010,72.32
gmb,2015,97.29
gtm,2003,43
gtm,2004,36.9
gtm,2006,36.64
gtm,2012,40.15
gtm,2014,39.47
gtm,2015,25.58009
hnd,2004,20.2
hnd,2007,19.09
hnd,2011,20.74
hnd,2013,18.62
hnd,2014,14.84
idn,2009,48.72
idn,2010,48.11
ind,2000,76.58
ind,2005,73.08
ind,2010,77.24
ind,2012,68.62
jam,2002,17.08
jor,2007,83.74
jor,2016,52.17
ken,1999,74.44632
kgz,1998,96.28803
kgz,2007,98.34
kgz,2014,98.14951
khm,2001,73.6
khm,2009,80.4
khm,2012,58.24
lao,2010,94.31
lbr,2010,73.6
lka,1999,71.38
lka,2009,66.32
mar,1999,60.3
mar,2004,61.27
mda,2009,97.41
mdg,2001,93.85
mdg,2007,83.9
mex,2004,20.6
mex,2009,16.78
mex,2010,14.77
mex,2011,14.4
mex,2013,13.16
mli,2005,76.2
mli,2007,56.45
mng,2007,91.94
mng,2012,85.37
mwi,2015,68.01
nam,1999,91.5
ner,2009,3.84
nga,2010,76.65
nic,2001,32.04252
nic,2005,34.68
nic,2010,31.78
nic,2012,38.91
npl,1999,85.9
npl,2008,88.93
pak,2008,78.48
pak,2011,81.73
pan,2003,41.28
pan,2008,62.29
pan,2010,73.56
pan,2012,64.5
pan,2014,70.88
per,2000,69.13
per,2007,61.33
phl,2001,53.4
phl,2011,38.77
prt,2001,40.66683
pry,2005,33.85
pry,2014,38.25
rou,2000,98.12
rwa,2008,84.69
rwa,2011,75.38
rwa,2014,71.2
sdn,2008,59.7
sen,2005,67.03
sen,2011,78.76
sle,2007,83.3
slv,2003,17.60597
slv,2007,12.01
slv,2009,17.87
slv,2011,15.83
slv,2012,14.8
slv,2013,14.14
ssd,2008,49.38
tgo,2006,75.79
tgo,2010,64.26
tjk,1999,35.29
tls,2007,96.89
tur,1999,83.3998
tur,2006,71.22
tza,2001,73.12456
tza,2006,80.45
tza,2014,93.06
uga,2006,94.89
uga,2012,96.19
ury,2009,12.31
ven,2003,9.24221
ven,2005,9
ven,2006,12.97
ven,2013,9.2
vnm,2012,72.73
yem,1999,96.62
yem,2010,60.98
zmb,2005,95.32
zmb,2008,90.11
