geo,time,se_prm_nenr
abw,1999,97.82877
abw,2000,98.08635
abw,2001,94.53929
abw,2002,95.31814
abw,2003,93.9307
abw,2004,94.63489
abw,2005,97.80506
abw,2006,98.6384
abw,2007,98.86144
abw,2008,99.05832
abw,2009,95.89151
abw,2010,98.91975
abw,2014,99.23471
afg,1974,26.82221
afg,1993,26.766
ago,1982,45.19862
ago,1983,42.53922
ago,1998,45.34669
ago,2008,75.37373
ago,2009,74.65254
ago,2010,75.80242
ago,2011,78.02393
alb,1999,96.79354
alb,2000,95.38335
alb,2001,93.86551
alb,2003,91.69871
alb,2004,90.92345
alb,2008,86.78701
alb,2009,85.34118
alb,2010,85.95611
alb,2011,86.99052
alb,2012,89.53195
alb,2013,91.90565
alb,2014,93.78369
alb,2015,94.17835
alb,2016,94.05692
alb,2017,95.53947
alb,2018,94.52966
are,1978,79.68499
are,1980,76.15229
are,1981,73.20257
are,1982,78.237
are,1983,73.66271
are,1984,73.48471
are,1985,73.12173
are,1986,73.86725
are,1987,84.85019
are,1988,88.24281
are,1989,93.00106
are,1990,96.9068
are,1991,97.42814
are,1992,93.98811
are,1993,90.43338
are,1994,88.41546
are,1995,88.89034
are,1996,86.05468
are,1997,82.45285
are,1998,79.37283
are,2007,86.66614
are,2012,86.53352
are,2013,85.55659
are,2014,90.21069
are,2015,93.73636
are,2016,94.55178
are,2017,95.02753
arg,1970,95.12735
arg,1974,96.62253
arg,1975,96.32775
arg,1987,95.45755
arg,1991,96.1759
arg,1997,100
arg,1998,99.31647
arg,1999,99.16485
arg,2000,98.92861
arg,2001,99.0026
arg,2002,98.95948
arg,2003,98.87379
arg,2004,98.57855
arg,2005,98.81425
arg,2006,98.85437
arg,2007,99.13952
arg,2008,99.13278
arg,2009,99.09709
arg,2010,98.7319
arg,2011,98.91685
arg,2012,99.05122
arg,2013,99.11341
arg,2014,99.44461
arg,2015,99.49576
arg,2016,99.10172
arg,2017,99.184
arm,2002,84.48945
arm,2003,82.67607
arm,2005,81.05196
arm,2006,83.44942
arm,2007,87.87505
arm,2011,95.15386
arm,2012,96.41176
arm,2013,95.00256
arm,2014,93.76733
arm,2015,92.69541
arm,2016,92.23963
arm,2017,91.94625
arm,2018,90.72273
atg,2007,97.35554
atg,2008,96.64587
atg,2009,95.5628
atg,2010,95.1015
atg,2011,95.53796
atg,2012,94.10914
atg,2014,91.88907
atg,2015,94.16545
atg,2017,94.19429
atg,2018,95.69547
aus,1971,96.54105
aus,1973,95.15404
aus,1974,94.52301
aus,1975,97.27922
aus,1976,98.30379
aus,1977,99.97696
aus,1978,99.98407
aus,1979,99.97685
aus,1980,99.95414
aus,1981,99.90612
aus,1982,99.093
aus,1983,98.11419
aus,1984,96.30331
aus,1985,96.34697
aus,1986,97.0215
aus,1987,97.57306
aus,1988,98.24894
aus,1989,98.36512
aus,1990,97.97447
aus,1991,97.38874
aus,1992,97.15609
aus,1993,96.73898
aus,1994,96.43436
aus,1995,94.99609
aus,1996,95.40056
aus,1997,94.98368
aus,1998,94.75605
aus,1999,94.43508
aus,2000,94.398
aus,2001,93.85651
aus,2002,93.85948
aus,2003,94.8527
aus,2004,95.2255
aus,2005,95.50656
aus,2006,95.63832
aus,2007,96.41764
aus,2008,96.53968
aus,2009,96.68084
aus,2010,96.98847
aus,2011,97.57037
aus,2012,97.88079
aus,2013,97.38938
aus,2014,97.04009
aus,2015,96.9821
aus,2016,96.65012
aus,2017,96.38096
aut,1971,90.95584
aut,1972,90.16531
aut,1973,88.81081
aut,1974,87.91742
aut,1975,87.62543
aut,1976,87.04474
aut,1989,94.2875
aut,1999,90.24
aut,2000,91.24983
aut,2001,90.30978
aut,2002,88.37171
aut,2003,87.47243
aut,2004,87.70025
aut,2005,87.83857
aut,2006,88.24542
aut,2007,88.16804
aut,2008,87.76118
aut,2009,87.44103
aut,2010,87.36683
aut,2011,87.15916
aut,2012,88.39229
aut,2013,88.38265
aut,2014,88.70387
aut,2015,88.59448
aut,2016,88.84197
aut,2017,88.61718
aze,1991,96.17142
aze,1992,96.14938
aze,1993,91.32005
aze,1994,83.26495
aze,1995,84.66302
aze,1996,93.50836
aze,1997,90.12694
aze,1998,88.72601
aze,1999,92.1411
aze,2000,88.23962
aze,2001,85.38303
aze,2002,84.82565
aze,2003,83.28454
aze,2004,84.21228
aze,2005,83.86862
aze,2006,83.15377
aze,2007,83.3748
aze,2008,83.88997
aze,2009,85.17391
aze,2010,84.44645
aze,2011,86.61261
aze,2012,89.10507
aze,2013,93.50729
aze,2014,94.6666
aze,2015,94.14265
aze,2016,94.92858
aze,2017,93.7475
aze,2018,92.42467
bdi,1973,18.59082
bdi,1978,17.14554
bdi,1980,18.70052
bdi,1981,20.57046
bdi,1982,23.85651
bdi,1983,29.98929
bdi,1984,34.70884
bdi,1985,38.96946
bdi,1986,41.46913
bdi,1987,46.5633
bdi,1988,49.16317
bdi,1993,49.06123
bdi,2000,41.29739
bdi,2001,50.13475
bdi,2002,49.38625
bdi,2003,52.81008
bdi,2004,54.41122
bdi,2005,57.65405
bdi,2006,74.35688
bdi,2007,81.83963
bdi,2008,92.38812
bdi,2009,90.49009
bdi,2010,95.37413
bdi,2017,94.87551
bdi,2018,92.8047
bel,1977,96.29779
bel,1979,97.62043
bel,1980,98.15498
bel,1981,97.04024
bel,1982,97.12267
bel,1983,93.98158
bel,1984,93.29294
bel,1985,92.87257
bel,1986,94.30415
bel,1987,95.68513
bel,1988,96.89028
bel,1991,96.53405
bel,1992,95.09398
bel,1993,97.66637
bel,1994,97.04167
bel,1995,97.07828
bel,1996,97.5397
bel,1999,98.89581
bel,2000,98.89887
bel,2001,98.94338
bel,2002,98.67874
bel,2003,97.71071
bel,2004,96.10918
bel,2005,95.74554
bel,2006,96.05934
bel,2007,96.98175
bel,2008,97.56414
bel,2009,97.482
bel,2010,97.25467
bel,2011,97.38063
bel,2012,97.69174
bel,2013,97.70043
bel,2014,97.64411
bel,2015,98.06739
bel,2016,98.29369
bel,2017,98.76482
ben,1984,50.10471
ben,1985,50.83997
ben,1986,48.90028
ben,1988,48.44376
ben,1989,48.92716
ben,1990,39.50607
ben,1992,49.21298
ben,1993,53.21355
ben,1994,54.48041
ben,1995,56.8919
ben,1996,59.11845
ben,1997,62.47886
ben,2003,83.4165
ben,2004,86.69745
ben,2005,81.92453
ben,2006,84.66898
ben,2008,90.1357
ben,2009,94.2321
ben,2010,94.92278
ben,2011,94.8091
ben,2012,95.50633
ben,2014,96.36058
ben,2017,97.03352
ben,2018,97.21103
bfa,1971,10.0546
bfa,1972,10.48779
bfa,1977,12.55795
bfa,1978,13.02682
bfa,1979,13.5189
bfa,1980,14.30845
bfa,1981,15.32438
bfa,1982,16.8141
bfa,1983,18.08002
bfa,1984,19.42905
bfa,1985,21.48462
bfa,1986,23.48546
bfa,1987,25.13819
bfa,1988,25.62197
bfa,1989,25.91472
bfa,1991,27.18227
bfa,1992,27.70352
bfa,1993,28.68706
bfa,1994,29.91303
bfa,1995,31.53515
bfa,1998,34.98034
bfa,1999,35.48973
bfa,2000,36.33372
bfa,2001,37.26342
bfa,2002,36.72142
bfa,2003,38.65198
bfa,2004,41.14892
bfa,2005,45.7476
bfa,2006,48.74733
bfa,2007,54.03414
bfa,2008,59.9701
bfa,2009,62.7928
bfa,2010,59.91302
bfa,2011,64.89106
bfa,2012,65.68288
bfa,2013,66.59063
bfa,2014,67.7983
bfa,2015,69.38962
bfa,2016,75.20863
bfa,2017,76.42387
bfa,2018,78.64517
bgd,1970,51.62585
bgd,1973,72.03309
bgd,1976,76.7823
bgd,1977,73.18313
bgd,1978,72.14783
bgd,1981,68.55957
bgd,1983,65.58304
bgd,1984,64.46519
bgd,1985,62.89953
bgd,1986,62.08812
bgd,1987,61.20893
bgd,1988,71.93169
bgd,1989,71.90344
bgd,1990,74.92288
bgd,2005,93.68999
bgd,2006,93.43051
bgd,2008,92.56719
bgd,2009,92.54123
bgd,2010,90.53203
bgr,1996,93.93516
bgr,1997,95.0039
bgr,1998,95.1383
bgr,1999,95.59626
bgr,2000,95.27463
bgr,2001,95.54443
bgr,2002,93.96941
bgr,2003,94.307
bgr,2004,95.46767
bgr,2005,94.18482
bgr,2006,95.18675
bgr,2007,97.78147
bgr,2008,98.04598
bgr,2009,97.74258
bgr,2010,97.95684
bgr,2011,97.97584
bgr,2012,95.726
bgr,2013,93.90701
bgr,2014,92.61403
bgr,2015,90.40649
bgr,2016,87.58166
bgr,2017,86.4454
bhr,1971,76.33968
bhr,1972,79.20479
bhr,1973,80.26908
bhr,1974,81.86211
bhr,1975,85.28601
bhr,1976,82.12487
bhr,1977,82.11388
bhr,1978,80.05571
bhr,1979,80.69142
bhr,1980,82.3983
bhr,1981,81.99603
bhr,1982,80.6088
bhr,1983,83.25855
bhr,1984,86.6106
bhr,1985,91.05123
bhr,1986,96.14373
bhr,1987,95.51585
bhr,1988,98.27366
bhr,1989,99.0614
bhr,1991,99.4111
bhr,1992,97.01005
bhr,1993,98.02282
bhr,1994,97.93377
bhr,1995,99.114
bhr,1996,99.858
bhr,1997,99.60053
bhr,1998,96.968
bhr,1999,96.875
bhr,2000,95.77521
bhr,2001,93.01535
bhr,2002,93.09968
bhr,2003,92.38448
bhr,2004,91.59966
bhr,2005,89.10805
bhr,2006,90.50941
bhr,2011,90.22637
bhr,2012,91.19673
bhr,2013,92.26165
bhr,2014,94.30002
bhr,2015,96.45648
bhr,2016,96.26462
bhr,2017,97.27864
bhr,2018,96.71489
bhs,1971,100
bhs,1972,99.90995
bhs,1973,96.35086
bhs,1974,99.34907
bhs,1975,100
bhs,1976,98.85311
bhs,1980,97.22125
bhs,1981,100
bhs,1984,95.93899
bhs,1992,88.52849
bhs,1993,88.8667
bhs,1994,92.60562
bhs,1999,90.54622
bhs,2004,88.80686
bhs,2005,90.23928
bhs,2006,86.01952
bhs,2007,86.93278
bhs,2008,85.77192
bhs,2009,81.81508
bhs,2010,80.42244
bhs,2011,85.58313
bhs,2012,79.93012
bhs,2013,74.72864
bhs,2014,75.44279
bhs,2015,79.81499
bhs,2016,75.35743
bhs,2018,74.22717
blr,1995,88.16409
blr,2001,95.5913
blr,2002,92.53704
blr,2003,93.07121
blr,2004,91.53975
blr,2005,89.60983
blr,2006,89.71155
blr,2007,89.59185
blr,2010,91.05012
blr,2011,90.70014
blr,2012,93.98101
blr,2013,93.23412
blr,2014,93.11386
blr,2015,93.96598
blr,2016,96.08237
blr,2017,95.61727
blr,2018,94.92861
blz,1999,97.74424
blz,2000,94.82919
blz,2001,91.96333
blz,2003,92.11363
blz,2004,93.30201
blz,2005,92.96664
blz,2006,93.62886
blz,2007,93.3871
blz,2008,93.81454
blz,2009,94.92075
blz,2010,95.41596
blz,2011,95.14914
blz,2012,96.65387
blz,2013,95.743
blz,2014,96.35903
blz,2015,96.20372
blz,2016,96.11602
blz,2017,96.18248
blz,2018,95.94237
bmu,1978,79.41537
bmu,1979,77.38169
bmu,1984,86.69732
bmu,1985,88.72524
bmu,2005,96.99323
bmu,2011,93.46006
bmu,2012,92.71386
bol,1998,94.72467
bol,1999,94.759
bol,2000,95.14838
bol,2001,94.89123
bol,2002,95.16109
bol,2003,95.2292
bol,2004,94.82356
bol,2005,94.96596
bol,2006,95.07125
bol,2007,94.89489
bol,2008,94.08623
bol,2009,93.52178
bol,2010,90.89746
bol,2011,88.24213
bol,2012,86.63318
bol,2013,86.31707
bol,2014,86.31873
bol,2015,87.3167
bol,2016,88.81425
bol,2017,90.87779
bol,2018,92.85137
bra,1999,96.914
bra,2001,98.03385
bra,2002,95.73049
bra,2003,93.17962
bra,2004,94.42334
bra,2005,94.85334
bra,2007,91.58906
bra,2008,97.54903
bra,2009,95.52765
bra,2011,95.00738
bra,2012,98.0755
bra,2013,93.76937
bra,2014,94.84088
bra,2015,94.73055
bra,2016,95.47144
bra,2017,96.29925
brb,1971,86.44477
brb,1972,88.06389
brb,1973,88.73368
brb,1976,98.82915
brb,1977,98.32617
brb,1978,98.22735
brb,1979,98.87614
brb,1981,94.60567
