global,time,gc_rev_socl_zs
world,2002,11.3443
world,2003,11.49189
world,2004,11.16291
world,2005,11.8749
world,2006,10.91834
world,2007,11.74965
world,2008,11.21921
world,2009,11.69281
world,2010,8.75178
world,2011,9.20987
world,2012,7.15145
world,2013,7.53963
world,2014,7.15429
world,2015,6.65296
world,2016,6.94612
world,2017,6.85947
world,2018,7.09086
world,2019,8.8049
