geo,time,ag_prd_crel_mt
afg,1961,3695000
afg,1962,3696000
afg,1963,3378000
afg,1964,3732000
afg,1965,3785000
afg,1966,3489000
afg,1967,3826000
afg,1968,3916000
afg,1969,4038000
afg,1970,3512000
afg,1971,3319000
afg,1972,3950000
afg,1973,4270000
afg,1974,4351000
afg,1975,4481000
afg,1976,4624000
afg,1977,4147000
afg,1978,4382000
afg,1979,4214000
afg,1980,4072000
afg,1981,3893000
afg,1982,3724000
afg,1983,3591000
afg,1984,3418000
afg,1985,3242000
afg,1986,3084000
afg,1987,3394000
afg,1988,2997000
afg,1989,2834000
afg,1990,2705000
afg,1991,2721302
afg,1992,2470000
afg,1993,2981774
afg,1994,3144000
afg,1995,3242179
afg,1996,3241915
afg,1997,3682723
afg,1998,3875506
afg,1999,3256396
afg,2000,1940000
afg,2001,2108000
afg,2002,3737000
afg,2003,4381000
afg,2004,3560000
afg,2005,5425000
afg,2006,4638000
afg,2007,5786000
afg,2008,3950000
afg,2009,6514000
afg,2010,5957000
afg,2011,4681020
afg,2012,6379000
afg,2013,6520329
afg,2014,6747979
afg,2015,5816151
afg,2016,5537315
afg,2017,4900051
afg,2018,4140568
ago,1961,544000
ago,1962,543000
ago,1963,515000
ago,1964,564000
ago,1965,562000
ago,1966,502000
ago,1967,515000
ago,1968,526148
ago,1969,648090
ago,1970,575915
ago,1971,522928
ago,1972,513417
ago,1973,548578
ago,1974,513764
ago,1975,558000
ago,1976,563000
ago,1977,430000
ago,1978,475000
ago,1979,361000
ago,1980,435000
ago,1981,316000
ago,1982,315000
ago,1983,337000
ago,1984,321000
ago,1985,308000
ago,1986,341400
ago,1987,364400
ago,1988,334400
ago,1989,272400
ago,1990,248500
ago,1991,372060
ago,1992,401800
ago,1993,322000
ago,1994,285000
ago,1995,296000
ago,1996,519376
ago,1997,448888
ago,1998,609612
ago,1999,541183
ago,2000,519635
ago,2001,601120
ago,2002,733819
ago,2003,736542
ago,2004,742341
ago,2005,914886
ago,2006,723305
ago,2007,780963
ago,2008,754711
ago,2009,1056844
ago,2010,1181944
ago,2011,1412826
ago,2012,509545
ago,2013,1674598
ago,2014,1823194
