geo,time,bn_trf_curr_cd
atg,1996,31622222.22222
atg,1997,9781481.48148
atg,1998,-1711111.11111
atg,1999,19509608.88889
atg,2000,9345185.18519
atg,2001,9132222.22222
atg,2002,5614663.7037
atg,2003,13250215.55556
atg,2004,8349240.74074
atg,2005,7998488.88889
atg,2006,25223291.85185
atg,2007,18235681.11111
atg,2008,28751912.59259
atg,2009,26649084.81481
atg,2010,19478400.74074
atg,2011,25666363.7037
atg,2012,30346287.77778
atg,2013,30447585.55556
atg,2014,-38974421.62502
atg,2015,-50659010.43053
atg,2016,-57663148.04246
atg,2017,-59911456.6993
atg,2018,-58495465.48035
atg,2019,-53862837.32482
atg,2020,-61345630.07458
aus,1989,674041042.83412
aus,1990,792886791.1092
aus,1991,546802132.45357
aus,1992,326076144.32627
aus,1993,289726352.35545
aus,1994,192923939.58582
aus,1995,181168116.22849
aus,1996,394525037.84398
aus,1997,178295410.11191
aus,1998,48843408.20998
aus,1999,169506490.09385
aus,2000,-78017343.64591
aus,2001,251573803.04481
aus,2002,311728560.06939
aus,2003,207793945.46396
aus,2004,-84422341.47805
aus,2005,-431617764.04607
aus,2006,-488436330.71285
aus,2007,-173967803.58263
aus,2008,-383013468.60155
aus,2009,-828931592.72208
aus,2010,-1606888778.08112
aus,2011,-2214623078.70646
aus,2012,-2229647625.92391
aus,2013,-1845358843.43129
aus,2014,-2597993303.84352
aus,2015,-833648815.20923
aus,2016,-771531656.08879
aus,2017,-1246709522.65109
aus,2018,-637072859.45152
aus,2019,-734064521.09884
aus,2020,-1062147356.43482
aut,2005,-1819461336.77983
aut,2006,-3443772648.22876
aut,2007,-3692713103.46929
aut,2008,-4473245035.47929
aut,2009,-3822173849.64442
aut,2010,-3989975259.74026
aut,2011,-4171484939.78625
aut,2012,-4115928536.30894
aut,2013,-5191404388.52014
aut,2014,-4188557143.09069
aut,2015,-3504768745.54769
aut,2016,-3802369539.46173
aut,2017,-3009728537.96526
aut,2018,-4449386455.67766
aut,2019,-3815430226.94806
aut,2020,-3725795847.1465
aze,1995,110754000
aze,1996,66494000
aze,1997,44795000
aze,1998,64006000
aze,1999,81753000
aze,2000,73091000
aze,2001,76597000
aze,2002,70357000
aze,2003,134134000
aze,2004,188497000
aze,2005,483871000
aze,2006,566266000
aze,2007,1005027000
aze,2008,1050450000
aze,2009,721692000
aze,2010,509131000
aze,2011,673343000
aze,2012,-49995000
aze,2013,-59961000
aze,2014,-47593000
aze,2015,221745000
aze,2016,56830000
aze,2017,708678000
aze,2018,731368000
aze,2019,508617642.90716
aze,2020,557776000
bdi,1985,89244618.99567
bdi,1986,111770858.4998
bdi,1987,114143431.93734
bdi,1988,97531963.38901
bdi,1989,141573529.41176
bdi,1990,174166753.84964
bdi,1991,196388588.30265
bdi,1992,178639095.67488
bdi,1993,182057830.13428
bdi,1994,165422253.00549
bdi,1995,152527952.11355
bdi,1996,61364837.48789
bdi,1997,56750539.82655
bdi,1998,55975686.69636
bdi,1999,51072596.20716
bdi,2000,59365870.80601
bdi,2001,79193034.29062
bdi,2002,117303247.65265
bdi,2003,123827289.35361
bdi,2004,154621128.16786
bdi,2005,239486934.4351
bdi,2006,229048864.7484
bdi,2007,241200862.00863
bdi,2008,186220719.42588
bdi,2009,257113767.30354
bdi,2010,135900244.97291
bdi,2011,263562943.73576
bdi,2012,446516248.42018
bdi,2013,432478917.36228
bdi,2014,331945384.32693
bdi,2015,282884516.49227
bdi,2016,205493726.68155
bdi,2017,241257334.20857
bdi,2018,251450734.64481
bel,2002,-4344049563.41932
bel,2003,-6385080118.3736
bel,2004,-6481252400.97404
bel,2005,-6364865540.88961
bel,2006,-6545068952.29391
bel,2007,-6356834993.12888
bel,2008,-8352155361.72562
bel,2009,-6244330717.01633
bel,2010,-4875843261.61616
bel,2011,-5585418992.19426
bel,2012,-6657208852.45969
bel,2013,-7594340174.47393
bel,2014,-7903094159.92428
bel,2015,-6715646035.26765
bel,2016,-7562888719.52236
bel,2017,-6320859091.25132
bel,2018,-7969988396.06229
bel,2019,-7966874905.3301
bel,2020,-8468567855.20338
ben,1974,42342344.66668
ben,1975,67172811.23572
ben,1976,88005676.92694
ben,1977,108702515.75627
ben,1978,115436842.51316
ben,1979,154488275.57701
ben,1980,150752873.07133
ben,1981,120692690.12547
ben,1982,106565227.26631
ben,1983,108424777.05709
ben,1984,93601959.19255
ben,1985,91260583.22844
ben,1986,114349768.78403
ben,1987,139750051.2563
ben,1988,80156598.19835
ben,1989,98346971.06741
ben,1990,97449252.24941
ben,1991,142442452.64916
ben,1992,165838155.45297
ben,1993,132639348.27235
ben,1994,106252703.66334
ben,1995,121051769.10234
ben,1996,74659013.89551
ben,1997,75239514.14982
ben,1998,88298742.78826
ben,1999,108035547.06886
ben,2000,111315280.25136
ben,2001,162931971.38402
ben,2002,158078289.1424
ben,2003,66542802.67235
ben,2004,93655296.93616
ben,2005,164456376.87803
ben,2006,258865556.27346
ben,2007,268794268.00424
ben,2008,245793699.1392
ben,2009,172913325.94495
ben,2010,155175607.03928
ben,2011,141789251.68867
ben,2012,200444872.17579
ben,2013,254324226.8951
ben,2014,293870877.89996
ben,2015,143261204.55501
ben,2016,209574288.26724
ben,2017,204272197.10128
ben,2018,227299315.87661
ben,2019,216868305.35347
ben,2020,283120412.8602
bfa,2005,234826052.59744
bfa,2006,239999712.92595
bfa,2007,403786846.89249
bfa,2008,410937181.55544
bfa,2009,516315959.24685
bfa,2010,493130213.1593
bfa,2011,545436073.38454
bfa,2012,499999668.54368
bfa,2013,439203432.28465
bfa,2014,478143787.8798
bfa,2015,459348150.46232
bfa,2016,406911432.95083
bfa,2017,398762780.53144
bfa,2018,471412169.50972
bfa,2019,542747947.80501
bfa,2020,722113938.67478
bgd,1976,228104356.28204
bgd,1977,414577080.23336
bgd,1978,585549466.34487
bgd,1979,895362876.99183
bgd,1980,1120576689.56523
bgd,1981,935530035.18543
bgd,1982,1298765222.37761
bgd,1983,1432003166.42554
bgd,1984,1268770166.6086
bgd,1985,1183882065.16815
bgd,1986,1219034557.69136
bgd,1987,1502973061.40168
bgd,1988,1631916474.67927
bgd,1989,1395971490.5485
bgd,1990,1613494327.16652
bgd,1991,1811580065.49354
bgd,1992,1808041220.03503
bgd,1993,1950258566.45277
bgd,1994,2089169238.77569
bgd,1995,2264909293.53152
bgd,1996,1908777095.65312
bgd,1997,2132268580.45467
bgd,1998,2166959153.30435
bgd,1999,2496062039.53132
bgd,2000,2419502884.60343
bgd,2001,2567855500.11624
bgd,2002,3239323469.32086
bgd,2003,3578062789.40694
bgd,2004,3947542401.4066
bgd,2005,4774165519.99636
bgd,2006,5933064384.07418
bgd,2007,7287661842.88306
bgd,2008,9617754297.67892
bgd,2009,10980766130.8699
bgd,2010,11379299070.571
bgd,2011,12242924733.8616
bgd,2012,14547947303.0244
bgd,2013,14499375595.657
bgd,2014,15602625160.9589
bgd,2015,15769294315.1444
bgd,2016,14123083235.7731
bgd,2017,14001681442.9043
bgd,2018,16096669287.537
bgd,2019,18871918280.196
bgd,2020,22334322531.0887
bgd,2021,22666694225.3346
bgr,1980,58000000
bgr,1981,90000000
bgr,1982,102000000
bgr,1983,109000000
bgr,1984,81000000
bgr,1985,73000000
bgr,1986,67000000
bgr,1987,108000000
bgr,1988,103000000
bgr,1989,77000000
bgr,1990,125000000
bgr,1991,69100000
bgr,1992,42900000
bgr,1993,36900000
