geo,time,se_sec_enrl_gc
abw,1999,5034
abw,2000,5239
abw,2001,5352
abw,2002,5559
abw,2003,5548
abw,2004,5810
abw,2005,5988
abw,2006,6311
abw,2007,6339
abw,2008,5921
abw,2009,6201
abw,2010,6200
abw,2011,6281
abw,2012,7289
abw,2013,7481
abw,2014,7643
afg,1970,107609
afg,1971,127162
afg,1972,146988
afg,1973,159464
afg,1974,167397
afg,1975,179763
afg,1976,196991
afg,1977,211187
afg,1978,224531
afg,1980,280898
afg,1981,318403
afg,1982,178423
afg,1984,198337
afg,1985,206381
afg,1986,187745
afg,1988,205392
afg,1989,202572
afg,1990,182340
afg,1991,281928
afg,1993,332170
afg,1994,497762
afg,1995,512851
afg,2001,362415
afg,2002,395223
afg,2003,405002
afg,2004,591541
afg,2005,642442
afg,2007,1028382
afg,2008,1415293
afg,2009,1693479
afg,2010,2032719
afg,2011,2190878
afg,2012,2392465
afg,2013,2508900
afg,2014,2577715
afg,2015,2624473
afg,2016,2699792
afg,2017,2875687
afg,2018,3041987
ago,1971,43966
ago,1972,51598
ago,1973,58932
ago,1974,71815
ago,1979,113327
ago,1980,140547
ago,1981,185904
ago,1982,134578
ago,1983,124858
ago,1984,163679
ago,1985,144612
ago,1986,170165
ago,1987,169564
ago,1988,145538
ago,1989,166674
ago,1990,155257
ago,1991,166812
ago,1992,196099
ago,1998,247374
ago,1999,242284
ago,2000,284724
ago,2001,337155
ago,2002,366729
ago,2003,360986
ago,2006,339172
ago,2007,358609
ago,2008,393699
ago,2009,408364
ago,2010,487529
ago,2011,484717
ago,2016,1746550
alb,1976,318376
alb,1978,316157
alb,1979,314237
alb,1980,314088
alb,1981,314415
alb,1982,307510
alb,1983,287000
alb,1984,284843
alb,1985,303040
alb,1986,311248
alb,1987,316147
alb,1988,324829
alb,1989,330751
alb,1990,335252
alb,1991,340100
alb,1992,330802
alb,1993,319481
alb,1994,320880
alb,1995,328816
alb,1996,328441
alb,1997,333523
alb,1998,343949
alb,1999,348369
alb,2000,351163
alb,2001,361549
alb,2002,363710
alb,2003,375804
alb,2004,369474
alb,2006,379731
alb,2007,380293
alb,2008,376901
alb,2009,332929
alb,2010,335865
alb,2011,336461
alb,2012,330089
alb,2013,322077
alb,2014,306610
alb,2015,292278
alb,2016,272891
alb,2017,259397
alb,2018,248267
and,1971,724
and,1972,723
and,1973,698
and,1974,890
and,1975,1339
and,1976,1753
and,1983,2516
and,2002,2917
and,2003,2975
and,2004,3028
and,2005,3506
and,2006,3597
and,2007,3574
and,2008,3589
and,2009,3602
and,2010,3692
and,2011,3789
and,2012,3883
and,2013,3921
and,2014,3956
and,2015,4004
and,2016,4006
and,2017,4053
and,2018,4025
are,1971,4008
are,1972,5194
are,1973,5884
are,1974,5782
are,1975,7551
are,1976,12148
are,1977,15927
are,1978,18610
are,1979,22384
are,1980,26872
are,1981,31940
are,1982,39266
are,1983,45235
are,1984,51277
are,1985,56126
are,1986,61478
are,1987,67621
are,1988,75813
are,1989,84866
are,1990,94979
are,1991,107115
are,1992,117118
are,1993,128643
are,1994,144000
are,1995,158625
are,1997,178839
are,1998,188313
are,2016,433144
are,2017,520274
arg,1970,405435
arg,1971,408697
arg,1972,413203
arg,1973,422652
arg,1974,440304
arg,1975,454194
arg,1976,445397
arg,1977,441907
arg,1978,442117
arg,1979,441617
arg,1980,510080
arg,1981,528140
arg,1982,594167
arg,1983,614615
arg,1984,656521
arg,1985,715518
arg,1986,761601
arg,1987,770615
arg,1988,811256
arg,1998,2683111
arg,1999,3665865
arg,2000,3829421
arg,2001,3904915
arg,2002,3905207
arg,2003,3902011
arg,2004,3919748
arg,2005,3884317
arg,2006,3872929
arg,2007,3897005
arg,2008,3963715
arg,2009,4106048
arg,2010,4213136
arg,2011,4279426
arg,2012,4346391
arg,2013,4406046
arg,2014,4450741
arg,2015,4501734
arg,2016,4583002
arg,2017,4612663
arm,1991,371810
arm,1992,372820
arm,1993,379638
arm,1994,322067
arm,1995,322222
arm,1996,319537
arm,1997,327594
arm,1998,341442
arm,1999,347200
arm,2000,403407
arm,2001,388298
arm,2002,383372
arm,2003,376506
arm,2004,367222
arm,2005,362707
arm,2006,354261
arm,2007,335065
arm,2008,306558
arm,2009,300253
arm,2010,291127
arm,2011,234176
arm,2013,228070
arm,2014,217929
arm,2015,215010
arm,2016,215917
arm,2018,215307
asm,1972,2305
asm,1973,2484
asm,1974,2392
asm,1975,2373
asm,1976,2500
asm,1977,2602
asm,1978,2679
asm,1979,2679
asm,1980,2679
asm,1981,3000
asm,1982,2960
asm,1983,2999
asm,1984,3051
asm,1985,3287
asm,1986,3342
asm,1987,3171
asm,1988,3053
asm,1989,3176
asm,1990,3298
asm,1991,3425
asm,1992,3483
asm,1993,3550
asm,1994,3620
asm,1995,3620
asm,1996,3620
asm,1997,3620
atg,1971,5000
atg,1972,7009
atg,1973,4785
atg,1974,6669
atg,1975,6201
atg,1976,6629
atg,1977,6685
atg,1978,5458
atg,1984,4104
atg,1992,5845
atg,2000,4576
atg,2008,8114
atg,2009,7966
atg,2010,7841
atg,2011,7973
atg,2012,7907
atg,2014,7752
atg,2015,7797
atg,2017,7577
atg,2018,7574
aus,1970,956210
aus,1971,977898
aus,1972,1016814
aus,1973,1038774
aus,1974,1059180
aus,1975,1099922
aus,1976,1118149
aus,1977,1120161
aus,1978,1115378
aus,1979,1102178
aus,1980,1100468
aus,1981,1115782
aus,1982,1145680
aus,1983,1206771
aus,1984,1255821
aus,1985,1278272
aus,1986,1289457
aus,1987,1295337
aus,1988,1296641
aus,1989,1276969
aus,1990,1278163
aus,1991,1288691
aus,1992,1294596
aus,1993,1282309
aus,1994,1273640
aus,1995,1275656
aus,1996,1294846
aus,1997,1315835
aus,1998,1352555
aus,1999,1370645
aus,2000,1376306
aus,2001,1388801
aus,2002,1411612
aus,2003,1437675
aus,2004,1448223
aus,2005,1469246
aus,2006,1488493
aus,2007,1501992
aus,2008,1511370
aus,2009,1527779
aus,2010,1533093
aus,2011,1542054
aus,2012,1552108
aus,2013,1566087
aus,2014,1577750
aus,2015,1653634
aus,2016,1668260
aus,2017,1679751
aut,1971,541718
aut,1972,557525
aut,1973,574774
aut,1974,591325
aut,1975,601262
aut,1976,612297
aut,1977,620968
aut,1978,590588
aut,1979,585347
aut,1980,575922
aut,1981,583382
aut,1982,565276
aut,1983,548838
aut,1984,524067
aut,1985,500702
aut,1986,495755
aut,1987,473467
aut,1988,454848
aut,1989,441184
aut,1990,429976
aut,1991,427286
aut,1992,441996
aut,1993,459011
aut,1994,469915
aut,1995,476273
aut,1996,479820
aut,1997,480966
aut,1998,460370
aut,1999,486779
