geo,time,iq_spi_pil5
afg,2016,35
afg,2017,35
afg,2018,35
afg,2019,35
ago,2016,40
ago,2017,40
ago,2018,40
ago,2019,40
alb,2016,80
alb,2017,80
alb,2018,85
alb,2019,75
are,2016,55
are,2017,65
are,2018,65
are,2019,65
arg,2016,35
arg,2017,35
arg,2018,35
arg,2019,35
arm,2016,75
arm,2017,80
arm,2018,85
arm,2019,85
atg,2016,25
atg,2017,20
atg,2018,20
atg,2019,25
aus,2016,100
aus,2017,100
aus,2018,100
aus,2019,100
aut,2016,100
aut,2017,100
aut,2018,100
aut,2019,100
aze,2016,60
aze,2017,70
aze,2018,80
aze,2019,80
bdi,2016,35
bdi,2017,35
bdi,2018,35
bdi,2019,35
bel,2016,95
bel,2017,95
bel,2018,95
bel,2019,100
ben,2016,20
ben,2017,30
ben,2018,30
ben,2019,25
bfa,2016,25
bfa,2017,35
bfa,2018,35
bfa,2019,35
bgd,2016,35
bgd,2017,25
bgd,2018,25
bgd,2019,25
bgr,2016,85
bgr,2017,85
bgr,2018,90
bgr,2019,90
bhr,2016,40
bhr,2017,35
bhr,2018,30
bhr,2019,30
bhs,2016,35
bhs,2017,25
bhs,2018,40
bhs,2019,60
bih,2016,65
bih,2017,65
bih,2018,60
bih,2019,60
blr,2016,80
blr,2017,75
blr,2018,80
blr,2019,85
blz,2016,30
blz,2017,30
blz,2018,30
blz,2019,30
bol,2016,15
bol,2017,15
bol,2018,15
bol,2019,20
bra,2016,55
bra,2017,55
bra,2018,65
bra,2019,75
brb,2016,25
brb,2017,25
brb,2018,25
brb,2019,30
brn,2016,30
brn,2017,35
brn,2018,40
brn,2019,45
btn,2016,20
btn,2017,20
btn,2018,20
btn,2019,15
bwa,2016,30
bwa,2017,35
bwa,2018,35
bwa,2019,40
caf,2016,15
caf,2017,15
caf,2018,15
caf,2019,20
can,2016,95
can,2017,95
can,2018,95
can,2019,100
che,2016,90
che,2017,90
che,2018,90
che,2019,90
chl,2016,75
chl,2017,75
chl,2018,85
chl,2019,95
chn,2016,45
chn,2017,50
chn,2018,55
chn,2019,65
civ,2016,15
civ,2017,25
civ,2018,30
civ,2019,25
cmr,2016,35
cmr,2017,35
cmr,2018,35
cmr,2019,35
cod,2017,15
cod,2018,20
cod,2019,20
cog,2016,30
cog,2017,20
cog,2018,20
cog,2019,20
col,2016,50
col,2017,50
col,2018,45
col,2019,55
com,2016,20
com,2017,20
com,2018,25
com,2019,30
cpv,2016,25
cpv,2017,25
cpv,2018,20
cpv,2019,20
cri,2016,50
cri,2017,65
cri,2018,55
cri,2019,70
cyp,2016,80
cyp,2017,80
cyp,2018,85
cyp,2019,85
cze,2016,90
cze,2017,95
cze,2018,95
cze,2019,95
deu,2016,95
deu,2017,95
deu,2018,95
deu,2019,95
dji,2016,5
dji,2017,15
dji,2018,20
dji,2019,25
dma,2016,40
dma,2017,35
dma,2018,35
dma,2019,35
dnk,2016,100
dnk,2017,100
dnk,2018,100
dnk,2019,100
dom,2016,60
dom,2017,60
dom,2018,50
dom,2019,60
dza,2016,25
dza,2017,25
dza,2018,30
dza,2019,40
ecu,2016,50
ecu,2017,50
ecu,2018,45
ecu,2019,45
egy,2016,60
egy,2017,60
egy,2018,60
egy,2019,60
eri,2016,10
eri,2017,10
eri,2018,10
eri,2019,10
esp,2016,95
esp,2017,95
esp,2018,95
esp,2019,100
est,2016,100
est,2017,100
est,2018,100
est,2019,100
eth,2016,15
