geo,time,dt_nfl_faog_cd
afg,2013,565351.72462
afg,2018,720899.99914
afg,2019,484853.53589
ago,2013,481106.5495
ago,2018,95890.00046
ago,2019,312759.78684
alb,2013,178411.20064
alb,2018,205630.00441
alb,2019,359183.28166
arg,2013,26011.80039
arg,2018,95169.99871
arg,2019,83160.43019
arm,2013,706270.39671
arm,2018,345160.00748
arm,2019,401137.26258
atg,2013,262256.50311
atg,2018,8334.1999
atg,2019,62986.78368
aze,2013,692265.80858
aze,2018,212105.09539
aze,2019,313018.29219
bdi,2013,445890.60545
bdi,2018,449229.98548
bdi,2019,480256.52766
ben,2013,730363.66701
ben,2018,494055.00293
ben,2019,534642.87519
bfa,2013,402246.92225
bfa,2018,1131520.03288
bfa,2019,278693.58659
bgd,2013,1673588.75275
bgd,2018,307875.51403
bgd,2019,1428819.53716
bih,2013,258829.41484
bih,2018,127938.49409
bih,2019,106711.44724
blr,2013,1075.80621
blr,2018,253289.99758
blr,2019,202964.18667
blz,2013,340762.82382
blz,2018,110519.99778
blz,2019,141823.14277
bol,2013,401287.70471
bol,2018,264440.00006
bol,2019,709772.58682
bra,2013,43155.37214
bra,2018,26429.99962
bra,2019,16481.00093
btn,2013,120204.61261
btn,2018,247630.00011
btn,2019,340100.52681
bwa,2018,423456.60925
bwa,2019,241113.79683
caf,2013,304847.62788
caf,2018,913129.98533
caf,2019,200996.66715
chl,2013,504415.6909
chn,2013,539388.17978
chn,2018,535312.89101
chn,2019,180881.76847
civ,2013,474012.19606
civ,2018,397458.70233
civ,2019,182579.60677
cmr,2013,492445.52851
cmr,2018,386385.79845
cmr,2019,620970.42799
cod,2013,539221.5848
cod,2018,197220.90662
cod,2019,394101.02367
cog,2013,419967.26394
cog,2018,723655.81989
cog,2019,714973.98615
col,2013,323288.14268
col,2018,303346.69352
col,2019,463770.35975
com,2013,1253.91199
com,2018,405000.00119
com,2019,359478.23524
cpv,2013,1362470.38841
cpv,2018,554740.01169
cpv,2019,642559.28993
cri,2013,269242.04826
cri,2018,68790.39854
cri,2019,121544.41327
cub,2013,144743.75546
cub,2018,204975.79873
cub,2019,542874.87268
dji,2013,565468.90736
dji,2018,333539.99257
dji,2019,455219.92445
dma,2013,135852.81372
dma,2018,200831.10034
dma,2019,124116.04077
dom,2013,989809.93032
dom,2018,257369.99512
dom,2019,252663.88059
dza,2013,149554.99768
dza,2018,185709.99801
dza,2019,276891.61897
ecu,2013,752412.67681
ecu,2018,325275.80857
ecu,2019,241775.22957
egy,2013,282941.81824
egy,2018,247020.00618
egy,2019,746385.93197
eri,2013,403616.21976
eri,2018,509990.27491
eri,2019,724119.24601
eth,2013,370575.81544
eth,2018,620500.02813
eth,2019,854004.02546
fji,2013,345374.46499
fji,2018,214809.40282
fji,2019,250665.21764
fsm,2013,173823.99738
fsm,2018,198874.99511
fsm,2019,293627.41113
gab,2013,53765.24106
gab,2018,112875.0965
gab,2019,140090.40594
geo,2013,14231.72187
geo,2018,235970.00539
geo,2019,268397.06302
gha,2013,681541.50248
gha,2018,1009715.79552
gha,2019,827029.70505
gin,2013,493386.26862
gin,2018,427839.99443
gin,2019,377472.66889
gmb,2013,532845.67595
gmb,2018,303778.40996
gmb,2019,353938.99679
gnb,2013,442768.39495
gnb,2018,410059.9885
gnb,2019,198651.23928
gnq,2013,11863.41513
gnq,2018,353139.99653
gnq,2019,270789.74247
grd,2013,42319.82678
grd,2018,104039.99686
grd,2019,182963.41598
gtm,2013,85111.81176
gtm,2018,732036.59058
gtm,2019,850522.75658
guy,2013,110620.37945
guy,2018,81816.50192
guy,2019,64811.45322
hnd,2013,37929.34492
hnd,2018,274679.98862
hnd,2019,517698.10915
hti,2013,620311.08141
hti,2018,445638.5076
hti,2019,762647.27116
idn,2013,572189.9271
idn,2018,270772.09949
idn,2019,510901.03388
ind,2013,287928.78985
ind,2018,297091.39466
ind,2019,456273.31734
irn,2013,2006.9764
irn,2018,270567.08932
irn,2019,412039.42895
irq,2013,40905.12171
irq,2018,461809.99279
irq,2019,337504.44651
jam,2013,150247.09702
jam,2018,196689.99314
jam,2019,28991.14043
jor,2013,13977.11411
jor,2018,469131.79755
jor,2019,152939.99016
kaz,2013,112581.93105
kaz,2018,56000.00173
kaz,2019,113935.44823
ken,2013,564956.1882
ken,2018,759818.01748
ken,2019,986085.65331
kgz,2013,473828.10712
kgz,2018,404709.99479
kgz,2019,264020.38336
khm,2013,1586764.09721
khm,2018,423693.80593
khm,2019,544072.80684
kir,2013,127211.70485
kir,2018,116939.99916
kir,2019,16200.97086
kos,2013,57816.21858
kos,2018,106260.00166
kos,2019,142267.31658
lao,2013,106489.27838
lao,2018,326730.01289
lao,2019,256979.58469
lbn,2013,323852.80728
lbn,2018,114763.10343
lbn,2019,221228.06311
lbr,2013,739925.20571
lbr,2018,330359.99537
lbr,2019,303971.94624
lby,2013,91756.70892
lby,2018,-0.3
lby,2019,1703.18002
lca,2013,111212.06731
lca,2019,112724.9673
lka,2013,340918.21313
lka,2018,284086.40623
lka,2019,499635.84542
lso,2013,153222.30756
lso,2018,504061.40089
lso,2019,567376.97124
mar,2013,42178.77612
mar,2018,658314.28766
mar,2019,313747.70403
mda,2013,444165.73644
mda,2018,284729.30193
mda,2019,537776.88742
mdg,2013,362225.1749
mdg,2018,761297.40477
mdg,2019,798293.82896
mdv,2013,7952.59885
mdv,2018,136099.99418
mdv,2019,73356.56136
mex,2013,106644.76454
mex,2018,134029.99938
mex,2019,299507.61795
mhl,2013,176170.45343
mhl,2018,133481.39822
mhl,2019,111876.13755
mkd,2013,9275.8406
mkd,2018,361600.01159
mkd,2019,586190.10448
mli,2013,1191515.20729
mli,2018,621710.00242
mli,2019,511322.55793
mmr,2013,674562.81185
mmr,2018,471650.00439
mmr,2019,854989.88628
mne,2019,15903.54927
mng,2013,341105.90816
mng,2018,274789.98899
mng,2019,536615.90815
moz,2013,813860.59523
moz,2018,331752.89631
moz,2019,574271.3809
mrt,2013,166013.64315
mrt,2018,805661.08227
mrt,2019,531301.3196
mus,2013,154892.19129
mus,2018,480230.0036
mus,2019,611073.55356
mwi,2013,181721.61281
mwi,2018,322719.99121
mwi,2019,121163.45763
mys,2018,89699.9985
mys,2019,35334.54984
nam,2013,493911.02791
nam,2018,277969.9862
nam,2019,564736.90271
ner,2013,324090.86823
ner,2018,605009.97305
ner,2019,1046442.5087
nga,2013,438394.63592
nga,2018,821211.51686
nga,2019,446211.30824
nic,2013,847786.24773
nic,2018,300100.71397
nic,2019,621404.40941
npl,2013,420244.60435
npl,2018,324499.99452
npl,2019,364857.73325
nru,2019,34652.75839
pak,2013,66262.49105
pak,2018,412539.98876
pak,2019,754808.84314
pan,2013,427582.26395
pan,2018,153067.60371
pan,2019,127088.51695
per,2013,120287.09799
per,2018,466540.81345
per,2019,333038.06186
phl,2013,1505414.48593
phl,2018,542829.99039
phl,2019,798439.14509
plw,2013,91877.43813
plw,2018,51169.99894
plw,2019,75092.53174
png,2013,46691.18673
png,2018,615948.91548
png,2019,1037651.41964
prk,2013,271056.56266
prk,2018,908879.99535
prk,2019,859111.84549
pry,2013,343061.47695
pry,2018,487802.08826
pry,2019,550264.00089
rwa,2013,276071.01202
rwa,2018,596310.01949
rwa,2019,587248.86179
sdn,2013,642821.72918
sdn,2018,90934.59696
sdn,2019,610756.15883
sen,2013,686760.06794
sen,2018,616438.68685
sen,2019,599116.80222
slb,2018,122048.4972
slb,2019,193409.75583
sle,2013,753605.90219
sle,2018,711657.10688
sle,2019,233772.53115
slv,2013,41789.09585
slv,2018,617259.97925
slv,2019,622111.08208
som,2013,295599.28179
som,2018,501060.009
som,2019,517612.27846
srb,2013,54758.53756
srb,2018,183620.00585
srb,2019,259646.98195
ssd,2013,7149.33034
ssd,2018,230800.00281
ssd,2019,423389.31561
stp,2013,26317.80691
stp,2018,549260.02026
stp,2019,213053.47979
sur,2013,374595.7315
sur,2018,46989.99971
sur,2019,78032.87357
swz,2013,544075.84667
swz,2018,493005.00751
swz,2019,568838.11951
syc,2013,50664.4994
syr,2013,19743.43508
