geo,time,sh_uhc_nop1_zg
afg,2007,0.13061
afg,2013,1.93809
ago,2008,0.7726
alb,1996,0.40857
alb,2002,0.18239
alb,2005,0.09091
alb,2008,0.01213
alb,2012,0.06159
arg,1996,0.09702
arg,2004,0.05591
arm,1999,0.74952
arm,2001,0.67686
arm,2002,0.45722
arm,2003,0.28156
arm,2004,0.17978
arm,2005,0.07174
arm,2006,0.1557
arm,2007,0.05071
arm,2008,0.01197
arm,2009,0.00606
arm,2010,0.0845
arm,2011,0.1052
arm,2012,0.06207
arm,2013,0.09685
aus,2010,0
aut,1999,0
aze,2002,0
aze,2003,0
aze,2004,0
aze,2005,0
bdi,1986,0.20288
bdi,1998,0.77719
bdi,2013,0.9039
bel,1997,0
bel,2010,0
ben,2003,1.55589
ben,2011,3.06109
bfa,1998,1.49505
bfa,2003,1.20565
bfa,2009,0.81307
bfa,2014,1.1162
bgd,2000,2.98517
bgd,2005,0.59188
bgd,2010,0.81489
bgd,2016,2.69275
bgr,1995,0.01332
bgr,1997,0.02404
bgr,2000,0.00897
bgr,2001,0.01109
bgr,2007,0.03124
bgr,2010,0.00083
bhs,2013,0
bih,2001,0.05783
bih,2004,0.01767
bih,2007,0
bih,2011,0.00185
bih,2015,0.00068
blr,1998,0.01893
blr,1999,0.01435
blr,2000,0.00616
blr,2001,0.0071
blr,2002,0.02625
blr,2003,0.01641
blr,2004,0.00275
blr,2005,0.00549
blr,2006,0.00097
blr,2007,0
blr,2008,0
blr,2009,0.00005
blr,2010,0
blr,2011,0
blr,2012,0
blr,2013,0
blr,2014,0
blr,2015,0
blr,2016,0
bol,1999,2.12407
bol,2000,1.77804
bol,2001,0.33348
bol,2002,0.31424
bol,2008,0.05607
bol,2011,0.03163
bol,2012,0.03867
bol,2015,0.05007
bra,2008,0.3873
brb,2016,0.09886
btn,2003,0.33807
btn,2007,0.57136
btn,2012,0.00395
btn,2017,0.00349
bwa,1993,0.62247
bwa,2009,0.27946
can,1994,0.03718
can,2000,0.07644
can,2004,0.06706
can,2007,0.04841
can,2010,0.06044
che,2000,0
che,2002,0
che,2004,0
chl,1997,0.01618
chl,2006,0
chl,2011,0.00122
chl,2016,0
chn,1995,0.71241
chn,2000,1.53181
chn,2002,1.49026
chn,2007,0.87422
chn,2013,0.38232
civ,1985,0.21171
civ,1986,0.07433
civ,1987,0.13125
civ,1988,0.34434
civ,1998,1.71265
civ,2002,1.34617
civ,2008,1.24435
civ,2015,0.812
cmr,1996,2.32574
cmr,2001,0.965
cmr,2007,1.11482
cmr,2014,0.60743
cod,2004,0.71624
cod,2012,1.03702
cog,2005,1.0613
cog,2011,0.61696
col,2008,0.14115
col,2010,0.1048
col,2016,0.09474
cpv,2001,0.1709
cpv,2007,0.04918
cri,1992,0.02658
cri,2004,0.02613
cri,2012,0.01712
cyp,2010,0
cze,1999,0
cze,2010,0
deu,2010,0.01162
dji,1996,0.04238
dji,2002,0.22132
dnk,1997,0
dnk,2010,0
dom,2007,0.13844
ecu,1998,0.57284
ecu,2011,0.10558
ecu,2013,0.33675
egy,1997,0.08944
egy,2008,0.00969
egy,2012,0.02307
esp,1985,0
esp,1996,0
esp,2010,0
est,1995,0.00952
est,2000,0.00338
est,2001,0.00776
est,2002,0.01045
est,2003,0.0166
est,2004,0.00764
est,2005,0.03475
est,2006,0.02904
est,2007,0.00158
eth,1999,0.37556
eth,2004,0.21904
eth,2011,0.39374
eth,2015,0.948
fin,1998,0
fin,2010,0
fji,2002,0.18884
fra,2010,0.02745
gab,2005,0.107
gbr,1995,0
gbr,1999,0
gbr,2000,0
gbr,2005,0
gbr,2013,0
geo,1997,0.73544
geo,1998,0.53559
geo,1999,0.7206
geo,2000,1.00319
geo,2001,1.00747
geo,2002,0.90368
geo,2003,0.90284
geo,2004,0.77088
geo,2005,0.94872
geo,2006,0.94313
geo,2007,1.23145
geo,2008,1.25629
geo,2009,1.46659
geo,2010,1.57114
geo,2011,1.47726
geo,2012,1.46428
geo,2013,1.1483
gha,1991,0.91219
gha,1998,1.14405
gha,2005,0.90887
gha,2012,0.06705
gin,2002,1.8756
gin,2007,0.97145
gin,2012,0.87408
gmb,2003,0.46543
gnb,2002,1.06448
grc,1998,0
grc,2010,0
grc,2016,0
gtm,2000,0.05581
gtm,2011,0.01901
gtm,2014,0.01754
guy,1993,0.15036
hrv,1998,0
hrv,2004,0
hrv,2008,0
hrv,2009,0
hrv,2010,0
hun,1998,0.00468
hun,1999,0.0047
hun,2000,0
hun,2001,0
hun,2002,0
hun,2003,0
hun,2004,0
hun,2005,0
hun,2006,0
hun,2007,0
hun,2010,0
idn,2001,0.44119
idn,2002,0.34425
idn,2004,0.34656
idn,2005,0.32081
idn,2006,0.25262
idn,2007,0.25841
idn,2009,0.12296
idn,2010,0.09239
idn,2011,0.07418
idn,2012,0.06119
idn,2013,0.08054
idn,2014,0.09177
idn,2015,0.05143
ind,2000,1.626
ind,2003,1.73194
ind,2004,1.56917
ind,2006,1.70837
ind,2007,1.10294
ind,2009,1.09431
ind,2011,1.11942
irl,1999,0.16003
irl,2009,0
irl,2010,0
irn,2005,0.05585
irn,2006,0.04536
irn,2007,0.0284
irn,2008,0.0188
irn,2009,0.02713
irn,2010,0.01489
irn,2011,0.00525
irn,2012,0.0019
irn,2013,0.00469
irq,2012,0.1053
isl,1995,0
isr,1997,0
isr,1999,0
isr,2001,0
isr,2005,0
isr,2007,0
isr,2010,0
isr,2012,0
ita,2001,0
ita,2010,0
jam,1990,0.49337
jam,1991,0.24289
jam,1992,1.48443
jam,1993,1.1823
jam,1994,0.11694
jam,1995,0.04047
jam,1996,0.11094
jam,1997,0.05895
jam,2002,0.11306
jam,2003,0.10869
jam,2004,0.12875
jor,2002,0.0211
jpn,2009,0.11232
jpn,2010,0.26722
jpn,2011,0.05148
jpn,2012,0.07629
jpn,2013,0.20374
jpn,2014,0.10736
jpn,2015,0.09765
kaz,1996,0.00769
kaz,2001,0.07194
kaz,2002,0.0546
kaz,2003,0.0295
kaz,2004,0.02211
kaz,2005,0.00101
kaz,2006,0.00642
kaz,2007,0.00528
kaz,2008,0.00219
kaz,2009,0.00029
kaz,2010,0.00042
kaz,2011,0
kaz,2012,0
kaz,2013,0.00007
kaz,2014,0
kaz,2015,0.00027
ken,1997,0.61877
ken,2005,0.65826
ken,2015,0.9706
kgz,2005,0.34471
kgz,2006,0.13779
kgz,2007,0.17765
kgz,2008,0.05407
kgz,2009,0.05396
kgz,2010,0.10516
kgz,2011,0.08288
kgz,2012,0.01912
kgz,2013,0.05187
kgz,2014,0.01036
kgz,2015,0.0232
kgz,2016,0.00955
khm,2009,1.47559
kor,2003,0
kor,2004,0
kor,2005,0
kor,2006,0.00019
kor,2007,0.00015
kor,2008,0.00008
kor,2009,0.00044
kor,2010,0
kor,2011,0.00044
kor,2012,0.00009
kor,2013,0
kor,2014,0.00002
kor,2015,0.00053
kos,2003,0.02065
kos,2005,0.13736
kos,2006,0.10035
kos,2009,0.11037
kos,2010,0.09243
kos,2011,0.03555
kos,2016,0.0143
lao,2002,0.18149
lao,2007,0.09458
lbn,1999,0.00341
lka,1995,0.12409
lka,2012,0.01484
lka,2016,0.00672
lso,2002,0.19301
lso,2010,0.6624
ltu,1998,0.00494
ltu,1999,0.00496
ltu,2000,0.00505
ltu,2001,0.0063
ltu,2002,0.01199
ltu,2003,0.00215
ltu,2004,0.0007
ltu,2008,0.0018
ltu,2010,0
lux,1998,0
lux,2010,0
lva,2000,0.0221
lva,2002,0.06109
lva,2003,0.0444
lva,2004,0.04783
lva,2005,0.01233
lva,2007,0.00903
lva,2008,0.00186
lva,2009,0.02084
mar,1998,0.07473
mar,2000,0.10032
mar,2006,0.14249
mda,1999,0.68043
mda,2000,0.61433
mda,2001,0.52521
mda,2002,0.31601
mda,2003,0.20978
mda,2004,0.1064
mda,2005,0.27611
mda,2006,0.13591
mda,2007,0.04525
mda,2008,0.03224
mda,2009,0.03707
mda,2010,0.01367
mda,2011,0.00532
mda,2012,0.01448
mda,2013,0.00439
mda,2014,0.00186
mda,2015,0
mda,2016,0
mdg,2001,0.39638
mdg,2005,0.31719
mdg,2010,0.40066
mdv,2004,0.03148
mdv,2009,0.22985
mex,2008,0.05022
mex,2010,0.03485
mex,2012,0.01649
mex,2014,0.02994
mex,2016,0.00697
mkd,1996,0.02966
mkd,1997,0.06424
mkd,1998,0.03817
mkd,1999,0.03705
mkd,2000,0.2097
mkd,2002,0.04219
mkd,2003,0.02289
mkd,2004,0.04408
mkd,2005,0.03101
mkd,2006,0.11605
mkd,2008,0.04867
mli,1994,1.03828
mli,2000,1.09389
mli,2001,0.67103
mli,2009,0.98572
mli,2011,1.0692
mli,2013,0
mli,2014,1.50371
mli,2015,1.46482
mli,2016,1.21584
mlt,2010,0
mmr,2015,0.1433
mne,2005,0
mne,2006,0.00289
mne,2007,0.06883
mne,2008,0
mne,2009,0
mne,2010,0
mne,2011,0.01766
mne,2012,0
mne,2013,0
mne,2014,0
mne,2015,0.00124
mng,2002,0.12985
mng,2007,0.01657
mng,2010,0.00455
mng,2011,0.0062
mng,2012,0.00635
mng,2014,0.04521
moz,2002,0.52268
moz,2008,0.24678
mrt,2004,0.15761
mrt,2008,0.35571
mus,2006,0.00213
mus,2012,0.00255
mwi,2004,0.6666
mwi,2010,0.66779
mwi,2016,0.73146
mys,1993,0.01954
mys,1998,0.0117
mys,2004,0.00849
ner,2005,0.71862
ner,2007,0.83107
ner,2011,0.9563
nga,2003,1.17818
nga,2010,1.01654
nga,2012,1.42915
nic,1993,0.43933
nic,1998,0.57014
nic,2001,0.61311
nic,2009,0.32914
nic,2014,0.19625
nor,1996,0
nor,1997,0
nor,1998,0
npl,1995,0.98418
npl,2003,1.20619
npl,2010,0.52618
npl,2014,0.54468
pak,2001,0.79258
pak,2004,0.46418
pak,2007,0.24579
pak,2010,0.17433
pak,2011,0.20924
pak,2013,0.20032
pak,2015,0.1155
pan,1997,0.26796
pan,2003,0.57877
pan,2007,0.00029
per,2000,0.51684
per,2006,0.16848
per,2007,0.12893
per,2008,0.10307
per,2009,0.08661
per,2010,0.06014
per,2011,0.05389
per,2012,0.04271
per,2013,0.02994
per,2014,0.02274
per,2015,0.01549
per,2016,0.01341
per,2017,0.01379
per,2018,0.00601
phl,1997,0.09174
phl,2000,0.13672
phl,2003,0.14548
phl,2006,0.15892
phl,2009,0.11556
phl,2012,0.15675
phl,2015,0.12198
pol,1998,0.00143
pol,1999,0.00157
pol,2000,0.00191
pol,2001,0.00449
pol,2002,0.00138
pol,2003,0.00201
pol,2004,0.00127
pol,2005,0.00309
pol,2006,0.00068
pol,2007,0.00014
pol,2008,0.00007
pol,2009,0.00022
pol,2011,0.0001
pol,2012,0.0007
pol,2013,0.0001
pol,2014,0.0001
pol,2015,0
pol,2016,0
prt,1990,0.00687
prt,1994,0.00581
prt,2010,0
pry,2000,0.97196
pry,2014,0.68826
pse,2004,0.03387
pse,2005,0.00759
pse,2006,0.00612
pse,2007,0.02998
pse,2009,0.01237
pse,2010,0.00524
pse,2016,0.00694
rou,1998,0.03202
rou,1999,0.06834
rou,2000,0.08735
rou,2001,0.04425
rou,2002,0.05594
rou,2003,0.04164
rou,2004,0.0245
rou,2005,0.01916
rou,2006,0.01634
rou,2007,0
rou,2008,0
rou,2009,0
rou,2010,0
rou,2011,0
rou,2012,0
rou,2013,0
rou,2016,0
rus,1993,0.03632
rus,1997,0.00755
rus,1998,0.0071
rus,1999,0.01555
rus,2000,0.01044
rus,2001,0.00248
rus,2002,0.00131
rus,2003,0.00231
rus,2004,0.00262
rus,2010,0.00015
