global,time,eg_elc_hyro_zs
world,1971,20.21226
world,1972,19.72894
world,1973,18.59521
world,1974,20.28587
world,1975,20.04658
world,1976,18.46376
world,1977,18.0677
world,1978,18.39293
world,1979,18.59988
world,1980,18.27278
world,1981,18.41304
world,1982,18.93498
world,1983,19.03791
world,1984,18.40097
world,1985,17.8535
world,1986,17.65535
world,1987,16.88307
world,1988,16.63233
world,1989,15.71175
world,1990,17.92874
world,1991,18.08561
world,1992,17.91454
world,1993,18.52809
world,1994,18.24376
world,1995,18.53622
world,1996,18.20654
world,1997,18.04364
world,1998,17.66341
world,1999,17.21408
world,2000,16.80798
world,2001,16.30936
world,2002,16.10636
world,2003,15.60846
world,2004,15.89319
world,2005,15.89751
world,2006,15.87425
world,2007,15.40204
world,2008,15.73833
world,2009,16.07035
world,2010,15.8813
world,2011,15.70351
world,2012,16.06184
world,2013,16.1479
world,2014,16.24387
world,2015,15.89844
