global,time,sh_tbs_cure_zs
world,2000,69
world,2001,73
world,2002,76
world,2003,80
world,2004,81
world,2005,84
world,2006,84
world,2007,85
world,2008,85
world,2009,85
world,2010,84
world,2011,87
world,2012,86
world,2013,86
world,2014,83
world,2015,83
world,2016,81
world,2017,85
world,2018,85
world,2019,86
