global,time,ny_gdp_pcap_pp_kd
world,1990,9677.69652
world,1991,9647.41971
world,1992,9647.75241
world,1993,9655.91497
world,1994,9778.2398
world,1995,9934.82464
world,1996,10163.5525
world,1997,10407.6706
world,1998,10516.07498
world,1999,10736.3179
world,2000,11097.31495
world,2001,11206.16037
world,2002,11363.83237
world,2003,11639.66768
world,2004,12079.05537
world,2005,12473.06827
world,2006,12952.11441
world,2007,13453.86595
world,2008,13642.67488
world,2009,13383.3825
world,2010,13892.33336
world,2011,14260.6429
world,2012,14528.70864
world,2013,14824.50782
world,2014,15149.45034
world,2015,15480.7651
world,2016,15803.5284
world,2017,16211.04978
world,2018,16607.76508
world,2019,16897.17149
world,2020,16185.16511
