geo,time,dt_nfl_unpb_cd
bdi,2007,3759999.99046
bdi,2008,13760000.22888
bdi,2009,9470000.26703
bdi,2010,5670000.07629
bdi,2011,660000.02623
bdi,2012,2870831.9664
bdi,2013,5308344.841
bdi,2014,1946016.43085
bdi,2015,2107006.78825
bdi,2016,4888958.93097
bdi,2017,2316431.76079
bdi,2018,5814527.98843
bdi,2019,4735209.94186
bfa,2018,1769691.82491
bfa,2019,4707782.74536
bih,2014,186095.99769
bih,2015,1530611.03821
bih,2016,-116832.71825
bih,2017,1123.99994
bih,2018,919639.5278
bih,2019,1953305.60207
caf,2008,709999.97854
caf,2009,5360000.13351
caf,2010,5630000.11444
caf,2011,8050000.19073
caf,2012,6242320.06073
caf,2013,1066415.66753
caf,2014,7886240.48233
caf,2015,3860506.77299
caf,2016,3153127.90871
caf,2017,5960480.69
caf,2018,8863799.09515
caf,2019,15180892.94434
civ,2007,59999.99866
civ,2008,3049999.95232
civ,2009,4289999.96185
civ,2010,649999.97616
civ,2011,29999.99933
civ,2012,3306928.39622
civ,2013,4459693.43185
civ,2014,3455663.20419
civ,2015,3615766.04843
civ,2016,4878260.13565
civ,2017,1680334.2104
civ,2018,7140751.83868
civ,2019,3314623.8327
cmr,2018,1034249.06731
cmr,2019,449400.00772
cod,2010,5599999.90463
cod,2011,7010000.22888
cod,2012,3793624.16267
cod,2013,1302655.10082
cod,2014,850160.83717
cod,2015,5772669.31534
cod,2016,2843291.04424
cod,2017,980918.58625
cod,2018,5364572.04819
cog,2018,794184.44633
cog,2019,4094722.7478
col,2014,1845835.92415
col,2015,106459.90074
col,2016,75687.99704
col,2017,1033547.0438
col,2018,9943717.00287
col,2019,8455093.38379
com,2009,59999.99866
com,2010,2960000.03815
com,2011,4190000.05722
com,2012,2274490.11803
com,2013,273660.71939
com,2014,1420604.46739
com,2015,764119.92311
com,2016,447257.01213
com,2017,-100679.52424
com,2018,3759.35994
ecu,2019,2099999.90463
eth,2018,24492.29918
gin,2008,680000.00715
gin,2009,209999.99344
gin,2010,5380000.11444
gin,2011,4559999.94278
gin,2012,10545049.66736
gin,2013,12857051.84937
gin,2014,8186064.72015
gin,2015,9867219.92493
gin,2016,4700226.78375
gin,2017,1085394.02485
gin,2018,5283537.38785
gin,2019,4687492.37061
gmb,2018,1112161.15952
gmb,2019,419999.98689
gnb,2008,2160000.08583
gnb,2009,910000.02623
gnb,2010,1210000.03815
gnb,2011,720000.02861
gnb,2012,1554107.78522
gnb,2013,301630.37777
gnb,2014,3441572.42775
gnb,2015,1588523.62633
gnb,2016,273203.9988
gnb,2017,1283239.007
gnb,2018,3122564.79263
gnb,2019,1698710.20317
gtm,2012,1002750.0391
gtm,2013,1992778.42045
gtm,2014,4430962.08572
gtm,2015,2449724.43581
gtm,2016,283118.99304
gtm,2017,2390984.05838
gtm,2018,5445502.75803
gtm,2019,3286591.52985
hnd,2018,500141.02459
hti,2008,-90000.00358
hti,2009,790000.02146
hti,2010,2329999.92371
hti,2011,670000.01669
hti,2013,22507.63029
hti,2018,451723.78421
ken,2008,310000.00238
ken,2009,389999.98569
ken,2010,79999.99821
ken,2011,109999.9994
ken,2012,103790.00008
ken,2015,-35.7
ken,2018,150000.00596
kgz,2010,310000.00238
kgz,2011,3579999.92371
kgz,2012,5940070.15228
kgz,2013,200771.33179
kgz,2014,3681370.01991
kgz,2015,7758839.1304
kgz,2016,5576450.82474
kgz,2017,1443627.95353
kgz,2018,4536835.19363
kgz,2019,4883388.99612
kos,2018,17990.00055
kos,2019,2059887.64763
lbn,2011,0
lbn,2012,1065569.99683
lbn,2013,1267834.42497
lbn,2014,687621.83189
lbn,2016,-1872.99994
lbn,2018,1027801.03683
lbr,2008,1500000
lbr,2009,7980000.01907
lbr,2010,6409999.84741
lbr,2011,2759999.99046
lbr,2012,4780326.36642
