geo,time,st_int_trnr_cd
abw,1995,33000000
abw,1996,46000000
abw,1997,37000000
abw,1998,45000000
abw,1999,53000000
abw,2000,36000000
abw,2001,3000000
abw,2002,1000000
abw,2003,100000.00149
abw,2006,100000.00149
abw,2007,400000.00596
abw,2008,1000000
abw,2009,1000000
abw,2010,3000000
abw,2011,7000000
abw,2012,10000000
abw,2013,11000000
abw,2014,20000000
abw,2015,9000000
abw,2018,2000000
abw,2019,5000000
abw,2020,1000000
afg,2008,40000000
afg,2009,53000000
afg,2010,72000000
afg,2011,80000000
afg,2012,65000000
afg,2013,41000000
afg,2014,12000000
afg,2015,7000000
afg,2016,13000000
afg,2017,14000000
afg,2018,22000000
afg,2019,13000000
afg,2020,10000000
ago,1995,17000000
ago,1996,29000000
ago,1997,15000000
ago,1998,31000000
ago,1999,18000000
ago,2000,16000000
ago,2001,13000000
ago,2002,14000000
ago,2003,14000000
ago,2004,16000000
ago,2005,15000000
ago,2006,16000000
ago,2007,11000000
ago,2008,8000000
ago,2009,20000000
ago,2010,7000000
ago,2011,7000000
ago,2012,5000000
ago,2013,7000000
ago,2014,8000000
ago,2015,8000000
ago,2016,5000000
ago,2017,4000000
ago,2018,13000000
ago,2019,11000000
ago,2020,3000000
alb,1995,5000000
alb,1996,17000000
alb,1997,7000000
alb,1998,6000000
alb,1999,7000000
alb,2000,9000000
alb,2001,5000000
alb,2002,5000000
alb,2003,15000000
alb,2004,21000000
alb,2005,26000000
alb,2006,45000000
alb,2007,101000000
alb,2008,135000000
alb,2009,185000000
alb,2010,167000000
alb,2011,201000000
alb,2012,160000000
alb,2013,197000000
alb,2014,149000000
alb,2015,114000000
alb,2016,128000000
alb,2017,107000000
alb,2018,120000000
alb,2019,129000000
alb,2020,109000000
and,2019,13000000
arg,1995,328000000
arg,1996,354000000
arg,1997,375000000
arg,1998,328000000
arg,1999,277000000
arg,2000,291000000
arg,2001,114000000
arg,2002,181000000
arg,2003,300000000
arg,2004,425000000
arg,2005,480000000
arg,2006,575000000
arg,2007,705000000
arg,2008,609000000
arg,2009,466000000
arg,2010,616000000
arg,2011,627000000
arg,2012,651000000
arg,2013,674000000
arg,2014,685000000
arg,2015,514000000
arg,2016,499000000
arg,2017,460000000
arg,2018,436000000
arg,2019,413000000
arg,2020,86000000
arm,1995,13000000
arm,1996,6000000
arm,1997,13000000
arm,1998,17000000
arm,1999,16000000
arm,2000,14000000
arm,2001,16000000
arm,2002,18000000
arm,2003,17000000
arm,2004,17000000
arm,2005,20000000
arm,2006,36000000
arm,2007,38000000
arm,2008,46000000
arm,2009,40000000
arm,2010,48000000
arm,2011,40000000
arm,2012,36000000
arm,2013,25000000
arm,2014,28000000
arm,2015,20000000
arm,2016,20000000
arm,2017,20000000
arm,2018,29000000
arm,2019,25000000
arm,2020,10000000
atg,2014,95000000
atg,2015,92000000
atg,2016,91000000
atg,2017,83000000
atg,2018,79000000
atg,2019,83000000
atg,2020,30000000
aus,1995,2240000000
aus,1996,2363000000
aus,1997,2279000000
aus,1998,2039000000
aus,1999,2150000000
aus,2000,2219000000
aus,2001,2111000000
aus,2002,2104000000
aus,2003,2361000000
aus,2004,2820000000
aus,2005,2969000000
aus,2006,2870000000
aus,2007,3250000000
aus,2008,3203000000
aus,2009,2343000000
aus,2010,2592000000
aus,2011,2733000000
aus,2012,2580000000
aus,2013,2272000000
aus,2014,2167000000
aus,2015,1980000000
aus,2016,2040000000
aus,2017,2228000000
aus,2018,2229000000
aus,2019,2224000000
aus,2020,567000000
aut,1995,1094000000
aut,1996,1150000000
aut,1997,1257000000
aut,1998,1453000000
aut,1999,1511000000
aut,2000,1483000000
aut,2001,1563000000
aut,2002,1531000000
aut,2003,1821000000
aut,2004,2101000000
aut,2005,2228000000
aut,2015,2130000000
aut,2016,1721000000
aut,2017,2091000000
aut,2018,2180000000
aut,2019,2941000000
aut,2020,1481000000
aze,1995,17000000
aze,1996,11000000
aze,1997,14000000
aze,1998,18000000
aze,1999,12000000
aze,2000,5000000
aze,2001,14000000
aze,2002,12000000
aze,2003,12000000
aze,2004,14000000
aze,2005,22000000
aze,2006,84000000
aze,2007,139000000
aze,2008,191000000
aze,2009,166000000
aze,2010,135000000
aze,2011,213000000
aze,2012,201000000
aze,2013,253000000
aze,2014,281000000
aze,2015,226000000
aze,2016,141000000
aze,2017,202000000
aze,2018,196000000
aze,2019,212600006.10352
aze,2020,36000000
bdi,1995,1024994.25411
bdi,1996,941381.15644
bdi,1997,840071.79737
bdi,1998,899999.97616
bdi,1999,500000
bdi,2000,600000.02384
bdi,2001,400000.00596
bdi,2002,500000
bdi,2003,500000
bdi,2004,600000.02384
bdi,2005,400000.00596
bdi,2006,300000.01192
bdi,2007,1000000
bdi,2008,300000.01192
bdi,2009,200000.00298
bdi,2010,300000.01192
bdi,2011,1200000.04768
bel,2001,1417000000
bel,2002,663000000
bel,2003,655000000
bel,2004,881000000
bel,2005,1036000000
bel,2006,1314000000
bel,2007,1354000000
bel,2009,1257000000
bel,2010,1287000000
bel,2011,1364000000
bel,2012,1206000000
bel,2013,1150000000
bel,2014,1331000000
bel,2015,1110000000
bel,2016,1136000000
bel,2017,1240000000
bel,2018,1439000000
bel,2019,1681000000
bel,2020,844000000
ben,1996,100000.00149
ben,1997,200000.00298
ben,1998,200000.00298
ben,1999,400000.00596
ben,2000,400000.00596
ben,2001,500000
ben,2002,1500000
ben,2003,1899999.97616
ben,2004,2900000.09537
ben,2005,4699999.80927
ben,2006,5599999.90463
ben,2007,300000.01192
ben,2008,400000.00596
ben,2009,400000.00596
ben,2010,400000.00596
ben,2011,21000000
ben,2012,4000000
ben,2013,4000000
ben,2014,2000000
ben,2015,7000000
ben,2016,6000000
ben,2017,10000000
ben,2018,13000000
ben,2019,860000.01431
bfa,2000,4000000
bfa,2001,5000000
bfa,2002,12000000
bfa,2003,14000000
bfa,2004,12000000
bfa,2005,1000000
bfa,2006,2000000
bfa,2007,5000000
bfa,2008,20000000
bfa,2009,33000000
bfa,2010,33000000
bfa,2011,41000000
bfa,2012,44000000
bfa,2013,47000000
bfa,2014,48000000
bfa,2015,43000000
bfa,2016,50000000
bfa,2017,55000000
bfa,2018,58000000
bfa,2019,57000000
bgd,2002,2000000
bgd,2003,2000000
bgd,2004,9000000
bgd,2005,7000000
bgd,2009,7000000
bgd,2010,22000000
bgd,2011,10000000
bgd,2012,2000000
bgd,2013,2000000
bgd,2014,1000000
bgd,2015,300000.01192
bgd,2016,300000.01192
bgd,2017,7000000
bgd,2018,4000000
bgd,2019,3000000
bgd,2020,899999.97616
bgr,1995,189000000
bgr,1996,153000000
bgr,1997,148000000
bgr,1998,184000000
bgr,1999,252000000
bgr,2000,290000000
bgr,2001,268000000
bgr,2002,296000000
bgr,2003,430000000
bgr,2004,594000000
bgr,2005,651000000
bgr,2006,705000000
bgr,2007,468000000
bgr,2008,546000000
bgr,2009,497000000
bgr,2010,464000000
bgr,2011,533000000
bgr,2012,513000000
bgr,2013,581000000
bgr,2014,591000000
bgr,2015,429000000
bgr,2016,511000000
bgr,2017,564000000
bgr,2018,593000000
bgr,2019,545000000
bgr,2020,156000000
bhr,1995,346000000
bhr,1996,326000000
bhr,1997,267000000
bhr,1998,259000000
bhr,1999,267000000
bhr,2000,281000000
bhr,2001,256000000
bhr,2002,245000000
bhr,2003,486000000
bhr,2004,640000000
bhr,2005,683000000
bhr,2006,738000000
bhr,2007,749000000
bhr,2008,761000000
bhr,2009,755000000
bhr,2010,801000000
bhr,2011,731000000
bhr,2012,693000000
bhr,2013,700000000
bhr,2014,705000000
bhr,2015,122000000
bhr,2016,175000000
bhr,2017,135000000
bhr,2018,145000000
bhr,2019,179000000
bhr,2020,51000000
bhs,1995,10000000
bhs,1996,11000000
bhs,1997,11000000
bhs,1998,11000000
bhs,1999,15000000
bhs,2000,15000000
bhs,2001,17000000
bhs,2002,13000000
bhs,2003,13000000
bhs,2004,13000000
bhs,2005,10000000
bhs,2006,10000000
bhs,2007,11000000
bhs,2008,11000000
bhs,2009,11000000
bhs,2010,12000000
bhs,2011,15000000
bhs,2012,22000000
bhs,2013,20000000
bhs,2014,20000000
bhs,2015,17000000
bhs,2016,17000000
