global,time,ms_mil_totl_tf_zs
world,1990,1.10771
world,1991,1.03383
world,1992,1.03286
world,1993,0.97779
world,1994,0.93762
world,1995,1.19836
world,1996,1.17873
world,1997,1.14642
world,1998,1.13102
world,1999,1.09821
world,2000,1.07394
world,2001,1.02014
world,2002,1.00622
world,2003,0.98458
world,2004,0.94555
world,2005,0.96499
world,2006,0.96095
world,2007,0.89839
world,2008,0.89709
world,2009,0.90221
world,2010,0.90144
world,2011,0.88827
world,2012,0.88302
world,2013,0.84507
world,2014,0.83727
world,2015,0.83202
world,2016,0.8263
world,2017,0.81388
world,2018,0.81245
world,2019,0.80301
