geo,time,sh_sta_maln_fe_zs
afg,2004,33
afg,2013,23.2
afg,2018,18.7
ago,1996,34.9
ago,2007,14.6
ago,2015,17.1
alb,2000,14.3
alb,2005,5.8
alb,2009,6
alb,2017,1.2
arg,2005,2.2
arg,2019,0.8
arm,1998,2.6
arm,2000,2.1
arm,2005,5.2
arm,2010,5.8
arm,2016,2
aze,2000,15
aze,2006,8.1
aze,2011,5.4
aze,2013,4.9
bdi,2000,38.8
bdi,2010,26.2
bdi,2016,28.2
bdi,2018,27.8
bdi,2019,25.1
bel,2014,2.1
ben,2001,17.5
ben,2008,16.6
ben,2014,16.8
ben,2018,15.8
bfa,1993,26.3
bfa,1999,28.9
bfa,2009,24.7
bfa,2010,24.7
bfa,2011,22.5
bfa,2012,21.7
bfa,2013,19.2
bfa,2014,19
bfa,2015,20.5
bfa,2016,16.3
bfa,2017,14.4
bfa,2018,15.7
bfa,2019,14.5
bgd,1997,54.2
bgd,2000,43.5
bgd,2004,42.6
bgd,2007,42.4
bgd,2011,38.6
bgd,2013,36.9
bgd,2014,33.4
bgd,2018,22.1
bgd,2019,22.9
bgr,2007,2.9
bgr,2014,1.4
bih,2000,3.3
bih,2006,1
bih,2012,1.3
blr,2005,1
blz,2006,6
blz,2011,6.6
blz,2015,4.1
bol,1998,5.7
bol,2003,5.6
bol,2008,4
bol,2012,3
bol,2016,2.9
bra,1989,5.7
bra,1996,4.2
bra,2007,2.2
brb,2012,4.7
brn,2009,8.5
btn,1999,11.5
btn,2008,10
btn,2010,12
bwa,2000,11.2
bwa,2007,11.2
caf,2000,19.1
caf,2006,23.1
caf,2010,20.9
caf,2012,22.9
caf,2014,18.3
caf,2018,18.1
caf,2019,19.3
chl,2008,0.5
chl,2013,0.4
chl,2014,0.4
chn,1990,12.1
chn,1992,14.6
chn,1995,9.6
chn,1998,6.6
chn,2000,7.5
chn,2002,6.5
chn,2005,4.2
chn,2010,3.3
chn,2013,2.2
civ,1986,10.7
civ,1998,19.4
civ,2007,28.4
civ,2012,12.9
civ,2016,11.6
cmr,1991,13.6
cmr,2004,15
