geo,time,ic_exp_tmdc
brb,2018,53.53846
brb,2019,48
brn,2014,168
brn,2015,168
brn,2016,163
brn,2017,155
brn,2018,155
brn,2019,155
btn,2014,9
btn,2015,9
btn,2016,9
btn,2017,9
btn,2018,9
btn,2019,9
bwa,2014,24
bwa,2015,24
bwa,2016,24
bwa,2017,18
bwa,2018,18
bwa,2019,18
caf,2014,48
caf,2015,48
caf,2016,48
caf,2017,48
caf,2018,48
caf,2019,48
can,2014,1
can,2015,1
can,2016,1
can,2017,1
can,2018,1
can,2019,1
che,2014,1.5
che,2015,1.5
che,2016,1.5
che,2017,1.5
che,2018,1.5
che,2019,1.5
chl,2014,24
chl,2015,24
chl,2016,24
chl,2017,24
chl,2018,24
chl,2019,24
chn,2014,21.19675
chn,2015,21.19675
chn,2016,21.19675
chn,2017,21.19675
chn,2018,8.625
chn,2019,8.625
civ,2014,84
civ,2015,84
civ,2016,84
civ,2017,84
civ,2018,84
civ,2019,84
cmr,2014,66
cmr,2015,66
cmr,2016,66
cmr,2017,66
cmr,2018,66
cmr,2019,66
cod,2014,314
cod,2015,314
cod,2016,314
cod,2017,314
cod,2018,192
cod,2019,192
cog,2014,120
cog,2015,120
cog,2016,120
cog,2017,120
cog,2018,120
cog,2019,120
col,2014,60
col,2015,60
col,2016,60
col,2017,60
col,2018,60
col,2019,48
com,2014,57
com,2015,57
com,2016,57
com,2017,50
com,2018,50
com,2019,50
cpv,2014,48
cpv,2015,48
cpv,2016,48
cpv,2017,24
cpv,2018,24
cpv,2019,24
cri,2014,24
cri,2015,24
cri,2016,24
cri,2017,24
cri,2018,24
cri,2019,24
cyp,2014,2
cyp,2015,2
cyp,2016,2
cyp,2017,2
cyp,2018,2
cyp,2019,2
cze,2014,0.5
cze,2015,0.5
cze,2016,0.5
cze,2017,0.5
cze,2018,0.5
cze,2019,0.5
deu,2014,1
deu,2015,1
deu,2016,1
deu,2017,1
deu,2018,1
deu,2019,1
dji,2014,60
dji,2015,60
dji,2016,60
dji,2017,60
dji,2018,60
dji,2019,60
dma,2014,12
dma,2015,12
dma,2016,12
dma,2017,12
dma,2018,12
dma,2019,12
dnk,2014,0.5
dnk,2015,0.5
dnk,2016,0.5
dnk,2017,0.5
dnk,2018,0.5
dnk,2019,0.5
dom,2014,34
dom,2015,10
dom,2016,10
dom,2017,10
dom,2018,10
dom,2019,10
dza,2014,149.1429
dza,2015,149.1429
dza,2016,149.1429
dza,2017,149.1429
dza,2018,149.1429
dza,2019,149.1429
ecu,2014,24
ecu,2015,24
ecu,2016,24
ecu,2017,24
ecu,2018,24
ecu,2019,24
egy,2014,88
egy,2015,88
egy,2016,88
egy,2017,88
egy,2018,88
egy,2019,88
esp,2014,0.5
esp,2015,0.5
esp,2016,0.5
esp,2017,0.5
esp,2018,0.5
esp,2019,0.5
est,2014,0.5
est,2015,0.5
est,2016,0.5
est,2017,0.5
est,2018,0.5
est,2019,0.5
eth,2014,91
eth,2015,91
eth,2016,91
eth,2017,76
eth,2018,76
eth,2019,76
fin,2014,2
fin,2015,2
fin,2016,2
fin,2017,2
fin,2018,2
fin,2019,2
fji,2014,56.33333
fji,2015,56.33333
fji,2016,56.33333
fji,2017,56.33333
fji,2018,56.33333
fji,2019,56.33333
fra,2014,0.5
fra,2015,0.5
fra,2016,0.5
fra,2017,0.5
fra,2018,0.5
fra,2019,0.5
fsm,2014,26
fsm,2015,26
fsm,2016,26
fsm,2017,26
fsm,2018,26
fsm,2019,26
gab,2014,60
gab,2015,60
gab,2016,60
gab,2017,60
gab,2018,60
gab,2019,60
gbr,2014,4
gbr,2015,4
gbr,2016,4
gbr,2017,4
gbr,2018,4
gbr,2019,4
geo,2014,48
geo,2015,48
geo,2016,2
geo,2017,2
geo,2018,2
geo,2019,1.5
gha,2014,89.33333
gha,2015,89.33333
gha,2016,89.33333
gha,2017,89.33333
gha,2018,89.33333
gha,2019,89.33333
gin,2014,138.7
gin,2015,138.7
gin,2016,138.7
gin,2017,138.7
gin,2018,138.7
gin,2019,138.7
gmb,2014,48
gmb,2015,48
gmb,2016,48
gmb,2017,48
gmb,2018,48
gmb,2019,48
gnb,2014,60
gnb,2015,60
gnb,2016,60
gnb,2017,60
gnb,2018,60
gnb,2019,60
gnq,2014,154
gnq,2015,154
gnq,2016,154
gnq,2017,154
gnq,2018,154
gnq,2019,154
grc,2014,1
grc,2015,1
grc,2016,1
grc,2017,1
grc,2018,1
grc,2019,1
grd,2014,13.33333
grd,2015,13.33333
grd,2016,13.33333
grd,2017,13.33333
grd,2018,13.33333
grd,2019,13.33333
gtm,2014,48
gtm,2015,48
gtm,2016,48
gtm,2017,48
gtm,2018,48
gtm,2019,48
guy,2014,200
guy,2015,200
guy,2016,200
guy,2017,200
guy,2018,200
guy,2019,200
hkg,2014,0.666
hkg,2015,0.666
hkg,2016,0.666
hkg,2017,0.666
hkg,2018,0.666
hkg,2019,0.666
hnd,2014,48
hnd,2015,48
hnd,2016,48
hnd,2017,48
hnd,2018,48
hnd,2019,48
hrv,2014,0.5
hrv,2015,0.5
hrv,2016,0.5
hrv,2017,0.5
hrv,2018,0.5
hrv,2019,0.5
hti,2014,24
hti,2015,24
hti,2016,22
hti,2017,22
hti,2018,22
hti,2019,22
hun,2014,0.75
hun,2015,0.75
hun,2016,0.75
hun,2017,0.75
hun,2018,0.75
hun,2019,0.75
idn,2014,72
idn,2015,72
idn,2016,61.32
idn,2017,61.32
idn,2018,61.32
idn,2019,61.32
ind,2014,41.47294
ind,2015,41.47294
ind,2016,38.39
ind,2017,38.39
ind,2018,14.46
ind,2019,11.64
irl,2014,1
irl,2015,1
irl,2016,1
irl,2017,1
irl,2018,1
irl,2019,1
irn,2014,126.7692
irn,2015,126.7692
irn,2016,120
irn,2017,120
irn,2018,33
irn,2019,33
irq,2014,504
irq,2015,504
irq,2016,504
irq,2017,504
irq,2018,504
irq,2019,504
isl,2014,2
isl,2015,2
isl,2016,2
isl,2017,2
isl,2018,2
isl,2019,2
isr,2014,12.5
isr,2015,12.5
isr,2016,12.5
isr,2017,12.5
isr,2018,12.5
isr,2019,10
ita,2014,0.5
ita,2015,0.5
ita,2016,0.5
ita,2017,0.5
ita,2018,0.5
ita,2019,0.5
jam,2014,61.71429
jam,2015,61.71429
jam,2016,47
jam,2017,47
jam,2018,47
jam,2019,47
jor,2014,6
jor,2015,6
jor,2016,6
jor,2017,6
jor,2018,6
jor,2019,6
jpn,2014,2.3735
jpn,2015,2.3735
jpn,2016,2.3735
jpn,2017,2.3735
jpn,2018,2.3735
jpn,2019,2.3735
kaz,2014,132
kaz,2015,132
kaz,2016,128
kaz,2017,128
kaz,2018,128
kaz,2019,128
ken,2014,19
ken,2015,19
ken,2016,19
ken,2017,19
ken,2018,19
ken,2019,19
kgz,2014,75
kgz,2015,75
kgz,2016,72
kgz,2017,72
kgz,2018,72
kgz,2019,72
khm,2014,132
khm,2015,132
khm,2016,132
khm,2017,132
khm,2018,132
khm,2019,132
kir,2014,24
kir,2015,24
kir,2016,24
kir,2017,24
kir,2018,24
kir,2019,24
kna,2014,48
kna,2015,48
kna,2016,48
kna,2017,24
kna,2018,24
kna,2019,24
kor,2014,1
kor,2015,1
kor,2016,1
kor,2017,1
kor,2018,1
kor,2019,1
kos,2014,17
kos,2015,17
kos,2016,5
kos,2017,5
kos,2018,5
kos,2019,5
kwt,2014,72
kwt,2015,72
kwt,2016,72
kwt,2017,72
kwt,2018,72
kwt,2019,72
lao,2014,60
lao,2015,60
lao,2016,60
lao,2017,60
lao,2018,60
lao,2019,60
lbn,2014,48
lbn,2015,48
lbn,2016,48
lbn,2017,48
lbn,2018,48
lbn,2019,48
lbr,2014,144
lbr,2015,144
lbr,2016,144
lbr,2017,144
lbr,2018,144
lbr,2019,144
lby,2014,72
lby,2015,72
lby,2016,72
lby,2017,72
lby,2018,72
lby,2019,72
lca,2014,24
lca,2015,24
lca,2016,19
lca,2017,19
lca,2018,19
lca,2019,19
lie,2018,1.5
lie,2019,1.5
lka,2014,76
lka,2015,76
lka,2016,76
lka,2017,48
lka,2018,48
lka,2019,48
lso,2014,3
lso,2015,3
lso,2016,3
lso,2017,3
lso,2018,1
lso,2019,1
ltu,2014,2.5
ltu,2015,2.5
ltu,2016,2.5
ltu,2017,2.5
ltu,2018,2.5
ltu,2019,2.5
lux,2014,0.5
lux,2015,0.5
lux,2016,0.5
lux,2017,0.5
lux,2018,0.5
lux,2019,0.5
lva,2014,2
lva,2015,2
lva,2016,2
lva,2017,2
lva,2018,2
lva,2019,2
mar,2014,26.61538
mar,2015,25.61538
mar,2016,25.61538
mar,2017,25.61538
mar,2018,25.61538
mar,2019,25.61538
mda,2014,48
mda,2015,48
mda,2016,48
mda,2017,48
mda,2018,48
mda,2019,48
mdg,2014,58.90909
mdg,2015,58.90909
mdg,2016,48.90909
mdg,2017,48.90909
mdg,2018,48.90909
mdg,2019,48.90909
mdv,2014,48
mdv,2015,48
mdv,2016,48
mdv,2017,48
mdv,2018,48
mdv,2019,48
mex,2014,8
mex,2015,8
mex,2016,8
mex,2017,8
mex,2018,8
mex,2019,8
mhl,2014,24
mhl,2015,24
mhl,2016,24
mhl,2017,24
mhl,2018,24
mhl,2019,24
mkd,2014,2
mkd,2015,2
mkd,2016,2
mkd,2017,2
mkd,2018,2
mkd,2019,2
mli,2014,55
mli,2015,48
mli,2016,48
mli,2017,48
mli,2018,48
mli,2019,48
mlt,2014,24
mlt,2015,24
mlt,2016,24
mlt,2017,24
mlt,2018,24
mlt,2019,24
mmr,2014,144
mmr,2015,144
mmr,2016,144
mmr,2017,144
mmr,2018,144
mmr,2019,144
mne,2014,5.40909
mne,2015,5.40909
mne,2016,5.40909
mne,2017,5.40909
mne,2018,5.40909
mne,2019,5.40909
mng,2014,168
mng,2015,168
mng,2016,168
mng,2017,168
mng,2018,168
mng,2019,168
moz,2014,70.33333
moz,2015,70.33333
moz,2016,70.33333
moz,2017,70.33333
moz,2018,36
moz,2019,36
mrt,2014,58.66667
mrt,2015,58.66667
mrt,2016,50.66667
mrt,2017,50.66667
mrt,2018,50.66667
mrt,2019,50.66667
mus,2014,9
mus,2015,9
mus,2016,9
mus,2017,9
mus,2018,9
mus,2019,9
mwi,2014,83
mwi,2015,83
mwi,2016,83
mwi,2017,75
mwi,2018,75
mwi,2019,75
mys,2014,10
mys,2015,10
mys,2016,10
mys,2017,10
mys,2018,10
mys,2019,10
nam,2014,90
nam,2015,90
nam,2016,90
nam,2017,90
nam,2018,90
nam,2019,90
ner,2014,50.66667
ner,2015,50.66667
ner,2016,50.66667
ner,2017,50.66667
ner,2018,50.66667
ner,2019,50.66667
nga,2014,131.4286
nga,2015,131.4286
nga,2016,131.4286
nga,2017,131.4286
nga,2018,119
nga,2019,74
nic,2014,48
nic,2015,48
nic,2016,48
nic,2017,48
nic,2018,48
nic,2019,48
nld,2014,0.5
nld,2015,0.5
nld,2016,0.5
nld,2017,0.5
nld,2018,0.5
nld,2019,0.5
nor,2014,2
nor,2015,2
nor,2016,2
nor,2017,2
nor,2018,2
nor,2019,2
npl,2014,18.64286
npl,2015,18.64286
npl,2016,43
npl,2017,43
npl,2018,43
npl,2019,43
nzl,2014,3
nzl,2015,3
nzl,2016,3
nzl,2017,3
nzl,2018,3
nzl,2019,3
omn,2014,30.85714
omn,2015,30.85714
omn,2016,22
omn,2017,7
omn,2018,7
omn,2019,7
pak,2014,61.71429
pak,2015,61.71429
pak,2016,59
pak,2017,55
pak,2018,55
pak,2019,55
pan,2014,6
pan,2015,6
pan,2016,6
pan,2017,6
pan,2018,6
pan,2019,6
per,2014,48
per,2015,48
per,2016,48
per,2017,48
per,2018,48
per,2019,24
phl,2014,36
phl,2015,36
phl,2016,36
phl,2017,36
phl,2018,36
phl,2019,36
plw,2014,72
plw,2015,72
plw,2016,72
plw,2017,72
plw,2018,72
plw,2019,72
png,2014,96
png,2015,96
png,2016,96
png,2017,96
png,2018,96
png,2019,48
pol,2014,0.5
pol,2015,0.5
pol,2016,0.5
pol,2017,0.5
pol,2018,0.5
pol,2019,0.5
pri,2014,1.71429
pri,2015,1.71429
pri,2016,1.71429
pri,2017,1.71429
pri,2018,1.71429
pri,2019,1.71429
prt,2014,0.5
prt,2015,0.5
prt,2016,0.5
prt,2017,0.5
prt,2018,0.5
prt,2019,0.5
pry,2014,48
pry,2015,48
pry,2016,24
pry,2017,24
pry,2018,24
pry,2019,24
pse,2014,72
pse,2015,72
pse,2016,72
pse,2017,72
pse,2018,72
pse,2019,72
qat,2014,9.77778
qat,2015,9.77778
qat,2016,9.77778
qat,2017,9.77778
qat,2018,9.77778
qat,2019,9.77778
rou,2014,0.5
rou,2015,0.5
rou,2016,0.5
rou,2017,0.5
rou,2018,0.5
rou,2019,0.5
rus,2014,25.4
rus,2015,25.4
rus,2016,25.4
rus,2017,25.4
rus,2018,25.4
rus,2019,25.4
rwa,2014,42
rwa,2015,42
rwa,2016,42
rwa,2017,42
rwa,2018,30
rwa,2019,30
sau,2014,90
sau,2015,90
sau,2016,90
sau,2017,81
sau,2018,60
sau,2019,11
sdn,2014,190
sdn,2015,190
sdn,2016,190
sdn,2017,190
sdn,2018,190
sdn,2019,190
sen,2014,26
sen,2015,26
sen,2016,26
sen,2017,26
sen,2018,26
sen,2019,26
sgp,2014,2
sgp,2015,2
sgp,2016,2
sgp,2017,2
sgp,2018,2
sgp,2019,2
slb,2014,60
slb,2015,60
slb,2016,60
slb,2017,60
slb,2018,60
slb,2019,60
sle,2014,133.7143
sle,2015,133.7143
sle,2016,133.7143
sle,2017,72
sle,2018,72
sle,2019,72
slv,2014,9.33333
slv,2015,9.33333
slv,2016,9.33333
slv,2017,9.33333
slv,2018,9.33333
slv,2019,9.33333
smr,2014,0.5
smr,2015,0.5
smr,2016,0.5
smr,2017,0.5
smr,2018,0.5
smr,2019,0.5
som,2015,72.5
som,2016,72.5
som,2017,72.5
som,2018,72.5
som,2019,72.5
srb,2014,2.33333
srb,2015,2.33333
srb,2016,2.33333
srb,2017,2.33333
srb,2018,2.33333
srb,2019,2.33333
ssd,2014,192
ssd,2015,192
ssd,2016,192
ssd,2017,192
ssd,2018,192
ssd,2019,192
stp,2014,50.25
stp,2015,46.25
stp,2016,46.25
stp,2017,46.25
stp,2018,46.25
stp,2019,46.25
sur,2014,36
sur,2015,12
sur,2016,12
sur,2017,12
sur,2018,12
sur,2019,12
svk,2014,0.5
svk,2015,0.5
svk,2016,0.5
svk,2017,0.5
svk,2018,0.5
svk,2019,0.5
svn,2014,0.5
svn,2015,0.5
svn,2016,0.5
svn,2017,0.5
svn,2018,0.5
svn,2019,0.5
swe,2014,1
swe,2015,1
swe,2016,1
swe,2017,1
swe,2018,1
swe,2019,1
swz,2014,3.55556
swz,2015,3.55556
swz,2016,3.55556
swz,2017,2
swz,2018,2
swz,2019,2
syc,2014,43.63636
syc,2015,43.63636
syc,2016,43.63636
syc,2017,43.63636
syc,2018,43.63636
syc,2019,43.63636
syr,2014,48
syr,2015,48
syr,2016,48
syr,2017,48
syr,2018,48
syr,2019,48
tcd,2014,87
tcd,2015,87
tcd,2016,87
tcd,2017,87
tcd,2018,87
tcd,2019,87
tgo,2014,15
tgo,2015,15
tgo,2016,11
tgo,2017,11
tgo,2018,11
tgo,2019,11
tha,2014,11.27273
tha,2015,11.27273
tha,2016,11.27273
tha,2017,11.27273
tha,2018,11.27273
tha,2019,11.27273
tjk,2014,135
tjk,2015,66
tjk,2016,66
tjk,2017,66
tjk,2018,66
tjk,2019,66
tls,2014,33
tls,2015,33
tls,2016,33
tls,2017,33
tls,2018,33
tls,2019,33
ton,2014,108
ton,2015,108
ton,2016,108
ton,2017,108
ton,2018,108
ton,2019,108
tto,2014,32
tto,2015,32
tto,2016,32
tto,2017,32
tto,2018,32
tto,2019,32
tun,2014,3
tun,2015,3
tun,2016,3
tun,2017,3
tun,2018,3
tun,2019,3
tur,2014,5
tur,2015,5
tur,2016,5
tur,2017,5
tur,2018,4
tur,2019,4
tza,2014,120
tza,2015,96
tza,2016,96
tza,2017,96
tza,2018,96
tza,2019,96
uga,2014,63.75
uga,2015,63.75
uga,2016,63.75
uga,2017,51
uga,2018,24
uga,2019,24
ukr,2014,66
ukr,2015,66
ukr,2016,66
ukr,2017,66
ukr,2018,66
ukr,2019,66
ury,2014,24
ury,2015,24
ury,2016,24
ury,2017,24
ury,2018,24
ury,2019,24
usa,2014,1.5
usa,2015,1.5
usa,2016,1.5
usa,2017,1.5
usa,2018,1.5
usa,2019,1.5
uzb,2014,174.3158
uzb,2015,174.3158
uzb,2016,174.3158
uzb,2017,174.3158
uzb,2018,96
uzb,2019,96
vct,2014,48
vct,2015,48
vct,2016,48
vct,2017,48
vct,2018,48
vct,2019,48
ven,2014,528
ven,2015,528
ven,2016,528
ven,2017,528
ven,2018,528
vnm,2014,83.07692
vnm,2015,83.07692
vnm,2016,50
vnm,2017,50
vnm,2018,50
vnm,2019,50
vut,2014,72
vut,2015,72
vut,2016,72
vut,2017,72
vut,2018,72
vut,2019,72
wsm,2014,24
wsm,2015,24
wsm,2016,24
wsm,2017,24
wsm,2018,24
wsm,2019,24
zaf,2014,68
zaf,2015,68
zaf,2016,68
zaf,2017,68
zaf,2018,68
zaf,2019,68
zmb,2014,72
zmb,2015,130
zmb,2016,130
zmb,2017,96
zmb,2018,96
zmb,2019,96
zwe,2014,99
zwe,2015,99
zwe,2016,99
zwe,2017,99
zwe,2018,99
zwe,2019,99
