global,time,ny_gdp_fcst_kd
world,1970,21158676894655.89453
world,1971,21893756634416.19922
world,1972,23141278736834.69531
world,1973,24614113940001.19922
world,1974,24973359004817.69531
world,1975,24853054648307.19922
world,1976,26036446907402.19922
world,1977,27029291239626.30078
world,1978,28000183704451.19922
world,1979,29022558892936.10156
world,1980,29366338593504.69531
world,1981,29938522231751.30078
world,1982,30063963676263.60156
world,1983,30596804940257.5
world,1984,31949799877941.80078
world,1985,33001364641664.5
world,1986,33913100341621.30078
world,1987,35098828778513.69531
world,1988,36821437114801.60156
world,1989,38002879869623.60156
world,1990,39188408161513.69531
world,1991,39606549452889.39844
world,1992,40066698946923.10156
world,1993,40363459826227.69531
world,1994,41405686926574.60156
world,1995,42473680518191.60156
world,1996,43848965338963.69531
world,1997,45468573642622.29688
world,1998,46762884471901.60156
world,1999,48317120627730.09375
world,2000,50370054379124.29688
world,2001,51129637613352.29688
world,2002,52079539225756.60156
world,2003,53353268535525.69531
world,2004,55393296595415
world,2005,57282374050652.29688
world,2006,59329937390653.29688
world,2007,61232125350608.09375
world,2008,61892428886805.10156
world,2009,60252782632585.89844
world,2010,62325960075858.60156
world,2011,63869919960732.20312
world,2012,65012043469633.50781
world,2013,66320732560004.70312
world,2014,67796675957535.50781
world,2015,69353200036262
world,2016,70643820339348.20312
world,2017,72517764030199.29688
world,2018,74340875347358.20312
