global,time,sh_xpd_oopc_pp_cd
world,2000,144.97541
world,2001,154.30045
world,2002,161.77539
world,2003,171.43397
world,2004,180.13272
world,2005,191.53069
world,2006,203.10936
world,2007,212.0713
world,2008,220.5703
world,2009,228.87116
world,2010,232.26958
world,2011,240.27152
world,2012,252.18462
world,2013,266.26722
world,2014,269.27945
world,2015,274.68571
world,2016,285.47168
world,2017,289.26914
world,2018,301.78338
world,2019,313.2254
