geo,time,sl_tlf_intm_fe_zs
afg,2014,33.35
afg,2017,18.19
afg,2020,18.08
ago,2004,87.57
ago,2009,67.41
ago,2011,75.51
ago,2014,44.22
alb,2007,45.08
alb,2008,51.2
alb,2009,47.41
alb,2010,47.66
alb,2011,55.84
alb,2012,50.35
alb,2013,45.58
alb,2014,44.78
alb,2015,46.37
alb,2016,49.99
alb,2017,49.41
alb,2018,52.02
alb,2019,53.03
are,2017,40.09
are,2018,43.79
arg,2004,57.03
arg,2005,56.17
arg,2006,56.75
arg,2008,54.87
arg,2009,55.95
arg,2010,53.99
arg,2011,53.99
arg,2012,53.97
arg,2013,54.31
arg,2014,52.65
arg,2017,54.56
arg,2018,55.83
arg,2019,55.77
arg,2020,51.23
arm,2007,37.05
arm,2008,47.41
arm,2009,48.39
arm,2010,52.25
arm,2011,52.45
arm,2012,51
arm,2013,53.17
arm,2014,53.71
arm,2015,50.6
arm,2016,50.1
arm,2017,50.2
arm,2018,41.72
arm,2019,42.49
arm,2020,38.21
aus,2009,75.14
aus,2010,74.17
aus,2011,74.66
aus,2012,74.48
aus,2013,69.33
aus,2014,69.27
aus,2015,69.02
aus,2016,70.77
aus,2017,69.96
aut,1995,63.26
aut,1996,63.71
aut,1997,63.3
aut,1998,60.95
aut,1999,60.62
aut,2000,60.02
aut,2001,59.61
aut,2002,59.17
aut,2003,59.84
aut,2004,59.79
aut,2005,60.11
aut,2006,61.24
aut,2007,61.74
aut,2008,62.55
aut,2009,62.95
aut,2010,63.29
aut,2011,63.5
aut,2012,63.55
aut,2013,63.5
aut,2014,59.93
aut,2015,59.79
aut,2016,59.54
aut,2017,59.11
aut,2018,59.51
aut,2019,59.03
aut,2020,57.61
bdi,2014,73.2
bel,1992,53.82
bel,1993,55.96
bel,1994,55.98
bel,1995,56.58
bel,1996,54.82
bel,1997,55.8
bel,1998,54.78
bel,1999,55.94
bel,2000,55.39
bel,2001,53.84
bel,2002,53.89
bel,2003,55.33
bel,2004,54.68
bel,2005,56.95
bel,2006,55.59
bel,2007,55.29
bel,2008,56.89
bel,2009,55.43
bel,2010,55.86
bel,2011,54.53
bel,2012,54.04
bel,2013,54.56
bel,2014,53.93
bel,2015,53.69
bel,2016,51.41
bel,2017,51.69
bel,2018,52.64
bel,2019,52.72
bel,2020,50.23
ben,2011,41.28
ben,2018,47.66
bfa,2014,40.27
bfa,2018,43.82
bgd,2006,20.39
bgd,2010,33.4
bgd,2013,31.64
bgd,2016,28.35
bgd,2017,28.43
bgr,2000,58.76
bgr,2001,60.27
bgr,2002,59.13
bgr,2003,58.76
bgr,2004,59.06
bgr,2005,57.66
bgr,2006,59.84
bgr,2007,60.08
bgr,2008,60.54
bgr,2009,58.94
bgr,2010,56.81
bgr,2011,55.34
bgr,2012,55.49
bgr,2013,55.19
bgr,2014,54.18
bgr,2015,53.21
bgr,2016,51.89
bgr,2017,53.71
bgr,2018,53.04
bgr,2019,53.81
bgr,2020,51.67
bih,2006,56.84
bih,2007,51.68
bih,2008,52.18
bih,2009,50.55
bih,2010,50.66
