global,time,ic_reg_proc_fe
world,2003,10.32836
world,2004,9.99306
world,2005,9.96933
world,2006,9.87425
world,2007,9.54706
world,2008,9.04094
world,2009,8.62791
world,2010,8.48256
world,2011,8.12069
world,2012,8.08427
world,2013,7.94587
world,2014,7.78683
world,2015,7.60053
world,2016,7.38658
world,2017,7.18937
world,2018,6.93665
world,2019,6.71314
