geo,time,dt_nfl_moth_cd
afg,2006,77984.6
afg,2007,300058.4
afg,2008,133325.3
afg,2009,7373066.3
afg,2010,1728339.8
afg,2011,11202085.3
afg,2012,6246243.2
afg,2013,7993122.7
afg,2014,12476177.1
afg,2015,1955976.2
afg,2016,-1912359.1
afg,2017,-1978312.3
afg,2018,2620209.1
afg,2019,-2507434.3
afg,2020,-2849348.3
ago,1989,-1016000
ago,1990,-1468000
ago,1991,588000
ago,1992,1533977.4
ago,1997,-571562.5
ago,1999,-1338000
ago,2000,-2357000
ago,2001,-2643000
ago,2002,-67499.3
ago,2003,4367000
ago,2004,4278057.4
ago,2005,1788110.6
ago,2006,828396.3
ago,2007,658283.9
ago,2008,112212.9
ago,2009,576830.7
ago,2010,1194337.6
ago,2011,-983463.1
ago,2012,272986.1
ago,2013,-372221.6
ago,2014,-107058.3
ago,2015,-507413.1
ago,2016,-849448
ago,2017,-1030992
ago,2018,-1140102.4
ago,2019,-1310678.8
ago,2020,-1318672.3
alb,1994,800000
alb,1996,2364040.3
alb,1997,2151514.5
alb,1998,5239093.6
alb,1999,30495617
alb,2000,34056274.1
alb,2001,16747167.2
alb,2002,19603597.5
alb,2003,21517317.6
alb,2004,19719073.8
alb,2005,23002107.2
alb,2006,36670301.3
alb,2007,47959736.1
alb,2008,85759589.2
alb,2009,90486778
alb,2010,82413813.4
alb,2011,106350188.8
alb,2012,142599262.9
alb,2013,121368450.8
alb,2014,18004691.5
alb,2015,-9932135.8
alb,2016,6513011.5
alb,2017,37908626.8
alb,2018,-588024.3
alb,2019,-24220186.8
alb,2020,-27496416.1
arg,1983,148541000
arg,1984,-26677000
arg,1985,-12186000
arg,1986,-12186000
arg,1987,-32186000
arg,1988,-12186000
arg,1989,-12187000
arg,1990,-12187000
arg,1991,-12187000
arg,1992,-5520000
arg,2005,27949000
arg,2006,66992000
arg,2007,316780119.2
arg,2008,397637526
arg,2009,283587896.9
arg,2010,136654634.1
arg,2011,385124018.1
arg,2012,220038031
arg,2013,345299196.9
arg,2014,232322278.3
arg,2015,173014766.8
arg,2016,52470447.3
arg,2017,422854207.7
arg,2018,521231784
arg,2019,240319370.6
arg,2020,23143554.3
arm,1993,60283856.2
arm,1994,7101631
arm,1996,-8832798.1
arm,1997,-756136.7
arm,1998,-17178408.3
