global,time,nv_ind_totl_cd
world,1991,7578447266491.79883
world,1992,7972188787881.29004
world,1993,7691495839836.19043
world,1994,8302260937348.09961
world,1995,9231810305823.96094
world,1996,9243712006183.34766
world,1997,8919092453666
world,1998,8633367341071.29883
world,1999,8947120937818.33984
world,2000,9372437402889.32031
world,2001,9000788123799.17188
world,2002,9179355506204.88086
world,2003,10293068512950.90039
world,2004,11773563592071.59961
world,2005,12980891418405.19922
world,2006,14331194047247.5
world,2007,16180126826342.19922
world,2008,17984444761530.5
world,2009,16159731588471.19922
world,2010,18296655317928.60156
world,2011,20695600736249.10156
world,2012,21110911651134
world,2013,21472053253634.19922
world,2014,21889888704450.60156
world,2015,20136786155923.19922
world,2016,20025440162373.89453
world,2017,21661725081868.30078
world,2018,23391315662823.60156
world,2019,23295613058711.60156
world,2020,22037289013614.10156
