geo,time,ic_frm_cmpu_zs
afg,2008,45.9
afg,2014,41.5
ago,2006,77.7
ago,2010,41.2
alb,2007,52.6
alb,2013,46.3
alb,2019,44.7
arg,2006,56.1
arg,2010,68.2
arg,2017,72.5
arm,2009,44.6
arm,2013,16.5
arm,2020,28.9
atg,2010,78.1
aze,2009,40.7
aze,2013,19.6
aze,2019,29.9
bdi,2006,60.3
bdi,2014,51.3
bel,2020,19.2
ben,2009,79.3
ben,2016,66.8
bfa,2006,88.1
bfa,2009,75
bgd,2007,46.6
bgd,2013,39.4
bgr,2007,60.2
bgr,2009,54.1
bgr,2013,58.5
bgr,2019,52.4
bhs,2010,67.5
bih,2009,46.5
bih,2013,47
bih,2019,42.1
blr,2008,50.4
blr,2013,44.7
blr,2018,20.3
blz,2010,58.5
bol,2006,90.1
bol,2010,80.5
bol,2017,78.9
bra,2009,69.7
brb,2010,49.4
btn,2009,19.9
btn,2015,7.2
bwa,2006,49.7
bwa,2010,54.6
caf,2011,66.7
chl,2006,49.6
chl,2010,55.8
chn,2012,57.7
civ,2009,73.6
civ,2016,75.6
cmr,2006,84.6
cmr,2009,90.1
cmr,2016,80.3
cod,2006,82.4
cod,2010,90
cod,2013,78.4
cog,2009,69.7
col,2006,55.1
col,2010,70.9
col,2017,66.1
cpv,2006,60.4
cpv,2009,44.5
cri,2010,70.4
cyp,2019,44
cze,2009,42.9
cze,2013,35
cze,2019,24.6
dji,2013,22.2
dma,2010,10.7
dnk,2020,29.4
dom,2010,75.8
dom,2016,61.1
dza,2007,66.8
ecu,2006,65.4
ecu,2010,65.7
ecu,2017,67.1
egy,2008,46.7
egy,2013,47.9
egy,2016,43
egy,2020,39.1
eri,2009,28.2
est,2009,26.3
est,2013,32.1
est,2019,29.9
eth,2011,37.3
eth,2015,23.1
fin,2020,22.5
fji,2009,39.6
fsm,2009,41.1
gab,2009,76
geo,2008,52.2
geo,2013,56.3
geo,2019,22.4
gha,2007,69.1
gha,2013,69.4
gin,2006,62.8
gin,2016,75.7
gmb,2006,60.3
gmb,2018,71.1
gnb,2006,53.7
grc,2018,41.9
grd,2010,72.5
gtm,2006,65.8
gtm,2010,69.8
gtm,2017,77.1
guy,2010,59.8
hnd,2006,71
hnd,2010,63.2
hnd,2016,72.5
hrv,2007,31.7
hrv,2013,47
hrv,2019,17.1
hun,2009,49
hun,2013,16.1
hun,2019,13.7
idn,2009,65.1
idn,2015,65
ind,2014,50.1
irl,2020,35.8
irq,2011,49.3
isr,2013,17.4
ita,2019,22.2
jam,2010,66.4
jor,2013,20.6
jor,2019,48.6
kaz,2009,36.9
kaz,2013,33.9
kaz,2019,39.2
ken,2013,59.3
ken,2018,68.8
kgz,2009,67.5
kgz,2013,44.5
kgz,2019,51.4
khm,2016,77.8
kna,2010,65.4
kos,2009,64.1
