geo,time,en_atm_co2e_lf_zs
abw,1960,100
abw,1961,100
abw,1962,100
abw,1963,100
abw,1964,100
abw,1965,100
abw,1966,100
abw,1967,100
abw,1968,100
abw,1969,100
abw,1970,100
abw,1971,100
abw,1972,100
abw,1973,100
abw,1974,100
abw,1975,100
abw,1976,100
abw,1977,100
abw,1978,100
abw,1979,100
abw,1980,100
abw,1981,100
abw,1982,100
abw,1983,100
abw,1984,100
abw,1985,100
abw,1986,100
abw,1987,100
abw,1988,100
abw,1989,100
afg,1960,65.48673
afg,1961,59.70149
afg,1962,52.65957
afg,1963,55.44041
afg,1964,56.76856
afg,1965,53.81818
afg,1966,52.68456
afg,1967,43.42857
afg,1968,40.71856
afg,1969,56.03113
afg,1970,40.13158
afg,1971,39.45841
afg,1972,40.90909
afg,1973,42.95302
afg,1974,40.15296
afg,1975,41.2069
afg,1976,44.46494
afg,1977,40.79755
afg,1978,43.29372
afg,1979,52.04583
afg,1980,52.5
afg,1981,51.20148
afg,1982,47.29494
afg,1983,48.40116
afg,1984,40.02591
afg,1985,44.09613
afg,1986,36.28938
afg,1987,64.55399
afg,1988,63.55499
afg,1989,67.2391
afg,1990,62.56199
afg,1991,62.76726
afg,1992,64.87769
afg,1993,65.79029
afg,1994,66.006
afg,1995,66.006
afg,1996,66.19246
afg,1997,66.006
afg,1998,65.65676
afg,1999,60.37134
afg,2000,64.76779
afg,2001,60.66395
afg,2002,40.00364
afg,2003,45.90541
afg,2004,49.65053
afg,2005,52.54543
afg,2006,58.59639
afg,2007,50.8097
afg,2008,64.06809
afg,2009,82.44638
afg,2010,67.71473
afg,2011,62.06383
afg,2012,64.70764
afg,2013,56.23308
afg,2014,48.31425
afg,2015,59.34207
afg,2016,47.04081
ago,1960,63.33333
ago,1961,68.54839
ago,1962,85.40373
ago,1963,89.80892
ago,1964,85.02994
ago,1965,85.18519
ago,1966,85.84906
ago,1967,80.4428
ago,1968,84.86842
ago,1969,89.73684
ago,1970,48.72057
