global,time,sh_xpd_ehex_pc_cd
world,2000,0.65417
world,2001,0.63527
world,2002,0.70431
world,2003,0.86705
world,2004,1.3095
world,2005,1.50528
world,2006,1.56753
world,2007,1.79994
world,2008,2.038
world,2009,2.20741
world,2010,2.50902
world,2011,2.82067
world,2012,2.76427
world,2013,2.95012
world,2014,2.94519
world,2015,2.49156
world,2016,2.3101
world,2017,2.36051
world,2018,2.33907
world,2019,2.45959
