global,time,gc_xpn_comp_zs
world,2002,21.31574
world,2003,21.23577
world,2004,21.09771
world,2005,23.00084
world,2006,22.09915
world,2007,23.33131
world,2008,21.01113
world,2009,21.66115
world,2010,21.76409
world,2011,22.23948
world,2012,22.40363
world,2013,20.90241
world,2014,21.81161
world,2015,22.48706
world,2016,22.00762
world,2017,21.81862
world,2018,21.64112
world,2019,21.62326
