global,time,sl_srv_empl_zs
world,1991,34.44846
world,1992,34.82894
world,1993,35.55359
world,1994,36.34952
world,1995,37.36199
world,1996,38.02341
world,1997,38.51572
world,1998,38.8496
world,1999,39.0628
world,2000,39.4106
world,2001,39.83409
world,2002,40.36203
world,2003,40.78894
world,2004,41.49187
world,2005,41.94766
world,2006,42.58015
world,2007,42.96448
world,2008,43.50388
world,2009,44.13441
world,2010,44.51291
world,2011,45.11176
world,2012,45.55254
world,2013,46.40352
world,2014,47.29406
world,2015,48.05347
world,2016,48.70064
world,2017,49.38289
world,2018,49.89934
world,2019,50.62099
