geo,time,ne_exp_gnfs_cd
abw,1995,1121229050.27933
abw,1996,1195530726.25698
abw,1997,1264245810.05587
abw,1998,1326256983.24022
abw,1999,1377094972.06704
abw,2000,1393854748.60335
abw,2001,1353631284.9162
abw,2002,1260335195.53073
abw,2003,1275418994.41341
abw,2004,1450279329.60894
abw,2005,1597765363.12849
abw,2006,1596648044.69274
abw,2007,1730167597.76536
abw,2008,1858659217.87709
abw,2009,1593854748.60335
abw,2010,1459217877.09497
abw,2011,1729050279.32961
abw,2012,1653631284.9162
abw,2013,2088122905.02793
abw,2014,2184551243.25221
abw,2015,2158563998.46023
abw,2016,2142859592.10299
abw,2017,2243516789.92374
abw,2018,2363195887.33393
afg,1960,22222233.33333
afg,1961,24444455.55556
afg,1962,26666680
afg,1963,68888922.22222
afg,1964,71111144.44444
afg,1965,113333340
afg,1966,120000000
afg,1967,113333340
afg,1968,122222228.88889
afg,1969,142222222.22222
afg,1970,171111104.44444
afg,1971,199999988.88889
afg,1972,235555544.44444
afg,1973,224444437.77778
afg,1974,302222222.22222
afg,1975,300000006.66667
afg,1976,337777777.77778
afg,1977,344444451.11111
afg,1978,357777771.11111
ago,2000,8187989014.49131
ago,2001,6736804052.06298
ago,2002,8725781181.80022
ago,2003,9676099739.56623
ago,2004,13749769575.3243
ago,2005,24225663183.7639
ago,2006,33245105956.21889
ago,2007,44319695565.281
ago,2008,64168383679.80129
ago,2009,41310593206.4512
ago,2010,51572818660.86649
ago,2011,67822745138.1171
ago,2012,71632934595.8855
ago,2013,69376269461.8533
ago,2014,65126113465.185
ago,2015,34572954933.6294
ago,2016,28440561886.9778
ago,2017,35420915616.9387
ago,2018,41388899132.5883
ago,2019,35180143509.5873
ago,2020,22059211204.395
alb,1984,335069933.04963
alb,1985,319090900.2735
alb,1986,327312512.5
alb,1987,333550012.5
alb,1988,348287487.5
alb,1989,418924987.5
alb,1990,312500000
alb,1991,82300000
alb,1992,81519209.67581
alb,1993,189399541.45744
alb,1994,225407481.03268
alb,1995,302465325.38634
alb,1996,371808985.54913
alb,1997,230303544.64894
alb,1998,291949986.76899
alb,1999,540977914.55467
alb,2000,700083398.14455
alb,2001,836717875.53947
alb,2002,910729684.95604
alb,2003,1169850310.53175
alb,2004,1596261928.9261
alb,2005,1853022970.79312
alb,2006,2242665086.02148
alb,2007,3016116154.41694
alb,2008,3259293923.566
alb,2009,3040048284.81513
alb,2010,3337085649.24613
alb,2011,3769457697.94184
alb,2012,3565049424.96224
alb,2013,3694412184.43974
alb,2014,3732057451.6496
alb,2015,3104896964.71229
alb,2016,3437126527.98196
alb,2017,4110290931.98992
alb,2018,4785177777.03696
alb,2019,4821430704.1915
alb,2020,3440693327.19742
are,2001,50787202178.3526
are,2002,54362695711.3683
are,2003,69538461538.4615
are,2004,93968596324.03001
are,2005,122070878148.39999
are,2006,152433690946.22198
are,2007,186690265486.72601
are,2008,248808168822.328
are,2009,201958883594.28201
are,2010,238328114363.513
are,2011,315867937372.362
are,2012,375513955071.47699
are,2013,392244520081.68799
are,2014,401366643975.49402
are,2015,361252552756.97803
are,2016,360626276378.48895
are,2017,384043567052.41693
are,2018,392863172226.00403
are,2019,404046289993.19293
arg,1962,1147183934.48134
arg,1963,1441753549.59206
arg,1964,1424603255.4971
arg,1965,1764705803.20912
arg,1966,1904761830.17968
arg,1967,1818181857.73576
arg,1968,1714285705.23432
arg,1969,2000000041.3448
arg,1970,1769210602.71535
arg,1971,2000000003.29714
arg,1972,2500000047.48951
arg,1973,4000000136.32269
arg,1974,4999999839.57003
arg,1975,3054054017.48759
arg,1976,4695000304.43367
arg,1977,5459999880.60299
arg,1978,4999999950.3057
arg,1979,4508960596.86682
arg,1980,3895791554.56352
arg,1981,5445263189.7662
arg,1982,7663966255.62989
arg,1983,9515669466.75192
arg,1984,6003000151.64854
arg,1985,10376666928.8033
arg,1986,9054444307.18032
arg,1987,8747619117.06127
arg,1988,12029545360.5898
arg,1989,10007559520.4417
arg,1990,14643450361.4013
arg,1991,14561091033.0362
arg,1992,15095901877.6499
arg,1993,16357317317.3173
arg,1994,19385100000
arg,1995,24978532000
arg,1996,28381400000
arg,1997,30928400000
arg,1998,31137200000
arg,1999,27862300000
arg,2000,31223690400
arg,2001,31112418400
arg,2002,27736610298.2555
arg,2003,33084505277.8061
arg,2004,39266996605.79729
arg,2005,46198180131.0044
arg,2006,53550250227.3909
arg,2007,65162321195.025
arg,2008,79762958392.30118
arg,2009,65133480388.4946
arg,2010,80208867995.7171
arg,2011,97810932629.3764
arg,2012,88655850853.77209
arg,2013,80690471898.442
arg,2014,75818867911.08249
arg,2015,63671789068.8987
arg,2016,69842486095.8653
arg,2017,72860588696.28741
arg,2018,75766577038.619
arg,2019,79973696948.52859
arg,2020,64589960466.9512
arm,1990,789960888.14374
arm,1991,843376623.37662
arm,1992,506852687.73082
arm,1993,567247614.97935
arm,1994,517226106.17727
arm,1995,351337833.40404
arm,1996,371135639.06869
arm,1997,332378719.93477
arm,1998,359865213.08226
arm,1999,383089746.94427
arm,2000,423629630.4534
arm,2001,511522177.78258
arm,2002,661384145.80972
arm,2003,855676348.11756
arm,2004,1008274439.96626
arm,2005,1338475057.949
arm,2006,1413899467.45556
arm,2007,1674567081.12247
arm,2008,1663675191.04852
arm,2009,1268730216.88583
arm,2010,1828759529.03772
arm,2011,2284326829.81437
arm,2012,2926876972.55105
arm,2013,3153323143.543
arm,2014,3315721203.94365
arm,2015,3137020909.22235
arm,2016,3558717362.88217
arm,2017,4405338828.34724
arm,2018,4907543853.58308
arm,2019,5631686117.72708
arm,2020,3762488985.37429
asm,2002,518000000
asm,2003,513000000
asm,2004,460000000
asm,2005,498000000
asm,2006,495000000
asm,2007,505000000
asm,2008,641000000
asm,2009,530000000
asm,2010,364000000
asm,2011,335000000
asm,2012,483000000
asm,2013,458000000
asm,2014,429000000
asm,2015,428000000
asm,2016,429000000
asm,2017,362000000
asm,2018,436000000
asm,2019,399000000
asm,2020,426000000
atg,1993,766444444.44444
atg,1994,761740740.74074
atg,1995,700925925.92593
atg,1996,702518518.51852
atg,1997,773666666.66667
atg,1998,813111111.11111
atg,1999,825222222.22222
atg,2000,814814814.81482
atg,2001,777222222.22222
atg,2002,746740740.74074
atg,2003,807407407.40741
atg,2004,931925925.92593
atg,2005,951629629.62963
atg,2006,956703703.7037
