geo,time,sl_emp_1524_sp_fe_ne_zs
afg,2008,35.11
afg,2012,14.27
afg,2014,25.53
afg,2017,15.6
afg,2020,13.09
ago,2004,19.21
ago,2009,37.2
ago,2010,46.54
ago,2011,47.79
ago,2014,19.55
alb,2007,17.41
alb,2008,20.85
alb,2009,21.54
alb,2010,18.53
alb,2011,29.05
alb,2012,20.7
alb,2013,14.12
alb,2014,13.66
alb,2015,13.4
alb,2016,16.8
alb,2017,17.71
alb,2018,20.4
alb,2019,22.25
are,2017,28.91
are,2018,31.89
are,2019,25.79
are,2020,24.16
arg,2004,26.01
arg,2005,25.53
arg,2006,27.14
arg,2008,27.12
arg,2009,25.59
arg,2010,24.84
arg,2011,24.98
arg,2012,24.24
arg,2013,23.54
arg,2014,23.38
arg,2017,22.7
arg,2018,23.57
arg,2019,22.88
arg,2020,17.93
arm,2007,12.14
arm,2008,13.72
arm,2009,13.78
arm,2010,15
arm,2011,17.22
arm,2012,16.55
arm,2013,19.11
arm,2014,18.21
arm,2015,22.35
arm,2016,16.22
arm,2017,18.12
arm,2018,19.06
arm,2019,22.91
arm,2020,18.77
aus,1979,54.58
aus,1980,56.96
aus,1981,57.05
aus,1982,55.87
aus,1983,54.67
aus,1984,55.64
aus,1985,56.95
aus,1986,57.93
aus,1987,57.65
aus,1988,58.26
aus,1989,60.66
aus,1990,60.05
aus,1991,55.82
aus,1992,54.76
aus,1993,54.4
aus,1994,57.05
aus,1995,59.23
aus,1996,59.18
aus,1997,57.62
aus,1998,58.45
aus,1999,59.51
aus,2000,60.76
aus,2001,60.58
aus,2002,60.22
aus,2003,61.22
aus,2004,61.56
aus,2005,62.37
aus,2006,62.9
aus,2007,63.24
aus,2008,63.5
aus,2009,60.72
aus,2010,59.71
aus,2011,60.19
aus,2012,59.46
aus,2013,58.73
aus,2014,57.98
aus,2015,58.76
aus,2016,58.79
aus,2017,58.74
aus,2018,60.32
aus,2019,60.76
aus,2020,57.77
aus,2021,62.22
aut,1994,56.11
aut,1995,55.24
aut,1996,52.7
aut,1997,51.38
aut,1998,51.28
aut,1999,50.72
aut,2000,48.61
aut,2001,47.24
aut,2002,47.66
aut,2003,46.38
aut,2004,45.13
aut,2005,48.52
aut,2006,48.8
aut,2007,50.63
aut,2008,51.33
aut,2009,50.51
aut,2010,48.93
aut,2011,49.82
aut,2012,50.27
aut,2013,49.75
aut,2014,49.87
aut,2015,48.72
aut,2016,49
aut,2017,49.01
aut,2018,48.74
aut,2019,48.42
aut,2020,47.77
aze,2007,34.54
aze,2008,31.1
aze,2009,32.17
aze,2010,36.07
aze,2011,27.33
bdi,2014,56.52
bdi,2017,56.5
bel,1983,29.67
bel,1984,28.42
bel,1985,29.12
bel,1986,30.36
bel,1987,28.67
bel,1988,28.18
bel,1989,26.98
bel,1990,27.54
bel,1991,29.33
bel,1992,30.29
bel,1993,26.28
bel,1994,25.27
bel,1995,24.18
bel,1996,22.59
bel,1997,21.79
bel,1998,22.64
bel,1999,23.36
bel,2000,26.72
bel,2001,24.98
bel,2002,25.65
bel,2003,23.77
bel,2004,25.88
bel,2005,25.2
bel,2006,24.73
bel,2007,24.97
bel,2008,25.01
bel,2009,23.2
bel,2010,23.11
bel,2011,24.2
bel,2012,22.64
bel,2013,21.9
bel,2014,21.81
bel,2015,21.68
bel,2016,21.4
bel,2017,20.86
bel,2018,23.51
bel,2019,25.84
bel,2020,22.52
ben,2010,43.54
ben,2011,44.53
ben,2018,32.38
bfa,2006,56.08
bfa,2014,39.51
bfa,2018,21.92
bgd,2006,19.31
bgd,2010,32.1
bgd,2013,34.11
bgd,2016,23.61
bgd,2017,21.92
bgr,2000,18.05
bgr,2001,21.03
bgr,2002,19.59
bgr,2003,19.51
bgr,2004,19.53
bgr,2005,19.37
bgr,2006,21.02
bgr,2007,21.82
bgr,2008,23.11
bgr,2009,21.38
bgr,2010,21.25
bgr,2011,18.95
bgr,2012,18.73
bgr,2013,18.36
bgr,2014,17.27
bgr,2015,16.46
bgr,2016,16.25
bgr,2017,19.12
bgr,2018,17.01
bgr,2019,18.38
bgr,2020,15.74
bhr,1991,15.65
bhr,2001,18.89
bhr,2010,23.02
bhr,2011,20.06
bhr,2015,25.7
bih,2006,8.92
bih,2007,9.38
bih,2008,12.1
bih,2009,11.42
bih,2010,9.99
bih,2011,9.2
bih,2012,7.53
bih,2013,7.89
bih,2014,8.03
bih,2015,7.99
bih,2016,8.73
bih,2017,11.27
bih,2018,12.55
bih,2019,18.37
bih,2020,15.82
blr,2009,37.3
blr,2020,38.92
blz,2012,27.11
blz,2013,23.82
blz,2014,24.53
blz,2015,24.59
blz,2016,24.41
blz,2017,26.36
blz,2019,31.72
bol,2005,39.47
bol,2006,43.77
bol,2008,41.69
bol,2009,42.34
bol,2011,42.01
bol,2012,34.64
bol,2013,37.32
bol,2014,40.06
bol,2015,31.68
bol,2016,33.91
bol,2017,35.06
bol,2018,41.02
bol,2019,37.67
bol,2020,35.24
bra,1995,41.94
bra,1996,40.05
bra,1997,39.11
bra,1998,37.63
bra,1999,37.9
bra,2001,39.26
bra,2002,40.33
bra,2003,39.36
bra,2004,41.24
bra,2005,41.54
bra,2006,41.65
bra,2007,42.25
bra,2008,42.55
bra,2009,40.96
bra,2011,40.22
bra,2012,38.98
bra,2013,38.37
bra,2014,38.17
bra,2015,35.95
bra,2016,33.18
bra,2017,33
bra,2018,33.45
bra,2019,34.5
bra,2020,28.46
brb,2013,28.48
brb,2014,27.92
brb,2015,26.28
brb,2016,30.78
brb,2017,29.18
brb,2018,30.52
brb,2019,33.07
brn,2014,23.74
brn,2017,25.01
brn,2018,23.8
brn,2019,23.69
brn,2020,23.66
btn,2009,44.93
btn,2010,35.88
btn,2011,35.87
btn,2012,33.35
btn,2014,25.55
btn,2015,27.1
bwa,1996,18.39
bwa,2006,23.08
bwa,2009,20.95
bwa,2010,19.62
bwa,2013,21.79
bwa,2019,19.85
bwa,2020,16.58
can,1976,51.4
can,1977,51.56
can,1978,52.37
can,1979,54.65
can,1980,56.11
can,1981,57.24
can,1982,53.93
can,1983,53.92
can,1984,55
can,1985,56.61
can,1986,58.26
can,1987,59.44
can,1988,60.89
can,1989,61.91
can,1990,59.92
can,1991,57.57
can,1992,55.13
can,1993,53.27
can,1994,53.4
can,1995,53.26
can,1996,52.05
can,1997,50.16
can,1998,51.94
can,1999,53.76
can,2000,55.72
can,2001,56.22
can,2002,57.62
can,2003,58.64
can,2004,58.25
can,2005,58.74
can,2006,59.33
can,2007,59.81
can,2008,60.04
can,2009,57.26
can,2010,56.71
can,2011,56.48
can,2012,55.57
can,2013,56.02
can,2014,56.92
can,2015,57.17
can,2016,56.78
can,2017,57.64
can,2018,57.24
can,2019,58.81
can,2020,49.61
can,2021,55.88
che,1991,67.87
che,1992,66.68
che,1993,67.99
che,1994,63.35
che,1995,60.81
che,1996,62.93
che,1997,62.33
che,1998,59.08
che,1999,65.42
che,2000,63.4
che,2001,63.23
che,2002,65.42
che,2003,62.31
che,2004,61.1
che,2005,58.83
che,2006,62.03
che,2007,59.7
che,2008,61.24
che,2009,62.35
che,2010,61.52
che,2011,62.53
che,2012,60.93
che,2013,61.18
che,2014,61.68
che,2015,62.58
che,2016,63.17
che,2017,62.36
che,2018,62.58
che,2019,61.56
che,2020,59.4
chl,1990,22.18
chl,1992,25.2
chl,1994,24.38
chl,1996,23.84
chl,1997,24.52
chl,1998,23.37
chl,1999,20.57
chl,2000,20.2
chl,2001,19.29
chl,2002,18.49
chl,2003,19.07
chl,2004,19.93
chl,2005,20.54
chl,2006,20.9
chl,2007,21.71
chl,2008,22.47
chl,2009,22.01
chl,2010,23.82
chl,2011,25.27
chl,2012,25.56
chl,2013,25.12
chl,2014,24.54
chl,2015,24.43
chl,2016,24.09
chl,2017,24.29
chl,2018,24.17
chl,2019,23.28
chl,2020,16.21
civ,2012,46.23
civ,2013,47.28
civ,2016,30.44
civ,2017,25.35
cmr,2007,62.17
cmr,2010,49.3
cmr,2014,41.66
cod,2005,48.57
cod,2012,36.63
cog,2005,26.51
cog,2009,45.6
col,2001,30.8
col,2002,31.18
col,2003,32.38
col,2004,30.43
col,2005,30.08
col,2007,28.23
col,2008,27.61
col,2009,29.68
col,2010,31.22
col,2011,32.57
col,2012,34.26
col,2013,34.52
col,2014,35.19
col,2015,35.42
col,2016,35.2
col,2017,35.04
col,2018,34.06
col,2019,32.38
col,2020,25.57
com,2004,14.18
com,2014,9.97
cpv,2015,14.36
cpv,2017,20.15
cpv,2018,19.36
cpv,2019,18.09
cri,1990,31.34
cri,1991,30.96
cri,1992,30.57
cri,1993,31.15
cri,1994,30.92
cri,1995,30.7
cri,1996,26.11
cri,1997,28.39
cri,1998,31.8
cri,1999,31.29
cri,2000,30.21
cri,2001,31.21
cri,2002,29.45
cri,2003,29.83
cri,2004,26.97
cri,2005,29.04
cri,2006,29.82
cri,2007,33.29
cri,2008,33.72
cri,2009,28.87
cri,2010,27.19
cri,2011,23.63
cri,2012,27.8
cri,2013,29.06
cri,2014,26.11
cri,2015,27.01
cri,2016,22.71
cri,2017,24.05
cri,2018,23.63
cri,2019,23.77
cri,2020,18.15
cym,2006,47.07
cym,2007,52.24
cym,2008,50.35
cym,2011,44.26
cym,2012,51.75
cym,2013,45.99
cym,2014,40.44
cym,2015,52.25
cyp,2000,34.33
cyp,2001,37.72
cyp,2002,35.78
cyp,2003,36.52
cyp,2004,34.66
cyp,2005,33.25
cyp,2006,34.08
cyp,2007,35.99
cyp,2008,36.74
cyp,2009,33.35
cyp,2010,33.29
cyp,2011,28.71
cyp,2012,26.06
cyp,2013,22.96
cyp,2014,25.86
cyp,2015,26.79
cyp,2016,26.23
cyp,2017,30.71
cyp,2018,35.03
cyp,2019,34.14
cyp,2020,32.09
cze,1993,37.94
cze,1994,39.44
cze,1995,38.35
cze,1996,37.34
cze,1997,35.87
cze,1998,35.12
cze,1999,33.95
cze,2000,33.57
cze,2001,31.48
cze,2002,29.15
cze,2003,27.11
cze,2004,25.66
cze,2005,23.39
cze,2006,23.71
cze,2007,23.92
cze,2008,23.52
cze,2009,21.74
cze,2010,20.59
cze,2011,19.79
cze,2012,21
cze,2013,20.99
cze,2014,21.6
cze,2015,23.41
cze,2016,23.22
cze,2017,24.26
cze,2018,24.34
cze,2019,24.3
cze,2020,19.45
deu,1983,41.85
deu,1984,48.3
deu,1985,49.92
deu,1986,51.73
deu,1987,52.58
deu,1988,53.73
deu,1989,54.31
deu,1990,56.04
deu,1991,55.14
deu,1992,52.73
deu,1993,49.84
deu,1994,48.41
deu,1995,46.18
deu,1996,43.04
deu,1997,41.88
deu,1998,42.46
deu,1999,43.89
deu,2000,43.59
deu,2001,44.26
deu,2002,43.82
deu,2003,42.96
deu,2004,39.84
deu,2005,40.15
deu,2006,41.65
deu,2007,43.53
deu,2008,44.53
deu,2009,44.36
deu,2010,44.48
deu,2011,46.07
deu,2012,44.52
deu,2013,45.22
deu,2014,44.32
deu,2015,44.01
deu,2016,44.46
deu,2017,45.51
deu,2018,45.39
deu,2019,46.12
deu,2020,46.92
dji,2017,2.98
dnk,1983,49.92
dnk,1984,60.15
dnk,1985,62.63
dnk,1986,64.87
dnk,1987,67.25
dnk,1988,66.7
dnk,1989,62.47
dnk,1990,62.19
dnk,1991,62.15
dnk,1992,62.11
dnk,1993,59.7
dnk,1994,59.14
dnk,1995,60.92
dnk,1996,61.97
dnk,1997,63.42
dnk,1998,66.13
dnk,1999,62.78
dnk,2000,63.98
dnk,2001,58.99
dnk,2002,63.55
dnk,2003,57.91
dnk,2004,59.4
dnk,2005,60.54
dnk,2006,64.14
dnk,2007,64.02
dnk,2008,61.14
dnk,2009,59.41
dnk,2010,55.51
dnk,2011,54.19
dnk,2012,51.91
dnk,2013,51.13
dnk,2014,51.24
dnk,2015,52.3
dnk,2016,54.58
dnk,2017,53.94
dnk,2018,55.19
dnk,2019,55.77
dnk,2020,53.95
dom,2000,24.67
dom,2001,23.07
dom,2002,24.99
dom,2003,22.78
dom,2004,23.07
dom,2005,23.08
dom,2006,23.17
dom,2007,23.21
dom,2008,24.56
dom,2009,20.22
dom,2010,23.32
dom,2011,23.36
dom,2012,24.56
dom,2013,21.23
dom,2014,23.02
dom,2015,24.01
dom,2016,24.06
dom,2017,25.89
dom,2018,25.37
dom,2019,26.28
dom,2020,22.25
dza,2009,5.47
dza,2010,5.58
dza,2014,4.99
dza,2015,4.81
dza,2016,4.4
dza,2017,5.15
ecu,2000,34.27
ecu,2001,43.1
ecu,2003,35.79
ecu,2004,37.6
