global,time,sm_pop_refg_or
world,1990,19850545
world,1991,19429141
world,1992,20545162
world,1993,19238525
world,1994,18846657
world,1995,18141960
world,1996,16725191
world,1997,15484076
world,1998,15053820
world,1999,15364642
world,2000,15935134
world,2001,16043088
world,2002,14619220
world,2003,13728696
world,2004,13805229
world,2005,13011239
world,2006,14325353
world,2007,15952928
world,2008,15160745
world,2009,15162394
world,2010,15239927
world,2011,15201674
world,2012,15416945
world,2013,16728287
world,2014,19534044
world,2015,21351537
world,2016,22524734
world,2017,25383515
world,2018,25905096
world,2019,26044504
world,2020,26353825
