geo,time,sl_tlf_0714_wk_fe_zs
afg,2011,60.68917
ago,2001,28.4
alb,2000,44.59249
alb,2010,6.2423
arg,2012,4.79394
arm,2010,0
aze,2000,5.68182
aze,2005,6.3
bdi,2000,51.92508
bdi,2010,18.45508
ben,2012,36.3
bfa,2010,58.3901
bgd,2003,63.97578
bgd,2006,31.1
bgd,2013,48.41442
bih,2000,5.11364
bih,2006,0
blr,2012,0
blz,2001,18.99674
bol,2009,9.54878
bol,2013,7.18552
bol,2015,5.68
bra,2011,3.15972
bra,2013,4.6723
bra,2014,2.95376
bra,2015,3.64
caf,2000,61.2426
caf,2010,32.4177
chl,2003,5.42585
chl,2012,0.2
civ,2000,54.07407
civ,2012,47.22159
cmr,2001,58.70318
cmr,2011,17.9
cod,2000,41.5
cod,2010,24.17245
cod,2014,13.30964
cog,2012,5.1
col,2012,10.1
col,2014,7.3075
col,2015,5.79
cri,2011,9.78353
cri,2016,13.21
dom,2009,2.8
dom,2012,1.70824
dom,2014,1.09174
dza,2013,5.13069
ecu,2011,20.88629
ecu,2015,5.37781
egy,2009,71.2
eth,2011,34.55065
gab,2012,1.52638
geo,2006,1.1
gha,2006,19.6
gha,2012,11.24307
gin,1994,99
gin,2012,54.4
gmb,2000,49.46305
gmb,2008,24.9
gmb,2015,55.95294
gnb,2000,67.7
gnb,2006,36.5
gnb,2014,25.85707
gtm,2012,27.08802
gtm,2014,23.61002
gtm,2015,41.82898
hnd,2013,35
hnd,2014,31.24206
hti,2012,7.53671
idn,2010,41.4
ind,2000,89.6
ind,2012,82.3
irq,2000,66.3134
irq,2011,47.4
jam,2011,0
jor,2007,4.5
jor,2016,2.03
kaz,1996,2.1
kaz,2006,2.3
ken,1999,46.9
ken,2000,14.9
ken,2009,31.77757
kgz,1998,5.3
kgz,2007,0.5
kgz,2014,0.33761
khm,2001,17.44228
khm,2012,18.6
lao,2010,90.51194
lbr,2010,26.34253
lka,1999,4.7
lka,2009,1.29499
lso,2000,10.13874
mar,1999,96.2
mda,2000,3.09942
mda,2009,0
mdg,2001,83.49375
mdg,2007,38.3
mex,2011,10.4865
mex,2013,12.386
mkd,2011,2.23672
mli,2013,55.9
mng,2000,25.31876
mng,2012,2.53125
mng,2013,0.86922
moz,2008,19.1509
mrt,2007,46.7
mrt,2011,41.90232
mwi,2011,11.09918
mwi,2014,3.97164
mwi,2015,7.04
nam,1999,6.36282
ner,2012,59.1
nga,2010,36.6
nga,2011,26.25609
nic,2001,18.00667
nic,2010,12.83558
nic,2012,13.75412
npl,1999,46.2
npl,2008,16.24081
npl,2014,10.20677
pak,2011,95.1636
pan,2012,10.3
pan,2014,8.93453
per,2011,28.56997
per,2014,25.86306
per,2015,25.66112
phl,2001,8.7863
phl,2011,8.3
prt,2001,3.65728
pry,2005,24.6
pry,2014,5.99873
rou,2000,14
rwa,2000,29.70297
rwa,2010,8.20907
rwa,2011,17.78348
rwa,2014,16.7
sdn,2000,60.95324
sdn,2008,71.99693
sdn,2014,29.41119
sen,2011,60.2
sen,2015,36.296
sle,2000,56.5
sle,2013,25.3
slv,2003,8.61703
slv,2012,9.9
slv,2013,10.88849
som,2006,62
srb,2005,1.6
srb,2014,0
ssd,2008,78.26276
swz,2000,14.04169
swz,2010,1.6799
syr,2006,32.1
tcd,2010,49.7
tcd,2015,54.73675
tgo,2010,13.79018
tgo,2014,19.3245
tha,2005,3.5
tjk,2005,12.1
tls,2007,39
tto,2000,0
tto,2006,0
tun,2012,22.2
tur,1999,69.52372
tur,2006,48.5
tza,2001,37.06701
tza,2011,23.58732
tza,2014,27.63264
uga,2012,6.07177
ukr,2012,0.3
ury,2009,7.64029
uzb,2000,3.5545
uzb,2005,2.1
ven,2003,9.09091
ven,2006,10.19404
ven,2013,17.0476
vnm,2012,16.6
yem,1999,84.34496
yem,2010,48.40412
zaf,1999,5.5
zmb,2008,18.34728
zwe,1999,11.4
