global,time,dt_nfl_iaea_cd
world,2006,73209999.08447
world,2007,71849998.47412
world,2008,75620002.74658
world,2009,64339996.33789
world,2010,87580001.83105
world,2011,70319999.69482
world,2012,68760002.13623
world,2013,79290000.91553
world,2014,74260002.13623
world,2015,63859657.2876
world,2016,71412467.95654
world,2017,76418434.14307
world,2018,75327285.7666
world,2019,73626281.73828
