global,time,ny_gnp_mktp_pp_kd
world,1990,52612063053872.29688
world,1991,53272943879100.29688
world,1992,53703328045536.79688
world,1993,54094575271841.60156
world,1994,55198939915769.29688
world,1995,56547664137825.10156
world,1996,58572324607573.29688
world,1997,60801020196522.09375
world,1998,62452378158384.89844
world,1999,64786133448454.29688
world,2000,67797084570075.89844
world,2001,69470025570937.50781
world,2002,71172842118165.40625
world,2003,73829545039091.57812
world,2004,77453874232316.70312
world,2005,80842088514332.1875
world,2006,85027334811943.90625
world,2007,89357327274258.78125
world,2008,91602845303433.5
world,2009,90907116109036.89062
world,2010,95235750508583.20312
world,2011,98828131307099.39062
world,2012,101871578992457
world,2013,105049311259387
world,2014,108840757074993
world,2015,112489456251732
world,2016,116413655962185
world,2017,120900293696595
world,2018,125070205438547
world,2019,128701465693774
world,2020,124581844329118
