global,time,eg_imp_cons_zs
world,1960,16.71615
world,1961,17.6358
world,1962,19.02263
world,1963,21.14044
world,1964,21.96151
world,1965,23.69134
world,1966,24.51981
world,1967,24.6854
world,1968,26.67113
world,1969,29.32678
world,1970,29.50002
world,1971,-3.6766
world,1972,-3.23023
world,1973,-3.41455
world,1974,-3.56662
world,1975,-2.14165
world,1976,-1.54759
world,1977,-1.68035
world,1978,0.45
world,1979,-1.47318
world,1980,-0.86185
world,1981,0.22533
world,1982,1.03877
world,1983,2.00778
world,1984,0.67986
world,1985,1.67809
world,1986,0.70042
world,1987,1.70961
world,1988,1.40321
world,1989,1.00289
world,1990,-2.89054
world,1991,-2.40036
world,1992,-3.0501
world,1993,-2.33721
world,1994,-3.13438
world,1995,-3.0464
world,1996,-2.95286
world,1997,-3.33769
world,1998,-4.06171
world,1999,-2.11477
world,2000,-2.80295
world,2001,-3.26757
world,2002,-1.94385
world,2003,-2.4336
world,2004,-2.7325
world,2005,-3.19811
world,2006,-3.16302
world,2007,-2.20221
world,2008,-2.95701
world,2009,-2.89189
world,2010,-2.09501
world,2011,-3.12974
world,2012,-2.73341
world,2013,-3.06718
world,2014,-2.45986
world,2015,20.96904
