geo,time,nv_srv_totl_kd_zg
afg,2003,11.55182
afg,2004,12.78784
afg,2005,5.38827
afg,2006,6.731
afg,2007,19.68115
afg,2008,14.85445
afg,2009,17.98338
afg,2010,18.35541
afg,2011,9.79069
afg,2012,13.65734
afg,2013,7.82655
afg,2014,4.53015
afg,2015,2.13511
afg,2016,1.97948
afg,2017,-0.68255
afg,2018,1.93817
afg,2019,-1.38574
afg,2020,-5.91675
ago,2003,5.17144
ago,2004,7.48241
ago,2005,8.61195
ago,2006,8.61783
ago,2007,5.60291
ago,2008,12.91811
ago,2009,8.96824
ago,2010,6.64233
ago,2011,10.5228
ago,2012,5.6621
ago,2013,7.74044
ago,2014,10.07666
ago,2015,-4.83799
ago,2016,-5.24319
ago,2017,1.48099
ago,2018,0.26126
ago,2019,0.91326
ago,2020,-2.44028
alb,1997,-11.12095
alb,1998,6.25094
alb,1999,18.37152
alb,2000,-1.3723
alb,2001,7.62004
alb,2002,4.19775
alb,2003,1.20373
alb,2004,4.87942
alb,2005,6.95167
alb,2006,5.12864
alb,2007,7.87455
alb,2008,5.33305
alb,2009,5.41721
alb,2010,2.49363
alb,2011,3.03448
alb,2012,3.20982
alb,2013,0.31477
alb,2014,5.02343
alb,2015,2.79335
alb,2016,4.28749
alb,2017,6.02394
alb,2018,2.85506
alb,2019,3.79451
alb,2020,-4.72036
are,2002,11.58549
are,2003,10.73039
are,2004,9.90686
are,2005,7.72658
are,2006,4.98995
are,2007,13.07274
are,2008,4.05068
are,2009,-2.7276
are,2010,1.52866
are,2011,5.2063
are,2012,5.70478
are,2013,7.43415
are,2014,7.50847
are,2015,4.5802
are,2016,3.63665
are,2017,5.04424
are,2018,0.58576
are,2019,4.24361
are,2020,-6.94053
arg,1966,-1.52809
arg,1967,2.54109
arg,1968,1.84048
arg,1969,8.82798
arg,1970,10.58889
arg,1971,4.94954
arg,1972,0.65233
arg,1973,3.81123
arg,1974,5.26052
arg,1975,0.97764
arg,1976,-3.40149
arg,1977,6.04676
arg,1978,-1.78893
arg,1979,11.04034
arg,1980,8.42873
