global,time,sh_dth_0509
world,1990,1112114
world,1991,1123238
world,1992,1081986
world,1993,1069090
world,1994,1062801
world,1995,1019444
world,1996,994301
world,1997,962715
world,1998,931303
world,1999,892819
world,2000,853021
world,2001,824463
world,2002,799492
world,2003,780303
world,2004,779005
world,2005,743844
world,2006,714661
world,2007,694353
world,2008,701772
world,2009,654588
world,2010,657706
world,2011,617185
world,2012,601287
world,2013,588364
world,2014,573513
world,2015,560163
world,2016,547032
world,2017,534406
world,2018,525091
world,2019,515226
world,2020,504832
