global,time,sh_sta_odfc_ur_zs
world,2000,5.16863
world,2001,4.96032
world,2002,4.74911
world,2003,4.55831
world,2004,4.36261
world,2005,4.15802
world,2006,3.949
world,2007,3.74319
world,2008,3.53606
world,2009,3.3268
world,2010,3.11518
world,2011,2.922
world,2012,2.70068
world,2013,2.48157
world,2014,2.26072
world,2015,2.03658
world,2016,1.81207
world,2017,1.58575
world,2018,1.37118
world,2019,1.16223
world,2020,0.96715
