global,time,se_adt_1524_lt_zs
world,1975,77.33325
world,1976,77.3372
world,1977,77.51895
world,1978,78.0389
world,1979,78.53903
world,1980,78.98172
world,1981,79.38329
world,1982,79.86864
world,1983,80.20212
world,1984,80.62181
world,1985,80.98437
world,1986,81.31179
world,1987,81.91022
world,1988,82.51753
world,1989,82.83589
world,1990,83.15769
world,1991,83.36088
world,1992,83.6727
world,1993,83.91593
world,1994,84.1862
world,1995,84.45596
world,1996,84.72074
world,1997,85.53771
world,1998,86.26223
world,1999,86.57232
world,2000,86.57406
world,2001,86.87619
world,2002,87.38615
world,2003,87.8817
world,2004,88.34323
world,2005,88.47526
world,2006,88.76426
world,2007,88.66706
world,2008,89.45072
world,2009,89.5235
world,2010,89.56742
world,2011,89.78326
world,2012,90.33694
world,2013,90.67431
world,2014,90.9933
world,2015,91.03014
world,2016,91.44743
world,2017,91.62891
world,2018,91.54566
world,2019,91.72953
world,2020,91.88398
