global,time,en_atm_pm25_mc_m3
world,1990,44.26161
world,1995,44.88187
world,2000,45.9354
world,2005,48.36383
world,2010,50.25202
world,2011,50.77349
world,2012,47.54097
world,2013,47.96193
world,2014,45.95833
world,2015,47.24493
world,2016,45.16518
world,2017,45.53805
